island_name,area_sq_m,area_sq_km
singapore,25002018.0,25.002018
bangka,11654130188.0,11654.130188
langkawi,373290863.0,373.290863
lingga,431140618.0,431.140618
bintan,863349371.0,863.349371
nias,4117253552.0,4117.253552
billiton,4629607660.0,4629.60766
bunguran,1635363429.0,1635.363429
labuan,89270103.0,89.270103
tioman,137398684.0,137.398684
siberut,3839387272.0,3839.387272
ubin,4818026.0,4.818026
batam,314591585.0,314.591585
simeulue,1743744386.0,1743.744386
panaitan,123476763.0,123.476763
banggi,439898159.0,439.898159
kangean,429806960.0,429.80696
sipora,598047368.0,598.047368
pangkor,22224495.0,22.224495
tana_massa,333368466.0,333.368466
terutau,154172965.0,154.172965
tuangku,216710266.0,216.710266
durian,8743169.0,8.743169
sebangka,122768471.0,122.768471
tello,11116239.0,11.116239
temiang,29587985.0,29.587985
south_pagai,869714466.0,869.714466
north_pagai,609047519.0,609.047519
balambangan,111660066.0,111.660066
enggano,197674126.0,197.674126
sebatik,436431009.0,436.431009
ngenang,1390373.0,1.390373
pini,321928933.0,321.928933
bawean,198033426.0,198.033426
siantan,106082606.0,106.082606
maratua,22122242.0,22.122242
gaya,15297190.0,15.29719
ayer_merbau,1066071.0,1.066071
jimaja,209809600.0,209.8096
babi,45784149.0,45.784149
bangkaru,60777813.0,60.777813
tinjul,104580.0,0.10458
momoi,1275033.0,1.275033
pandjang,4093265.0,4.093265
perhentian_besar,2572113.0,2.572113
pisang,1539345.0,1.539345
sirhassen,60337559.0,60.337559
tana_bala,448560635.0,448.560635
tinjil,5852995.0,5.852995
karimun_jawa,35782981.0,35.782981
bidong,1171809.0,1.171809
deli,9698030.0,9.69803
senang,658706.0,0.658706
mantanani,2322107.0,2.322107
redang,9445265.0,9.445265
pawai,565366.0,0.565366
akar,98895.0,0.098895
derawan,357500.0,0.3575
mallewalle,39893594.0,39.893594
raboe_raboe,186906.0,0.186906
remang_besar,85503.0,0.085503
rumpia,1032424.0,1.032424
lasia,14907040.0,14.90704
panggal_sedang,9718.0,0.009718
remang_kecil,47512.0,0.047512
sambu_kecil,57520.0,0.05752
jarak,457875.0,0.457875
laut,35145437.0,35.145437
manguan,2670222.0,2.670222
samama,883426.0,0.883426
sangalaki,156876.0,0.156876
eraban,796017.0,0.796017
malang,32047.0,0.032047
paloi_besar,20593.0,0.020593
berhala,330852.0,0.330852
panggal_besar,40886.0,0.040886
sepatu,10136.0,0.010136
mangalum,5381627.0,5.381627
mataha,310593.0,0.310593
nipong,9691.0,0.009691
panggal_kecil,724.46,0.00072446
saya,677432.0,0.677432
bilang_bilangan,280296.0,0.280296
pemanggil,9321446.0,9.321446
perak,96973.0,0.096973
sayap,8480.0,0.00848
balik_kekup,165702.0,0.165702
lalang,262592.0,0.262592
matang_cilik,42518.0,0.042518
telor_besar,4750.0,0.00475
telor_kecil,2599.0,0.002599
paloi_kecil,3896.0,0.003896
sarang_lang,7927.0,0.007927
tokong_simbang,8941.0,0.008941
