island_name,richness
singapore,150
bangka,121
langkawi,113
lingga,107
bintan,104
nias,103
billiton,100
bunguran,87
labuan,81
tioman,81
siberut,80
ubin,72
batam,71
simeulue,67
panaitan,65
banggi,61
kangean,59
sipora,53
pangkor,51
tana_massa,51
terutau,50
tuangku,49
durian,44
sebangka,39
tello,38
temiang,38
south_pagai,36
north_pagai,35
balambangan,34
enggano,34
sebatik,33
ngenang,31
pini,30
bawean,28
siantan,28
maratua,26
gaya,25
ayer_merbau,24
jimaja,24
babi,23
bangkaru,23
tinjul,23
momoi,22
pandjang,21
perhentian_besar,21
pisang,21
sirhassen,21
tana_bala,20
tinjil,20
karimun_jawa,19
bidong,18
deli,18
senang,18
mantanani,17
redang,17
pawai,15
akar,14
derawan,14
mallewalle,13
raboe_raboe,13
remang_besar,13
rumpia,13
lasia,12
panggal_sedang,11
remang_kecil,11
sambu_kecil,11
jarak,10
laut,10
manguan,10
samama,10
sangalaki,10
eraban,9
malang,9
paloi_besar,9
berhala,8
panggal_besar,8
sepatu,8
mangalum,7
mataha,7
nipong,7
panggal_kecil,7
saya,7
bilang_bilangan,6
pemanggil,6
perak,6
sayap,6
balik_kekup,5
lalang,5
matang_cilik,5
telor_besar,3
telor_kecil,2
paloi_kecil,1
sarang_lang,1
tokong_simbang,1
