species_name,langkawi,tioman,pangkor,terutau,perhentian_besar,pisang,bidong,redang,rumpia,jarak,berhala,pemanggil,perak,lalang,sarang_lang,tokong_simbang
brown_throated_sunbird,1,1,1,1,0,1,1,1,0,0,1,0,0,0,0,0
collared_kingfisher,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0
pink_necked_green_pigeon,1,1,1,1,0,1,0,1,0,0,0,1,0,0,0,0
ornate_sunbird,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0
pied_imperial_pigeon,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1
asian_glossy_starling,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0
olive_winged_bulbul,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
mangrove_whistler,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0
pacific_swallow,1,1,1,1,1,1,1,0,0,1,0,1,1,1,0,0
crimson_sunbird,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
asian_emerald_dove,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0
green_imperial_pigeon,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
oriental_magpie_robin,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0
ashy_tailorbird,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
orange_bellied_flowerpecker,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
stork_billed_kingfisher,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
scarlet_backed_flowerpecker,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
copper_throated_sunbird,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
van_hasselts_sunbird,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0
nicobar_pigeon,1,1,0,1,1,1,0,1,1,1,1,0,0,1,0,0
asian_koel,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
sunda_pied_fantail,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
common_hill_myna,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0
black_naped_oriole,1,1,1,0,1,0,1,0,0,1,0,0,1,0,0,0
sunda_yellow_vented_bulbul,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
common_dollarbird,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0
black_naped_monarch,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
white_breasted_waterhen,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0
large_billed_crow,1,1,1,1,1,0,1,0,0,1,0,1,1,1,0,0
rufous_tailed_tailorbird,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
greater_racket_tailed_drongo,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
pin_striped_tit_babbler,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
blue_eared_kingfisher,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
white_rumped_shama,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0
dark_necked_tailorbird,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0
oriental_pied_hornbill,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
rufous_backed_dwarf_kingfisher,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
edible_nest_swiftlet,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0
little_spiderhunter,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
cream_vented_bulbul,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
eastern_spotted_dove,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
white_breasted_woodswallow,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
blue_crowned_hanging_parrot,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
asian_fairy_bluebird,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
ruddy_kingfisher,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
thick_billed_green_pigeon,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
roving_cuckooshrike,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
green_iora,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
house_swift,1,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0
plume_toed_swiftlet,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
eurasian_tree_sparrow,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
golden_bellied_gerygone,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
drongo_cuckoo,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
crested_serpent_eagle,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
malayan_swamp_babbler,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
common_iora,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
scaly_breasted_munia,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
asian_red_eyed_bulbul,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
black_headed_bulbul,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
common_flameback,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zebra_dove,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
greater_coucal,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
changeable_hawk_eagle,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
great_slaty_woodpecker,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
cinnamon_headed_green_pigeon,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
silver_rumped_spinetail,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
white_breasted_kingfisher,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
mourning_babbler,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blue_throated_bee_eater,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
red_legged_crake,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ruby_cheeked_sunbird,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
