standard_name,pretty_name
brown_throated_sunbird,Brown-throated Sunbird
collared_kingfisher,Collared Kingfisher
pink_necked_green_pigeon,Pink-necked Green Pigeon
ornate_sunbird,Ornate Sunbird
pied_imperial_pigeon,Pied Imperial Pigeon
asian_glossy_starling,Asian Glossy Starling
olive_winged_bulbul,Olive-winged Bulbul
mangrove_whistler,Mangrove Whistler
pacific_swallow,Pacific Swallow
crimson_sunbird,Crimson Sunbird
asian_emerald_dove,Asian Emerald Dove
green_imperial_pigeon,Green Imperial Pigeon
oriental_magpie_robin,Oriental Magpie-robin
ashy_tailorbird,Ashy Tailorbird
orange_bellied_flowerpecker,Orange-bellied Flowerpecker
stork_billed_kingfisher,Stork-billed Kingfisher
scarlet_backed_flowerpecker,Scarlet-backed Flowerpecker
copper_throated_sunbird,Copper-throated Sunbird
van_hasselts_sunbird,Van Hasselt's Sunbird
nicobar_pigeon,Nicobar Pigeon
asian_koel,Asian Koel
sunda_pied_fantail,Sunda Pied Fantail
common_hill_myna,Common Hill Myna
black_naped_oriole,Black-naped Oriole
sunda_yellow_vented_bulbul,Sunda Yellow-vented Bulbul
common_dollarbird,Common Dollarbird
black_naped_monarch,Black-naped Monarch
white_breasted_waterhen,White-breasted Waterhen
large_billed_crow,Large-billed Crow
rufous_tailed_tailorbird,Rufous-tailed Tailorbird
greater_racket_tailed_drongo,Greater Racket-tailed Drongo
pin_striped_tit_babbler,Pin-striped Tit Babbler
bold_striped_tit_babbler,Bold-striped Tit Babbler
blue_eared_kingfisher,Blue-eared Kingfisher
white_rumped_shama,White-rumped Shama
grey_rumped_treeswift,Grey-rumped Treeswift
dark_necked_tailorbird,Dark-necked Tailorbird
oriental_pied_hornbill,Oriental Pied Hornbill
rufous_backed_dwarf_kingfisher,Rufous-backed Dwarf-kingfisher
edible_nest_swiftlet,Edible-nest Swiftlet
little_spiderhunter,Little Spiderhunter
cream_vented_bulbul,Cream-vented Bulbul
pied_triller,Pied Triller
eastern_spotted_dove,Eastern Spotted Dove
white_breasted_woodswallow,White-breasted Woodswallow
blue_crowned_hanging_parrot,Blue-crowned Hanging Parrot
asian_fairy_bluebird,Asian Fairy-bluebird
ruddy_kingfisher,Ruddy Kingfisher
thick_billed_green_pigeon,Thick-billed Green Pigeon
mangrove_jungle_flycatcher,Mangrove Jungle-flycatcher
roving_cuckooshrike,Roving Cuckooshrike
green_iora,Green Iora
house_swift,House Swift
plume_toed_swiftlet,Plume-toed Swiftlet
whiskered_treeswift,Whiskered Treeswift
sunda_pygmy_woodpecker,Sunda Pygmy-woodpecker
eurasian_tree_sparrow,Eurasian Tree Sparrow
golden_bellied_gerygone,Golden-bellied Gerygone
long_tailed_parakeet,Long-tailed Parakeet
drongo_cuckoo,Drongo Cuckoo
crested_serpent_eagle,Crested Serpent-eagle
barusan_monarch,Barusan Monarch
malayan_swamp_babbler,Malayan Swamp Babbler
bornean_swamp_babbler,Bornean Swamp Babbler
common_iora,Common Iora
white_bellied_woodpecker,White-bellied Woodpecker
scaly_breasted_munia,Scaly-breasted Munia
asian_red_eyed_bulbul,Asian Red-eyed Bulbul
black_headed_bulbul,Black-headed Bulbul
common_flameback,Common Flameback
zebra_dove,Zebra Dove
greater_coucal,Greater Coucal
changeable_hawk_eagle,Changeable Hawk Eagle
great_slaty_woodpecker,Great Slaty Woodpecker
cinnamon_headed_green_pigeon,Cinnamon-headed Green Pigeon
silver_rumped_spinetail,Silver-rumped Spinetail
white_breasted_kingfisher,White-breasted Kingfisher
greater_green_leafbird,Greater Green Leafbird
mourning_babbler,Mourning Babbler
glissando_babbler,Glissando Babbler
blue_throated_bee_eater,Blue-throated Bee-eater
red_legged_crake,Red-legged Crake
violet_cuckoo,Violet Cuckoo
tabon_scrubfowl,Tabon Scrubfowl
ruby_cheeked_sunbird,Ruby-cheeked Sunbird
chestnut_winged_babbler,Chestnut-winged Babbler
hairy_backed_bulbul,Hairy-backed Bulbul
buff_necked_woodpecker,Buff-necked Woodpecker
little_green_pigeon,Little Green Pigeon
silvery_woodpigeon,Silvery Woodpigeon
black_headed_munia,Black-headed Munia
zitting_cisticola,Zitting Cisticola
spectacled_bulbul,Spectacled Bulbul
buff_vented_bulbul,Buff-vented Bulbul
black_winged_flycatcher_shrike,Black-winged Flycatcher-shrike
plaintive_cuckoo,Plaintive Cuckoo
lesser_coucal,Lesser Coucal
asian_palm_swift,Asian Palm Swift
