Island Name,Data Source
Panggal Kecil,Survey
Telor Kecil,Survey
Paloi Kecil,Survey
Sarang Lang,Historical
Telor Besar,Survey
Tokong Simbang,Historical
Sayap,Survey
Nipong,Survey
Panggal Sedang,Survey
Sepatu,Survey
Paloi Besar,Survey
Malang,Survey
Panggal Besar,Survey
Matang Cilik,Survey
Remang Kecil,Survey
Sambu Kecil,Survey
Perak,Historical
Remang Besar,Survey
Akar,Survey
Sangalaki,Historical
Balik Kekup,Historical
Raboe Raboe,Historical
Lalang,Historical
Bilang Bilangan,Historical
Mataha,Historical
Berhala,Historical
Derawan,Historical
Jarak,Historical
Pawai,Historical
Tinjul,Survey
Eraban,Historical
Saya,Historical
Samama,Historical
Rumpia,Historical
Senang,Historical
Ayer Merbau,Historical
Momoi,Survey
Pisang,Historical
Mantanani,Historical
Bidong,Historical
Manguan,Historical
Pandjang,Historical
Mangalum,Historical
Tinjil,Historical
Ngenang,Survey
Pemanggil,Historical
Perhentian Besar,Historical
Deli,Historical
Ubin,Historical
Gaya,Historical
Durian,Survey
Pangkor,Historical
Redang,Historical
Laut,Historical
Karimun Jawa,Historical
Mallewalle,Historical
Temiang,Survey
Sirhassen,Historical
Labuan,Historical
Siantan,Historical
Balambangan,Historical
Panaitan,Historical
Sebangka,Survey
Tioman,Historical
Terutau,Historical
Bawean,Historical
Jimaja,Historical
Langkawi,Historical
Kangean,Historical
Batam,Historical
Sebatik,Historical
Banggi,Historical
Singapore,Historical
Lingga,Survey
Bintan,Historical
Bunguran,Historical
Billiton,Historical
Bangka,Historical
