Island.Name,Island Group,Species Diversity,Single Island Endemics,Island-group Endemics,Present Day Area (m2),Average Area (m2),Distance to Mainland (km2),Max Elevation (m2),Isolation_10KM,Isolation_50KM,Isolation_100KM,Isolation_200KM,Isolation Time,Longitude,Latitude
Manguan,Anambas-Natuna,10,0,0,2670222,768137435.450818,291411.1034,72,4.620837644,4.198047722,1.970320638,0.818122329,43.65,106.4012966,3.301746953
Siantan,Anambas-Natuna,28,0,0,106082606,809573041.372727,265604.4163,449,13.15987219,3.223455299,1.474592071,0.421683534,43.65,106.2441658,3.162495226
Jimaja,Anambas-Natuna,24,0,0,209809600,527567258.9,200987.2714,396,1.967661974,1.556805127,1.099623385,0.441866056,45.21,105.7515683,2.932550655
Billiton,Riau-Bangka Belitung,100,0,0,4629607660,12092692645.6,162440.7609,401,2.890042174,1.176770341,1.302322802,5.315528564,53.545,107.9072725,-2.886871944
Bangka,Riau-Bangka Belitung,121,0,0,11654130188,16107060079,11305.25013,629,1.385262368,15.01048896,22.85569017,30.79458936,58.41,105.9846495,-2.251605536
Sangalaki,Bornean,10,0,0,156876,156876,39633.98122,1,0.265481962,2.567124617,27.06339768,34.6694085,46.255,118.3988872,2.083958114
Balik Kekup,Bornean,5,0,0,165702,23391875.665,19493.16099,14,0,24.32087129,28.59901647,28.75731923,58.41,118.6246811,1.530468849
Raboe Raboe,Bornean,13,0,0,186906,53593308.3845,4553.92158,31,15.52331621,22.50860183,34.51102612,43.63991278,58.41,118.1307966,2.33055169
Bilang Bilangan,Bornean,6,0,0,280296,280296,42857.72344,18,0.091837488,2.287427399,16.44007351,22.56510784,53.545,118.9416376,1.568022984
Mataha,Bornean,7,0,0,310593,15737067.73,36373.11436,11,0.08202149,6.330167267,18.49382231,23.48908168,56.5,118.9009998,1.526254043
Derawan,Bornean,14,0,0,357500,427068.6716,15730.20705,10,0.738060608,13.27411838,29.3065029,39.78791649,47.815,118.2432243,2.28276929
Eraban,Bornean,9,0,0,796017,796017,2217.166957,12,38.1511463,45.9655133,33.1596375,31.18401488,65.355,118.5346362,1.391867498
Samama,Bornean,10,0,0,883426,77988202.9374,29741.66987,1,0.044702093,6.367514557,29.4216315,36.97355115,53.545,118.3282628,2.134442109
Pandjang,Bornean,21,0,0,4093265,57650155.565,13206.65522,1,0.131937249,15.90390463,29.09921853,41.10206324,58.41,118.2060638,2.364501482
Maratua,Bornean,26,2,0,22122242,518039271.995833,51291.09259,62,1.204118559,0.192936182,12.21177185,28.32622596,0,118.5931792,2.221421248
Terutau,Peninsula,50,0,0,154172965,223145213.3,13915.31098,586,1.877292432,25.45882838,35.9471793,36.93199455,58.41,99.65307512,6.611105257
Langkawi,Peninsula,113,0,0,373290863,720550315.35,16930.17737,794,8.248519897,23.21357855,35.35676118,37.01905067,58.41,99.78448604,6.372792948
Laut,Anambas-Natuna,10,0,0,35145437,3488165256.41231,337953.4074,199,0.257393826,0.026753861,3.673090322,1.307997515,35.315,107.9718679,4.71274074
Sirhassen,Anambas-Natuna,21,0,0,60337559,218905986.983333,66519.99589,337,1.084561429,1.472550207,4.369303359,14.12122415,51.46,109.0419474,2.518594581
Bunguran,Anambas-Natuna,87,0,0,1635363429,5586685827.15385,222332.099,887,2.288181762,0.416139519,0.371947065,0.263330703,35.315,108.202155,3.91597365
Mantanani,Bornean,17,0,0,2322107,133936332.255,22178.5247,35,0.112558496,22.66860986,31.60931867,29.86050477,51.46,116.3532511,6.711842668
Mangalum,Bornean,7,0,0,5381627,401557560.03,53651.02714,11,0,0.068275258,18.28060494,33.26086025,51.46,115.5969497,6.200001768
Gaya,Bornean,25,0,0,15297190,15297190,1501.009331,30,26.1670275,42.93447888,48.19183776,45.3985911,65.355,116.0329547,6.016822263
Mallewalle,Bornean,13,0,0,39893594,75445474.2633333,9453.008986,118,0.424845817,21.4125903,24.81641871,25.27542531,56.5,117.3028486,7.048642483
Labuan,Bornean,81,0,0,89270103,156198795.9,7908.871267,60,0.873546496,25.54070616,40.42775108,48.52242953,61.535,115.2192082,5.310766531
Balambangan,Bornean,34,0,0,111660066,1059607800.325,20917.92349,89,6.101434063,13.15308249,17.14958351,20.73675283,55.11,116.9407205,7.273263344
Sebatik,Bornean,33,0,0,436431009,436431009,5852.773482,388,22.69022894,58.64381607,58.14027674,59.95899301,65.355,117.7910247,4.153655778
Banggi,Bornean,61,0,0,439898159,1157148351.55,11598.37973,419,5.48774643,12.11899596,18.74430964,21.78697908,55.11,117.1669133,7.254005165
Karimun Jawa,Javan,19,0,0,35782981,1090113183.34444,68805.81965,389,0.547511512,0.123453588,3.911498807,19.6806971,46.255,110.456498,-5.835591679
Bawean,Javan,28,0,0,198033426,1010362611.63333,108385.2441,558,0.237165918,0.020211195,0.00583687,13.75818929,37.915,112.660183,-5.793712597
