subset_name,rho,K,residual,theta_est,m_est,A_crit_est
all,1700,1,42058.4390559267,8.286429931512188,0.0027712194288462178,0.0382068581511321
all,1700,2,41840.16993720504,8.442633430567412,0.0022727151548473773,0.09574496995021682
all,1700,3,41627.07128412869,8.604122092464962,0.0018652164412325041,0.1797961539386619
all,1700,4,41429.995048353725,8.77337952164627,0.0015299764840090502,0.30010718573833706
all,1700,5,41255.57286838763,8.95367347131715,0.0012525318956084274,0.4700382798207683
all,1700,6,41108.72649603652,9.14718598586274,0.0010229831130879315,0.7074191998544632
all,1700,7,40993.708156679844,9.354495386007669,0.0008341875362614969,1.0351724788110104
all,1700,8,40914.627976031436,9.574072595209476,0.0006804216818097181,1.4814297364796982
all,1700,9,40875.65925033442,9.804421907933449,0.0005560235932996255,2.0805490305072176
all,1700,10,40881.008057467916,10.043638021857792,0.00045586971807106834,2.8733994797979916
all,1700,11,40934.76017400248,10.29236992270364,0.00037497725053492096,3.9113476326758616
all,1700,12,41040.719310531524,10.551630784121791,0.000309397623967299,5.256942366599997
all,1700,13,41202.30424292291,10.824680181735383,0.00025581133343173995,6.9900367648269635
all,1700,14,41422.521638015656,11.115566172097223,0.000211711302519247,9.21062814894216
peninsula_only,1700,1,2275.222404802882,22.30138149714425,0.000328841440012962,0.22804690528137495
peninsula_only,1700,2,2197.8074403251876,23.24312464401497,0.0002847810521238137,0.528291105260422
peninsula_only,1700,3,2121.493322082873,24.191725658813265,0.0002487773617996203,0.9097806330228939
peninsula_only,1700,4,2051.566439970701,25.124162274964547,0.00021958257187057272,1.378609094781034
peninsula_only,1700,5,1991.3526266787508,26.04949228451019,0.0001954379139605264,1.9422364733423276
peninsula_only,1700,6,1943.0385230271374,26.996671850269305,0.00017481851709413054,2.6126952116160163
peninsula_only,1700,7,1908.0983367318702,28.001678389416675,0.00015669758920304266,3.4069778958682764
peninsula_only,1700,8,1887.544504847223,29.106069537160693,0.00014038281141631178,4.348479529297878
peninsula_only,1700,9,1882.0755365951445,30.360470235940323,0.00012542658313069574,5.468266148951588
peninsula_only,1700,10,1892.163926170718,31.84588302208962,0.00011140782238191704,6.8140447679813825
peninsula_only,1700,11,1918.1127352763858,33.66753929835388,9.817485283358992e-05,8.445681876700263
peninsula_only,1700,12,1960.1114112510456,35.939383144218695,8.574682261368916e-05,10.435914365694757
peninsula_only,1700,13,2018.33322311331,38.787910594496154,7.433740216978036e-05,12.853605706289434
peninsula_only,1700,14,24025.338625725693,11.869416427983703,0.09950047162442735,0.06168695549715831
riau_only,1700,1,12557.646688085932,9.525211240966494,0.042134913576139826,0.004452238637763458
riau_only,1700,2,12513.132169953356,9.59288810449754,0.03644262960635322,0.01044276103287978
riau_only,1700,3,12470.405562106043,9.660045338749216,0.03154517266888624,0.018381610653782417
riau_only,1700,4,12435.280317222865,9.72503579616774,0.02737213159593993,0.028742994731627475
riau_only,1700,5,12412.047290530594,9.787352945364896,0.023818330949905982,0.04209470063204594
riau_only,1700,6,12404.123698354402,9.846098539406153,0.02079973960031188,0.05908987215431591
riau_only,1700,7,12414.41420495647,9.899975649949832,0.01824711702834971,0.08045233445115002
riau_only,1700,8,12445.492277555219,9.94769055543131,0.01609642712719152,0.1069731458080601
riau_only,1700,9,13716.439542574495,7.86483483094883,0.1398141956691793,0.030964551345394716
riau_only,1700,10,13927.521971543483,7.779132314066107,0.13965749142599054,0.037467193684813584
riau_only,1700,11,14180.36657938003,7.685176886179215,0.1410157201631572,0.04476315956919799
riau_only,1700,12,14464.070793372117,7.591734743579064,0.14203438074829816,0.053326415329302844
riau_only,1700,13,14685.910255389685,7.552525744026499,0.13205451501842505,0.0662257603654406
riau_only,1700,14,15228.949526991504,7.3564123620963455,0.15362078190004777,0.07262973737183794
survey_only,1700,1,2352.327004776158,7.199579275734015,0.0804569670951345,0.0028619591937272567
survey_only,1700,2,2323.2474984288406,7.331299112086251,0.06213384596619542,0.007348067482231138
survey_only,1700,3,2291.7421732349094,7.498525841446055,0.04653180866027605,0.014494249178948145
survey_only,1700,4,2261.958602080152,7.713664200282588,0.03360105033902625,0.02613752998247065
survey_only,1700,5,2236.331108295879,8.031099846950092,0.022499753567194948,0.046721530277652065
survey_only,1700,6,2213.642283007186,8.653209901540642,0.01224881604018683,0.09328364563366154
survey_only,1700,7,2189.4510518708494,9.664253880012824,0.0056944867747433054,0.20422390416228686
survey_only,1700,8,2175.1763348868194,10.341857566444299,0.003610510399536376,0.3485087360514978
survey_only,1700,9,105845.45857339483,10.583462065131808,0.16429387090019407,0.02350448122881138
survey_only,1700,10,3005.098870599894,5.684879033715856,0.17075256831648597,0.04416599218237399
survey_only,1700,11,7334.718682474969,7.570724456973959,0.3310722117497225,0.026664424913838622
survey_only,1700,12,3428.2594944555694,5.407648166022724,0.1830608524424968,0.06854654705934447
survey_only,1700,13,2305.1648169377067,77.18586919704745,2.552815071939542e-05,30.848909636605327
survey_only,1700,14,3854.9737378410136,5.245838719658292,0.16025261450880043,0.11853598447863059
all,2115,1,42056.91206005442,8.286442659406614,0.002134197700988551,0.038207121699166194
all,2115,2,41837.74757700052,8.442710966305981,0.0017528398806124605,0.09574919119164338
all,2115,3,41624.25114614471,8.604573886174512,0.0014401841263675134,0.1798445511120554
all,2115,4,41427.04399485691,8.774439039060182,0.0011824287683732324,0.30028519440019585
all,2115,5,41252.61556478153,8.955504925744714,0.0009687701810488297,0.4704935410652955
all,2115,6,41105.81609940417,9.149860024673949,0.0007918209658121333,0.7083493350363442
all,2115,7,40990.870491197806,9.357735518936854,0.0006462522972573969,1.0367352975459174
all,2115,8,40911.882247759415,9.578127741731468,0.0005275090364956918,1.4840444208468284
all,2115,9,40873.02195282424,9.808771944002446,0.0004314910510767184,2.084203651223949
all,2115,10,40878.48883119786,10.04859835401801,0.0003540217513039104,2.8788659745652816
all,2115,11,40932.35660883763,10.297816420024251,0.0002914304739598254,3.918927328148811
all,2115,12,41038.41449723204,10.557941153158872,0.00024060606753087491,5.267789564385718
all,2115,13,41200.067899270594,10.83187207949985,0.00019904325399448472,7.005332817571463
all,2115,14,41420.31464133129,11.123105611748903,0.00016485252234462141,9.230332597047198
all,1259,1,42060.849743790444,8.286504362388184,0.003982407237739796,0.03820880594716017
all,1259,2,41843.96633492277,8.442623266494515,0.003258701273019494,0.09574458021849103
all,1259,3,41631.47014839101,8.603637241402279,0.0026695848927969007,0.1797448396690031
all,1259,4,41434.5808954602,8.77195810127982,0.0021867474936517754,0.29986772066945316
all,1259,5,41260.15657874149,8.951120624121401,0.0017880304021487064,0.4694039307812407
all,1259,6,41113.232352340856,9.14354342514491,0.0014585738005527754,0.7061332917655324
all,1259,7,40998.102834020676,9.34978074257314,0.0011879419236621902,1.0329014517851067
all,1259,8,40918.88687043944,9.568643516183082,0.0009676453780446779,1.477926378173551
all,1259,9,40879.75969660157,9.798169573280507,0.0007897508702216046,2.0752692576737255
all,1259,10,40884.9357107331,10.036838512585488,0.000646647809871297,2.866005659837969
all,1259,11,48498.793341448945,4.774234929056109,0.08967014338862249,0.1439004757294883
all,1259,12,49099.460384703285,4.686136255169804,0.08733821638895493,0.19057665037067698
all,1259,13,49777.368266557234,4.591235920173622,0.0858648893152848,0.25256402634040914
all,1259,14,50521.08634029133,4.492905849730505,0.08464711666721648,0.3368904787125904
peninsula_only,2115,1,2274.892260320763,22.304605225856598,0.0002562717542456086,0.228129893146447
peninsula_only,2115,2,2197.1399645678284,23.24743794112355,0.0002220437328296413,0.5285278381933046
peninsula_only,2115,3,2120.6189103924203,24.19672792479533,0.00019406486225202272,0.9102289963750406
