"sample_ID","S","H","c_score"
1,122,16,1.28668202140631
2,117,16,1.24535809018568
3,134,16,1.63696554819886
4,138,16,1.16735427906485
5,119,16,1.43968095712861
6,126,16,1.34768253968254
7,134,16,1.18168555717652
8,122,16,1.19238585557513
9,130,16,1.34490161001789
10,141,16,1.36565349544073
11,119,16,1.31220623842757
12,118,16,1.55005070259308
13,124,16,1.30068187778652
14,125,16,1.00438709677419
15,108,16,1.3883696780893
16,115,16,1.45430968726163
17,123,16,1.28948420631747
18,126,16,1.32012698412698
19,129,16,1.18071705426357
20,109,16,1.51749915052667
