"sample_ID","S","H","c_score"
1,80,23,1.46582278481013
2,97,23,0.90270618556701
3,87,23,0.932103715584068
4,80,23,1.26170886075949
5,77,23,1.42173615857826
6,88,23,1.36259143155695
7,78,23,1.42524142524143
8,74,23,1.11032950758978
9,80,23,1.68037974683544
10,72,23,1.87284820031299
11,83,23,0.724066999706142
12,78,23,1.36230436230436
13,84,23,1.12507171543316
14,75,23,0.955675675675676
15,73,23,2.14649923896499
16,89,23,1.10776302349336
17,81,23,1.34537037037037
18,83,23,1.38436673523362
19,78,23,1.28205128205128
20,85,23,1.73809523809524
21,93,23,1.30878915381019
22,71,23,1.54929577464789
23,91,23,1.26422466422466
24,76,23,0.912631578947368
25,76,23,1.26210526315789
26,77,23,1.12987012987013
27,94,23,1.70098375657744
28,79,23,1.96884128529698
29,85,23,1.24621848739496
30,76,23,1.61789473684211
31,100,23,1.05252525252525
32,95,23,1.31802911534155
33,84,23,1.40447504302926
34,94,23,1.09174102036147
35,92,23,1.23196368848543
36,85,23,0.942296918767507
37,86,23,1.58714090287278
38,82,23,1.41373080397471
39,75,23,1.2154954954955
40,98,23,1.18072796128761
41,88,23,0.989289446185998
42,91,23,0.929181929181929
43,94,23,1.37634408602151
44,83,23,1.8454305024978
45,72,23,1.9010172143975
46,81,23,1.28271604938272
47,90,23,1.32534332084894
48,69,23,1.57928388746803
49,89,23,1.2132277834525
50,69,23,1.45950554134697
51,84,23,1.30349971313827
52,76,23,1.3480701754386
53,78,23,1.11288711288711
54,90,23,1.30461922596754
55,91,23,1.03443223443223
56,78,23,1.54045954045954
57,73,23,1.37252663622527
58,81,23,1.7466049382716
59,88,23,1.46525600835946
60,74,23,1.64568678267308
61,76,23,1.32842105263158
62,80,23,0.993987341772152
63,82,23,1.53146642577537
64,90,23,1.24094881398252
65,79,23,1.22622525154171
66,99,23,1.23582766439909
67,90,23,0.866916354556804
68,86,23,1.3343365253078
69,78,23,0.885114885114885
70,75,23,1.58198198198198
71,74,23,1.22065901517956
72,80,23,1.44177215189873
73,71,23,1.47323943661972
74,90,23,1.08239700374532
75,91,23,1.4959706959707
76,77,23,1.50273410799727
77,90,23,1.57952559300874
78,77,23,1.10663021189337
79,73,23,1.35958904109589
80,70,23,1.05051759834369
81,100,23,1.11353535353535
82,85,23,1.303081232493
83,86,23,1.23228454172367
84,82,23,1.50316169828365
85,106,23,0.905121293800539
86,91,23,1.28571428571429
87,71,23,1.95372233400402
88,87,23,1.35498529804865
89,78,23,1.02697302697303
90,70,23,1.75900621118012
91,88,23,1.66562173458725
92,83,23,1.30678812812225
93,75,23,1.35135135135135
94,87,23,1.14381181502272
95,72,23,1.61463223787167
96,88,23,1.37199582027168
97,87,23,1.4164661855119
98,69,23,1.6078431372549
99,90,23,1.33158551810237
100,93,23,1.43992519869098
101,77,23,1.56766917293233
