"sample_ID","S","H","c_score"
1,106,23,0.753459119496855
2,106,23,0.771967654986523
3,108,23,1.1803392177224
4,109,23,0.838430173292559
5,98,23,0.76709446665264
6,106,23,0.789937106918239
7,109,23,0.957356439007815
8,117,23,0.655614500442087
9,106,23,0.971608265947889
10,107,23,0.624228531123259
11,104,23,0.66747572815534
12,106,23,0.746271338724169
13,127,23,0.432570928633921
14,99,23,0.499278499278499
15,105,23,0.573260073260073
16,104,23,0.89731142643764
17,112,23,0.980855855855856
18,111,23,0.939393939393939
19,107,23,0.909363427966849
20,111,23,0.728091728091728
21,105,23,0.835347985347985
22,111,23,0.616871416871417
23,96,23,1.03793859649123
24,103,23,0.685893774985722
25,89,23,1.15015321756895
26,89,23,0.791879468845761
27,94,23,1.0308853809197
28,111,23,0.778050778050778
29,86,23,0.93953488372093
30,106,23,0.966217430368374
31,88,23,1.2432079414838
32,116,23,0.789955022488756
33,122,23,0.706679311746376
34,116,23,0.592053973013493
35,108,23,0.759432329525787
36,111,23,1.15528255528256
37,116,23,0.869565217391304
38,105,23,0.62967032967033
39,124,23,0.835038027799633
40,105,23,0.634432234432234
