"sample_ID","S","H","c_score"
1,127,23,1.41232345956755
2,135,23,1.97788833609729
3,115,23,1.61342486651411
4,125,23,1.46116129032258
5,114,23,1.74739947213166
6,124,23,1.83634933123525
7,119,23,1.30223614869677
8,132,23,1.60559796437659
9,115,23,1.79847444698703
10,126,23,1.73333333333333
11,128,23,1.70829232283465
12,119,23,1.94715852442672
13,122,23,1.64205392223276
14,122,23,1.65194418100528
15,128,23,1.7466781496063
16,129,23,1.34484011627907
17,115,23,1.57360793287567
18,123,23,1.72037851526056
19,113,23,1.51438053097345
20,128,23,1.29527559055118
21,104,23,1.33383121732636
22,113,23,1.70859671302149
23,122,23,1.58867362146051
24,112,23,1.73600386100386
25,129,23,1.52216569767442
26,135,23,1.50292979546711
27,114,23,1.44915385809657
28,129,23,1.73812984496124
29,124,23,1.4611854183058
30,113,23,1.67983565107459
31,108,23,1.37348563516788
32,126,23,1.72673015873016
33,121,23,1.43884297520661
34,133,23,1.58874458874459
35,125,23,1.48064516129032
36,137,23,1.57481751824818
37,122,23,1.62281533667525
38,121,23,1.94201101928375
39,103,23,1.57890729107177
40,109,23,1.87359836901121
