"suffix","sample_ID","observed_c_score","actual_sample_size","effective_sample_size","mean_c_score","lower_tail_p","upper_tail_p","p_type","standardised_effect_size"
"_1",1,1.33552631578947,3599,1006.14282676246,1.22737389284548,0.979716587941095,0.0205612670186163,"==",2.70598173904696
"_1",2,0.855379482902419,3799,1004.64077561347,0.783483428433934,0.972624374835483,0.027375625164517,"==",2.41702574765838
"_1",3,1.61831955922865,4599,1009.04121088873,1.52085451562413,0.985866492715808,0.0141335072841922,"==",2.60075292362023
"_1",4,1.07241689128482,4199,1037.71322668868,1.01468098659523,0.948082876875447,0.0523934270064301,"==",1.71779366560404
"_1",5,0.868700265251989,5599,1007.18981517508,0.858702769277934,0.704947312020004,0.297195927844258,"==",0.333162144743156
"_1",6,1.32727272727273,4099,1010.90641295003,1.25601736504418,0.956574774335204,0.0436691876067333,"==",1.97932368561999
"_1",7,1.07393548387097,4899,1007.67234220623,1.06794505791175,0.661359461114513,0.340477648499694,"==",0.21020305688744
"_1",8,1.24020016680567,4299,1006.04080845424,1.17345977816281,0.960921144452198,0.0393114677832054,"==",1.98316702071589
"_1",9,1.02380952380952,3599,1020.89410137589,0.983175475076003,0.882467352042234,0.118366212836899,"==",1.12346831594753
"_1",10,1.50071667462972,3999,1021.63638183862,1.4657684368536,0.838709677419355,0.162040510127532,"==",0.817022112146002
"_1",11,1.3371142618849,3799,1003.38114703439,1.28605697342328,0.908396946564885,0.0918662806001579,"==",1.34118985367482
"_1",12,1.42617605961807,4499,1012.06752772097,1.36312608101184,0.935318959768837,0.0653478550789064,"==",1.63576903981731
"_1",13,1.14767616191904,4299,1029.25286220031,1.0818530023195,0.954640614096302,0.0458246103745057,"==",1.91038548940849
"_1",14,1.14108751608752,5499,1051.33999016243,1.08446355520824,0.944535370067285,0.0561920349154392,"==",1.70316366716695
"_1",15,1.21904761904762,4399,1046.46917171856,1.11734022967258,0.987042509661287,0.0131848147306206,"==",2.93209988458599
"_1",16,1.39680783817952,3499,1010.32576282255,1.38837315447542,0.63732494998571,0.362960845955987,"==",0.225934559521084
"_1",17,1.20922882427307,4299,1014.56646187409,1.13492134559856,0.975575715282624,0.0248895091881833,"==",2.26583577147167
"_1",18,0.968412634946022,4099,1009.77972053925,0.88711087899556,0.982190778238595,0.0178092217614052,"==",2.98038739907826
"_1",19,0.711786026746657,5999,1011.00346356145,0.642367237017527,0.987831305217536,0.0121686947824637,"==",2.93820852214488
"_1",20,1.15926773455378,3399,1023.64878135204,1.04604741960944,0.993527508090615,0.00647249190938511,"==",3.55729115235215
"_1",21,1.37889095031952,3699,1013.72750803104,1.32239972594509,0.930792105974588,0.0700189240335226,"==",1.56000974864844
"_1",22,0.812538540596095,5099,1004.62461309089,0.792886459610503,0.817022945675623,0.183565404981369,"==",0.726656627474821
"_1",23,1.20276162790698,4399,1029.3034540343,1.17363266140472,0.851557172084565,0.14889747669925,"==",0.962814522400277
"_1",24,1.40916442048518,4399,1018.04903216959,1.3792888484212,0.828142759718118,0.173221186633326,"==",0.816229086793469
"_1",25,1.40686868686869,3599,1073.24739753635,1.27183314108015,0.992497916087802,0.00750208391219783,"==",3.28855650605771
"_1",26,1.0632380952381,4699,1015.2268912313,0.972671091789202,0.986167269631837,0.0138327303681634,"==",2.80948536235142
