"sample_ID","S","H","c_score"
1,49,16,4.65561224489796
2,49,16,3.4141156462585
3,54,16,4.40111809923131
4,38,16,3.59886201991465
5,51,16,3.93411764705882
6,52,16,3.56184012066365
7,44,16,2.25052854122622
8,47,16,4.87234042553191
9,47,16,3.23311748381129
10,42,16,3.94541231126597
11,57,16,3.89035087719298
12,51,16,2.72
13,40,16,4.38717948717949
14,55,16,3.95555555555556
15,61,16,4.10382513661202
16,45,16,3.62323232323232
17,41,16,3.85609756097561
18,54,16,3.92452830188679
19,47,16,3.97779833487512
20,58,16,3.77374470659407
21,52,16,3.04298642533937
22,50,16,5.09632653061225
23,49,16,4.31122448979592
24,48,16,2.97872340425532
25,67,16,3.98688376300317
26,49,16,3.40051020408163
27,46,16,4.856038647343
28,52,16,2.85218702865762
29,55,16,3.28350168350168
30,43,16,4.86267995570321
31,48,16,3.32269503546099
32,58,16,4.1016333938294
33,57,16,2.72619047619048
34,59,16,3.23261250730567
35,47,16,3.83996299722479
36,45,16,2.5989898989899
37,49,16,3.32568027210884
38,43,16,5.26688815060908
39,47,16,3.21831637372803
40,52,16,4.03846153846154
