"sample_ID","S","H","NODF"
1,122,16,67.7122656888433
2,117,16,68.9990173818956
3,134,16,64.7295077829517
4,138,16,67.9434598030672
5,119,16,66.2926132560279
6,126,16,70.1414356873467
7,134,16,67.2990651318109
8,122,16,69.2596224786659
9,130,16,63.2924124421375
10,141,16,66.0084620066301
11,119,16,65.1645511482714
12,118,16,62.2818573383954
13,124,16,69.1326643883337
14,125,16,74.5267550111672
15,108,16,70.2678220861743
16,115,16,69.8232558054615
17,123,16,70.712023889499
18,126,16,67.3949030006352
19,129,16,67.5905025860037
20,109,16,67.4029160473966
21,111,16,72.2450134817499
22,125,16,70.1784310858326
23,124,16,62.857639837555
24,133,16,69.73273376496
25,118,16,68.8991893447367
26,117,16,67.0885763288457
27,135,16,69.4282297852001
28,108,16,73.1455362224069
29,121,16,66.3331930607474
30,132,16,65.7235251186312
31,111,16,68.37335040232
32,109,16,65.2723469679275
33,115,16,67.4216995262152
34,125,16,67.4433193517126
35,140,16,65.1525398391938
36,130,16,67.877374336291
37,135,16,67.3834398122733
38,132,16,65.8003141075748
39,131,16,68.2065115830407
40,127,16,65.8664021650067
41,117,16,67.1629417664515
42,124,16,72.5308815653266
43,136,16,67.1328488904041
44,129,16,65.2733244261436
45,115,16,69.2010634058841
46,114,16,68.6117304767282
47,119,16,70.7197781046102
48,108,16,66.8514620938396
49,113,16,68.9972503694782
50,110,16,72.0561025836196
51,113,16,62.9842478038641
52,116,16,72.773702461552
53,118,16,66.0917987480139
54,125,16,66.3700691253875
55,118,16,67.9562212540087
56,124,16,68.3609998806807
57,133,16,66.7167838702407
58,125,16,65.6730217464983
59,110,16,67.9221544331929
60,108,16,69.5442373914361
61,116,16,68.1789054594232
62,125,16,70.7868569736816
63,138,16,66.8392718763493
64,122,16,69.694546903517
65,122,16,67.9476577850308
66,126,16,69.500306696278
67,118,16,67.476809886374
68,124,16,71.8871765850938
69,124,16,66.7978419575224
70,133,16,72.2975096059785
71,114,16,68.2783852870237
72,123,16,70.2915603515558
73,133,16,70.0975462499803
74,120,16,69.3276318201806
75,111,16,73.8299644243508
76,112,16,72.9673407149004
77,132,16,69.7006990445882
78,132,16,70.8429448957553
79,110,16,69.0610627090884
80,117,16,70.6811643804539
81,108,16,70.2633112836194
82,124,16,69.4998891037814
83,124,16,69.149131567343
84,133,16,70.6729240624547
85,126,16,66.6544272538718
86,111,16,69.4130083327637
87,125,16,67.557910257921
88,123,16,69.5952977384555
89,122,16,68.2573095275274
90,136,16,64.9360967586774
91,124,16,70.3168216389556
92,114,16,66.2664141315578
93,125,16,67.1388196635802
94,115,16,63.9414731055413
95,127,16,68.6949547961204
96,125,16,65.0125564301842
97,117,16,69.2047977227944
98,118,16,66.1042440124327
99,122,16,73.4811798158591
100,117,16,70.9207076915629
