"sample_ID","S","H","NODF"
1,80,23,83.3971486355661
2,97,23,82.2196115540961
3,87,23,84.6240562902619
4,80,23,82.5018880648395
5,77,23,84.2974665217979
6,88,23,83.2390295006789
7,78,23,82.0492085613615
8,74,23,79.861214668904
9,80,23,83.9434585885079
10,72,23,80.8259756473377
11,83,23,81.090675384302
12,78,23,83.2206622413842
13,84,23,80.6822903221983
14,75,23,83.7944213524111
15,73,23,81.3152416616819
16,89,23,82.2846739233798
17,81,23,82.5216723966817
18,83,23,82.3812625927094
19,78,23,83.4699540562544
20,85,23,81.6189771898811
21,93,23,82.2143908314255
22,71,23,81.876689165985
23,91,23,80.9201758044319
24,76,23,83.363891631697
25,76,23,81.9988425486126
26,77,23,84.3032401086034
27,94,23,81.1738819259364
28,79,23,83.1890729623499
29,85,23,81.4618931997816
30,76,23,80.5639482933699
31,100,23,82.1479092314975
32,95,23,83.8534026381474
33,84,23,82.8566843342645
34,94,23,82.8674126929699
35,92,23,80.3417053828629
36,85,23,81.1596447800152
37,86,23,82.2110495168962
38,82,23,81.2625073306383
39,75,23,79.7516243172061
40,98,23,83.1017403125942
41,88,23,83.1764044053662
42,91,23,80.8503126988947
43,94,23,82.8822544693002
44,83,23,80.5358908339211
45,72,23,80.1349957356386
46,81,23,82.1113825042569
47,90,23,81.3132324075566
48,69,23,82.3342559165451
49,89,23,82.3783422600261
50,69,23,80.9939504083502
51,84,23,81.654408811569
52,76,23,80.6091793253987
53,78,23,81.5690207378005
54,90,23,83.0132786248592
55,91,23,82.9389013630054
56,78,23,82.0616282160444
57,73,23,82.9394161670192
58,81,23,83.3449584364018
59,88,23,83.2443328885878
60,74,23,84.0827190825753
61,76,23,82.7128937454153
62,80,23,81.2506916692233
63,82,23,82.7334354723922
64,90,23,83.4208318847575
65,79,23,82.8991047102131
66,99,23,83.2497151333169
67,90,23,81.2823989189767
68,86,23,83.6532259112327
69,78,23,79.3286970768588
70,75,23,81.6242079300986
71,74,23,82.4797433432643
72,80,23,83.3874227403822
73,71,23,83.3353914964883
74,90,23,84.9456217399732
75,91,23,81.8858832059053
76,77,23,80.8478456167841
77,90,23,83.2146629285601
78,77,23,81.9556952640467
79,73,23,81.340988610876
80,70,23,83.4075051639928
81,100,23,81.0255714811259
82,85,23,83.7103403678451
83,86,23,81.1791338372536
84,82,23,82.0515437037747
85,106,23,82.8540523674002
86,91,23,81.8380546959031
87,71,23,82.2018600845507
88,87,23,80.463625003788
89,78,23,83.7194810296488
90,70,23,82.0655793285648
91,88,23,82.7113439224609
92,83,23,82.0780535212152
93,75,23,81.2084881565127
94,87,23,79.8282179168173
95,72,23,80.4431025014366
96,88,23,81.3640673582049
97,87,23,80.6199878665479
98,69,23,80.3331174220047
99,90,23,82.3244085196484
100,93,23,83.9531597598801
101,77,23,80.2040639855371
