"sample_ID","S","H","NODF"
1,122,16,67.6983786515594
2,117,16,68.9957995680783
3,134,16,64.7047466467853
4,138,16,67.9252304283758
5,119,16,66.2776891879768
6,126,16,70.1372664148848
7,134,16,67.2847933026791
8,122,16,69.248877642654
9,130,16,63.2924124421375
10,141,16,65.9951582091566
11,119,16,65.1558784388215
12,118,16,62.2757549401529
13,124,16,69.1326643883337
14,125,16,74.5208030282875
15,108,16,70.2368893171726
16,115,16,69.8149328757902
17,123,16,70.6784655403169
18,126,16,67.3921234856606
19,129,16,67.5816647189996
20,109,16,67.3701289691549
21,111,16,72.2235944723791
22,125,16,70.1576771680012
23,124,16,62.857639837555
24,133,16,69.7264901646504
25,118,16,68.8991893447367
26,117,16,67.0802478695539
27,135,16,69.4158512399641
28,108,16,73.1266436195876
29,121,16,66.3118139580675
30,132,16,65.7209900716061
31,111,16,68.3506526461211
32,109,16,65.2636519592325
33,115,16,67.3854710023463
34,125,16,67.4302413368958
35,140,16,65.1468996812694
36,130,16,67.877374336291
37,135,16,67.3783479773942
38,132,16,65.7763971821575
39,131,16,68.1848780502607
40,127,16,65.8622975801855
41,117,16,67.1565061388169
42,124,16,72.5208405405683
43,136,16,67.1294533046655
44,129,16,65.2511048570042
45,115,16,69.1672227724745
46,114,16,68.5939669427324
47,119,16,70.7026625434531
48,108,16,66.8280212718229
49,113,16,68.9820863220561
50,110,16,72.0461915352784
51,113,16,62.9530424500781
52,116,16,72.7403934015413
53,118,16,66.0736764744452
54,125,16,66.3566383940406
55,118,16,67.9426151660754
56,124,16,68.3406607352243
57,133,16,66.7087847164322
58,125,16,65.6527587608605
59,110,16,67.9139778183114
60,108,16,69.5385857581141
61,116,16,68.1756326726452
62,125,16,70.7717503804302
63,138,16,66.8352095250603
64,122,16,69.6769061579733
65,122,16,67.926179167365
66,126,16,69.4703805850511
67,118,16,67.4572500941124
68,124,16,71.8721150479564
69,124,16,66.7702846984272
70,133,16,72.2913284416719
71,114,16,68.256877725507
72,123,16,70.2746160164296
73,133,16,70.0877154174927
74,120,16,69.3145464207316
75,111,16,73.7946887060932
76,112,16,72.9673407149004
77,132,16,69.6754905032447
78,132,16,70.8177958712052
79,110,16,69.0487496890316
80,117,16,70.6590354576248
81,108,16,70.1911698465088
82,124,16,69.4973071259864
83,124,16,69.143967611753
84,133,16,70.6543736322013
85,126,16,66.6295199118912
86,111,16,69.3683853965745
87,125,16,67.545203777616
88,123,16,69.5763492346585
89,122,16,68.2519769052104
90,136,16,64.91396414219
91,124,16,70.2899233936221
92,114,16,66.2469387805781
93,125,16,67.1311957753972
94,115,16,63.9187270615824
95,127,16,68.6949547961204
96,125,16,64.9878963335987
97,117,16,69.1890872200394
98,118,16,66.0792015781634
99,122,16,73.4712552132135
100,117,16,70.8935132823859
