"sample_ID","S","H","NODF"
1,80,23,83.2596026512577
2,97,23,82.117802488756
3,87,23,84.5913683694918
4,80,23,82.425940064161
5,77,23,84.1401843575953
6,88,23,83.1624551316517
7,78,23,81.8669539383174
8,74,23,79.5876573786893
9,80,23,83.8964859953882
10,72,23,80.6820928895354
11,83,23,81.0051994543239
12,78,23,83.0154854737074
13,84,23,80.6822903221983
14,75,23,83.6499365439567
15,73,23,81.225573722309
16,89,23,82.2526918333502
17,81,23,82.4043743084417
18,83,23,82.1846779509445
19,78,23,83.335586734387
20,85,23,81.5332388226884
21,93,23,82.0547018610795
22,71,23,81.7529968392344
23,91,23,80.8495814059856
24,76,23,83.363891631697
25,76,23,81.8438567114771
26,77,23,84.2010067018717
27,94,23,81.1338732754174
28,79,23,83.1220696963364
29,85,23,81.3311058599961
30,76,23,80.4869355353179
31,100,23,82.0933253375901
32,95,23,83.842804927253
33,84,23,82.7597332778323
34,94,23,82.8301674026969
35,92,23,80.1355153000114
36,85,23,81.076994447234
37,86,23,82.0857469222998
38,82,23,81.2333616488625
39,75,23,79.7268554928996
40,98,23,83.0542972442762
41,88,23,83.1065128903632
42,91,23,80.8244387338533
43,94,23,82.8390018741445
44,83,23,80.4815661317572
45,72,23,79.9738074915027
46,81,23,82.1113825042569
47,90,23,81.2972197682466
48,69,23,82.2043982789921
49,89,23,82.22302923532
50,69,23,80.6957587961917
51,84,23,81.534055775998
52,76,23,80.5890375271389
53,78,23,81.4916909729707
54,90,23,82.9118072257537
55,91,23,82.8814036629134
56,78,23,82.0002031546193
57,73,23,82.8656570555996
58,81,23,83.2800667482636
59,88,23,83.1561872815742
60,74,23,84.0413439227168
61,76,23,82.4671638066464
62,80,23,81.0519118061952
63,82,23,82.6332803113808
64,90,23,83.4040567388137
65,79,23,82.7308050368144
66,99,23,83.2178773590222
67,90,23,81.1326807414285
68,86,23,83.5094427070606
69,78,23,79.2887707869325
70,75,23,81.5731691406186
71,74,23,82.4162700866631
72,80,23,83.2921985973995
73,71,23,83.2166917156263
74,90,23,84.8957156807905
75,91,23,81.8370101608271
76,77,23,80.8478456167841
77,90,23,83.1512528768927
78,77,23,81.8165005487274
79,73,23,81.2672294994563
80,70,23,83.2273868897965
81,100,23,81.0255714811259
82,85,23,83.6874525833826
83,86,23,81.1300891426101
84,82,23,81.9766975929745
85,106,23,82.8082176017305
86,91,23,81.7863067658203
87,71,23,82.1395561271752
88,87,23,80.413549891119
89,78,23,83.6465387692065
90,70,23,81.93908007819
91,88,23,82.6579120294064
92,83,23,82.0199298888301
93,75,23,81.0552883913579
94,87,23,79.7614510999253
95,72,23,80.340752910835
96,88,23,81.333437610594
97,87,23,80.5866044581019
98,69,23,80.2155508365659
99,90,23,82.3103173970556
100,93,23,83.8854165587227
101,77,23,79.9233153224355
