"sample_ID","S","H","NODF"
1,127,23,59.4296954670588
2,135,23,61.7045735410327
3,115,23,56.2336038590834
4,125,23,57.3261342108273
5,114,23,62.5773055014933
6,124,23,63.862416477723
7,119,23,58.0961957214521
8,132,23,59.9028168062526
9,115,23,59.2129023805157
10,126,23,59.7239360574049
11,128,23,62.8675734210007
12,119,23,59.8302770870683
13,122,23,57.9929141411655
14,122,23,59.2712483799156
15,128,23,59.3796456608865
16,129,23,62.4794942872879
17,115,23,60.4010184612459
18,123,23,57.8731886339752
19,113,23,60.0013202078424
20,128,23,57.0094237269815
21,104,23,57.0265144610197
22,113,23,61.0222999250873
23,122,23,59.3387193794306
24,112,23,58.6147475272533
25,129,23,57.4575836368793
26,135,23,64.2873561924931
27,114,23,61.5551421430654
28,129,23,60.7343686968082
29,124,23,56.3273041124792
30,113,23,61.7896065383893
31,108,23,58.990274726471
32,126,23,60.2397761702585
33,121,23,57.6806641257857
34,133,23,62.6819157537106
35,125,23,58.864447644473
36,137,23,62.3011239081423
37,122,23,57.9862981882681
38,121,23,62.8746200019327
39,103,23,56.3546726354662
40,109,23,61.012846924481
