"sample_ID","S","H","NODF"
1,55,16,87.7769558034753
2,75,16,87.1027828774662
3,64,16,85.1562604213349
4,60,16,90.2199672958362
5,58,16,87.4783103869944
6,46,16,89.6351689613722
7,76,16,88.9721125601397
8,60,16,87.6442465697405
9,59,16,82.8156730031748
10,67,16,87.8206587830993
11,70,16,86.7844314426678
12,61,16,86.6223585873531
13,56,16,84.4194591101218
14,76,16,87.1763367544271
15,69,16,86.2733163674691
16,63,16,85.8233168830701
17,66,16,89.4251442884741
18,56,16,90.8113544197459
19,70,16,88.295312678027
20,77,16,87.7873830849398
21,78,16,88.1013877403874
22,75,16,88.0241299851367
23,65,16,88.5523194059869
24,62,16,86.1813477873623
25,66,16,84.9962766866471
26,61,16,88.65833705623
27,62,16,88.2754422529443
28,61,16,86.8725989317392
29,52,16,87.2652473988055
30,72,16,87.5539387711299
31,58,16,88.4095959978874
32,68,16,85.0168559692189
33,66,16,85.3052091256515
34,77,16,86.7724999714346
35,72,16,86.796497834148
36,53,16,86.8927934548762
37,72,16,87.5734633970456
38,71,16,87.4790004551018
39,63,16,85.5480480100699
40,60,16,87.393201769748
41,60,16,89.2928919090275
42,59,16,89.3503796703152
43,73,16,85.6620025939174
44,57,16,88.0868630772647
45,52,16,89.9399367215642
46,66,16,87.3588111751555
47,79,16,86.3421792353551
48,64,16,80.5793865675858
49,64,16,89.2333727498136
50,66,16,87.7405013776894
51,61,16,88.1945725450555
52,61,16,87.5029402238452
53,57,16,88.7099597116837
54,71,16,85.5655034654353
55,61,16,87.4240363041208
56,62,16,85.2844745446783
57,58,16,89.7083344579363
58,57,16,87.6914552210599
59,68,16,82.0698727814815
60,70,16,81.2624988539034
