suffix,archipelago_ID,H,theta,K,theta_0,theta_1,theta_2,theta_3,theta_4,theta_5,theta_6,theta_7,theta_8,theta_9,K_0,K_1,K_2,K_3,K_4,K_5,K_6,K_7,K_8,K_9,K_10,K_11,K_12,K_13,K_14,K_15,T_0,T_1,T_2,T_3,T_4,T_5,T_6,T_7,T_8,T_9,T_10,T_11,T_12,T_13,T_14,T_15,J_0,J_1,J_2,J_3,J_4,J_5,J_6,J_7,J_8,J_9,J_10,J_11,J_12,J_13,J_14,J_15,m_0,m_1,m_2,m_3,m_4,m_5,m_6,m_7,m_8,m_9,m_10,m_11,m_12,m_13,m_14,m_15
_3,J1_m1,16,10,10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0|1|2|3|4|5|6|7|8|9,0|1|2|3|4|5|6|7|8|9,0|1|2|3|4|5|6|7|8|9,0|1|2|3|4|5|6|7|8|9,0|1|2|3|4|5|6|7|8|9,0|1|2|3|4|5|6|7|8|9,0|1|2|3|4|5|6|7|8|9,0|1|2|3|4|5|6|7|8|9,0|1|2|3|4|5|6|7|8|9,0|1|2|3|4|5|6|7|8|9,0|1|2|3|4|5|6|7|8|9,0|1|2|3|4|5|6|7|8|9,0|1|2|3|4|5|6|7|8|9,0|1|2|3|4|5|6|7|8|9,0|1|2|3|4|5|6|7|8|9,0|1|2|3|4|5|6|7|8|9,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,3181.6330881690105,3181.6330881690105,3181.6330881690105,3181.6330881690105,3181.6330881690105,3181.6330881690105,3181.6330881690105,3181.6330881690105,3181.6330881690105,3181.6330881690105,3181.6330881690105,3181.6330881690105,3181.6330881690105,3181.6330881690105,3181.6330881690105,3181.6330881690105,0.4150616894300385,0.1865228107735078,0.0902505290797352,0.04606008367574982,0.024418689458417648,0.01330859324027603,0.007404467180388476,0.004184987278705079,0.0023946468785876053,0.0013837549228327333,0.0008060340003557161,0.00047263593646423857,0.0002786899893998254,0.0001651124838780144,9.8224299953984e-05,5.8642199235934864e-05
_3,J1_m2,16,10,10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0|1|2|3|4|5|6|7|8|9,0|1|2|3|4|5|6|7|8|9,0|1|2|3|4|5|6|7|8|9,0|1|2|3|4|5|6|7|8|9,0|1|2|3|4|5|6|7|8|9,0|1|2|3|4|5|6|7|8|9,0|1|2|3|4|5|6|7|8|9,0|1|2|3|4|5|6|7|8|9,0|1|2|3|4|5|6|7|8|9,0|1|2|3|4|5|6|7|8|9,0|1|2|3|4|5|6|7|8|9,0|1|2|3|4|5|6|7|8|9,0|1|2|3|4|5|6|7|8|9,0|1|2|3|4|5|6|7|8|9,0|1|2|3|4|5|6|7|8|9,0|1|2|3|4|5|6|7|8|9,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,3181.6330881690105,3181.6330881690105,3181.6330881690105,3181.6330881690105,3181.6330881690105,3181.6330881690105,3181.6330881690105,3181.6330881690105,3181.6330881690105,3181.6330881690105,3181.6330881690105,3181.6330881690105,3181.6330881690105,3181.6330881690105,3181.6330881690105,3181.6330881690105,0.017643589971219825,0.011827599421697156,0.008227265451521634,0.005877504807042896,0.0042794879476186435,0.003159342483841697,0.002356554770271924,0.0017716490789738274,0.0013401437083166506,0.0010187326401586187,0.0007775123794942351,0.000595379670754871,0.00045718430862166416,0.0003519010697746041,0.00027141891047878004,0.00020971802361015895
_3,J1_m3,16,10,10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0|1|2|3|4|5|6|7|8|9,0|1|2|3|4|5|6|7|8|9,0|1|2|3|4|5|6|7|8|9,0|1|2|3|4|5|6|7|8|9,0|1|2|3|4|5|6|7|8|9,0|1|2|3|4|5|6|7|8|9,0|1|2|3|4|5|6|7|8|9,0|1|2|3|4|5|6|7|8|9,0|1|2|3|4|5|6|7|8|9,0|1|2|3|4|5|6|7|8|9,0|1|2|3|4|5|6|7|8|9,0|1|2|3|4|5|6|7|8|9,0|1|2|3|4|5|6|7|8|9,0|1|2|3|4|5|6|7|8|9,0|1|2|3|4|5|6|7|8|9,0|1|2|3|4|5|6|7|8|9,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,3181.6330881690105,3181.6330881690105,3181.6330881690105,3181.6330881690105,3181.6330881690105,3181.6330881690105,3181.6330881690105,3181.6330881690105,3181.6330881690105,3181.6330881690105,3181.6330881690105,3181.6330881690105,3181.6330881690105,3181.6330881690105,3181.6330881690105,3181.6330881690105,0.00075,0.00075,0.00075,0.00075,0.00075,0.00075,0.00075,0.00075,0.00075,0.00075,0.00075,0.00075,0.00075,0.00075,0.00075,0.00075
_3,J1_m4,16,10,10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0|1|2|3|4|5|6|7|8|9,0|1|2|3|4|5|6|7|8|9,0|1|2|3|4|5|6|7|8|9,0|1|2|3|4|5|6|7|8|9,0|1|2|3|4|5|6|7|8|9,0|1|2|3|4|5|6|7|8|9,0|1|2|3|4|5|6|7|8|9,0|1|2|3|4|5|6|7|8|9,0|1|2|3|4|5|6|7|8|9,0|1|2|3|4|5|6|7|8|9,0|1|2|3|4|5|6|7|8|9,0|1|2|3|4|5|6|7|8|9,0|1|2|3|4|5|6|7|8|9,0|1|2|3|4|5|6|7|8|9,0|1|2|3|4|5|6|7|8|9,0|1|2|3|4|5|6|7|8|9,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,3181.6330881690105,3181.6330881690105,3181.6330881690105,3181.6330881690105,3181.6330881690105,3181.6330881690105,3181.6330881690105,3181.6330881690105,3181.6330881690105,3181.6330881690105,3181.6330881690105,3181.6330881690105,3181.6330881690105,3181.6330881690105,3181.6330881690105,3181.6330881690105,8.431519233953546e-05,0.00011706592479796042,0.0001594082380034434,0.00021423878433991447,0.0002852900992068725,0.000377409992692617,0.0004969753362008938,0.0006525329566048787,0.0008558061614978889,0.0011232276915766157,0.0014781385110887947,0.00195386506452372,0.0025983852965726553,0.003482252887333972,0.004712713549492095,0.0064596218141407275
_3,J1_m5,16,10,10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0|1|2|3|4|5|6|7|8|9,0|1|2|3|4|5|6|7|8|9,0|1|2|3|4|5|6|7|8|9,0|1|2|3|4|5|6|7|8|9,0|1|2|3|4|5|6|7|8|9,0|1|2|3|4|5|6|7|8|9,0|1|2|3|4|5|6|7|8|9,0|1|2|3|4|5|6|7|8|9,0|1|2|3|4|5|6|7|8|9,0|1|2|3|4|5|6|7|8|9,0|1|2|3|4|5|6|7|8|9,0|1|2|3|4|5|6|7|8|9,0|1|2|3|4|5|6|7|8|9,0|1|2|3|4|5|6|7|8|9,0|1|2|3|4|5|6|7|8|9,0|1|2|3|4|5|6|7|8|9,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,3181.6330881690105,3181.6330881690105,3181.6330881690105,3181.6330881690105,3181.6330881690105,3181.6330881690105,3181.6330881690105,3181.6330881690105,3181.6330881690105,3181.6330881690105,3181.6330881690105,3181.6330881690105,3181.6330881690105,3181.6330881690105,3181.6330881690105,3181.6330881690105,9.478735545670504e-06,1.827257433173565e-05,3.388131512448328e-05,6.11976756205925e-05,0.00010852058760728948,0.0001899177367789884,0.00032931264638932234,0.0005677323459406736,0.0009765389147436687,0.001682187262832709,0.002913191277285064,0.0050901182538217035,0.009002141532593278,0.016168113561794376,0.029612891999421864,0.05563561864229702
_3,J2_m1,16,10,10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0|1|2|3|4|5|6|7|8|9,0|1|2|3|4|5|6|7|8|9,0|1|2|3|4|5|6|7|8|9,0|1|2|3|4|5|6|7|8|9,0|1|2|3|4|5|6|7|8|9,0|1|2|3|4|5|6|7|8|9,0|1|2|3|4|5|6|7|8|9,0|1|2|3|4|5|6|7|8|9,0|1|2|3|4|5|6|7|8|9,0|1|2|3|4|5|6|7|8|9,0|1|2|3|4|5|6|7|8|9,0|1|2|3|4|5|6|7|8|9,0|1|2|3|4|5|6|7|8|9,0|1|2|3|4|5|6|7|8|9,0|1|2|3|4|5|6|7|8|9,0|1|2|3|4|5|6|7|8|9,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,564.0596677807247,710.1090495373293,893.9743276075471,1125.4469985167452,1416.853826060202,1783.7132864249832,2245.5619836352976,2826.9950449573967,3558.9759011130586,4480.485201874271,5640.596677807246,7101.090495373293,8939.74327607548,11254.46998516745,14168.538260602048,17837.13286424983,0.4150616894300385,0.1865228107735078,0.0902505290797352,0.04606008367574982,0.024418689458417648,0.01330859324027603,0.007404467180388476,0.004184987278705079,0.0023946468785876053,0.0013837549228327333,0.0008060340003557161,0.00047263593646423857,0.0002786899893998254,0.0001651124838780144,9.8224299953984e-05,5.8642199235934864e-05
_3,J2_m2,16,10,10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0|1|2|3|4|5|6|7|8|9,0|1|2|3|4|5|6|7|8|9,0|1|2|3|4|5|6|7|8|9,0|1|2|3|4|5|6|7|8|9,0|1|2|3|4|5|6|7|8|9,0|1|2|3|4|5|6|7|8|9,0|1|2|3|4|5|6|7|8|9,0|1|2|3|4|5|6|7|8|9,0|1|2|3|4|5|6|7|8|9,0|1|2|3|4|5|6|7|8|9,0|1|2|3|4|5|6|7|8|9,0|1|2|3|4|5|6|7|8|9,0|1|2|3|4|5|6|7|8|9,0|1|2|3|4|5|6|7|8|9,0|1|2|3|4|5|6|7|8|9,0|1|2|3|4|5|6|7|8|9,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,564.0596677807247,710.1090495373293,893.9743276075471,1125.4469985167452,1416.853826060202,1783.7132864249832,2245.5619836352976,2826.9950449573967,3558.9759011130586,4480.485201874271,5640.596677807246,7101.090495373293,8939.74327607548,11254.46998516745,14168.538260602048,17837.13286424983,0.017643589971219825,0.011827599421697156,0.008227265451521634,0.005877504807042896,0.0042794879476186435,0.003159342483841697,0.002356554770271924,0.0017716490789738274,0.0013401437083166506,0.0010187326401586187,0.0007775123794942351,0.000595379670754871,0.00045718430862166416,0.0003519010697746041,0.00027141891047878004,0.00020971802361015895
_3,J2_m3,16,10,10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0|1|2|3|4|5|6|7|8|9,0|1|2|3|4|5|6|7|8|9,0|1|2|3|4|5|6|7|8|9,0|1|2|3|4|5|6|7|8|9,0|1|2|3|4|5|6|7|8|9,0|1|2|3|4|5|6|7|8|9,0|1|2|3|4|5|6|7|8|9,0|1|2|3|4|5|6|7|8|9,0|1|2|3|4|5|6|7|8|9,0|1|2|3|4|5|6|7|8|9,0|1|2|3|4|5|6|7|8|9,0|1|2|3|4|5|6|7|8|9,0|1|2|3|4|5|6|7|8|9,0|1|2|3|4|5|6|7|8|9,0|1|2|3|4|5|6|7|8|9,0|1|2|3|4|5|6|7|8|9,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,564.0596677807247,710.1090495373293,893.9743276075471,1125.4469985167452,1416.853826060202,1783.7132864249832,2245.5619836352976,2826.9950449573967,3558.9759011130586,4480.485201874271,5640.596677807246,7101.090495373293,8939.74327607548,11254.46998516745,14168.538260602048,17837.13286424983,0.00075,0.00075,0.00075,0.00075,0.00075,0.00075,0.00075,0.00075,0.00075,0.00075,0.00075,0.00075,0.00075,0.00075,0.00075,0.00075
_3,J2_m4,16,10,10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0|1|2|3|4|5|6|7|8|9,0|1|2|3|4|5|6|7|8|9,0|1|2|3|4|5|6|7|8|9,0|1|2|3|4|5|6|7|8|9,0|1|2|3|4|5|6|7|8|9,0|1|2|3|4|5|6|7|8|9,0|1|2|3|4|5|6|7|8|9,0|1|2|3|4|5|6|7|8|9,0|1|2|3|4|5|6|7|8|9,0|1|2|3|4|5|6|7|8|9,0|1|2|3|4|5|6|7|8|9,0|1|2|3|4|5|6|7|8|9,0|1|2|3|4|5|6|7|8|9,0|1|2|3|4|5|6|7|8|9,0|1|2|3|4|5|6|7|8|9,0|1|2|3|4|5|6|7|8|9,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,564.0596677807247,710.1090495373293,893.9743276075471,1125.4469985167452,1416.853826060202,1783.7132864249832,2245.5619836352976,2826.9950449573967,3558.9759011130586,4480.485201874271,5640.596677807246,7101.090495373293,8939.74327607548,11254.46998516745,14168.538260602048,17837.13286424983,8.431519233953546e-05,0.00011706592479796042,0.0001594082380034434,0.00021423878433991447,0.0002852900992068725,0.000377409992692617,0.0004969753362008938,0.0006525329566048787,0.0008558061614978889,0.0011232276915766157,0.0014781385110887947,0.00195386506452372,0.0025983852965726553,0.003482252887333972,0.004712713549492095,0.0064596218141407275
_3,J2_m5,16,10,10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0|1|2|3|4|5|6|7|8|9,0|1|2|3|4|5|6|7|8|9,0|1|2|3|4|5|6|7|8|9,0|1|2|3|4|5|6|7|8|9,0|1|2|3|4|5|6|7|8|9,0|1|2|3|4|5|6|7|8|9,0|1|2|3|4|5|6|7|8|9,0|1|2|3|4|5|6|7|8|9,0|1|2|3|4|5|6|7|8|9,0|1|2|3|4|5|6|7|8|9,0|1|2|3|4|5|6|7|8|9,0|1|2|3|4|5|6|7|8|9,0|1|2|3|4|5|6|7|8|9,0|1|2|3|4|5|6|7|8|9,0|1|2|3|4|5|6|7|8|9,0|1|2|3|4|5|6|7|8|9,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,564.0596677807247,710.1090495373293,893.9743276075471,1125.4469985167452,1416.853826060202,1783.7132864249832,2245.5619836352976,2826.9950449573967,3558.9759011130586,4480.485201874271,5640.596677807246,7101.090495373293,8939.74327607548,11254.46998516745,14168.538260602048,17837.13286424983,9.478735545670504e-06,1.827257433173565e-05,3.388131512448328e-05,6.11976756205925e-05,0.00010852058760728948,0.0001899177367789884,0.00032931264638932234,0.0005677323459406736,0.0009765389147436687,0.001682187262832709,0.002913191277285064,0.0050901182538217035,0.009002141532593278,0.016168113561794376,0.029612891999421864,0.05563561864229702
_3,J3_m1,16,10,10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0|1|2|3|4|5|6|7|8|9,0|1|2|3|4|5|6|7|8|9,0|1|2|3|4|5|6|7|8|9,0|1|2|3|4|5|6|7|8|9,0|1|2|3|4|5|6|7|8|9,0|1|2|3|4|5|6|7|8|9,0|1|2|3|4|5|6|7|8|9,0|1|2|3|4|5|6|7|8|9,0|1|2|3|4|5|6|7|8|9,0|1|2|3|4|5|6|7|8|9,0|1|2|3|4|5|6|7|8|9,0|1|2|3|4|5|6|7|8|9,0|1|2|3|4|5|6|7|8|9,0|1|2|3|4|5|6|7|8|9,0|1|2|3|4|5|6|7|8|9,0|1|2|3|4|5|6|7|8|9,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,100.0,158.48931924611142,251.18864315095797,398.1071705534973,630.957344480193,1000.0,1584.8931924611138,2511.886431509582,3981.0717055349733,6309.57344480193,10000.0,15848.93192461114,25118.86431509583,39810.71705534969,63095.73444801942,100000.0,0.4150616894300385,0.1865228107735078,0.0902505290797352,0.04606008367574982,0.024418689458417648,0.01330859324027603,0.007404467180388476,0.004184987278705079,0.0023946468785876053,0.0013837549228327333,0.0008060340003557161,0.00047263593646423857,0.0002786899893998254,0.0001651124838780144,9.8224299953984e-05,5.8642199235934864e-05
