suffix,K,H,m,theta,J,S
_1,5,16,0.001,8,10.0,5.003741594241086
_1,5,16,0.001,8,18.478497974222908,5.017547046304884
_1,5,16,0.001,8,34.145488738336006,5.052561055792195
_1,5,16,0.001,8,63.09573444801933,5.131870191165866
_1,5,16,0.001,8,116.59144011798311,5.301168728029843
_1,5,16,0.001,8,215.44346900318823,5.645739707377453
_1,5,16,0.001,8,398.1071705534973,6.3100176822375555
_1,5,16,0.001,8,735.6422544596413,7.499693971390375
_1,5,16,0.001,8,1359.3563908785254,9.427340647136754
_1,5,16,0.001,8,2511.88643150958,12.196466745076627
_1,5,16,0.001,8,4641.588833612777,15.7266500625915
_1,5,16,0.001,8,8576.958985908937,19.81619006352166
_1,5,16,0.001,8,15848.93192461114,24.261026542855504
_1,5,16,0.001,8,29286.445646252374,28.913896715930438
_1,5,16,0.001,8,54116.952654646375,33.68387754510193
_1,5,16,0.001,8,100000.0,38.51855414236646
_2,5,16,0.0007,35,10.0,5.003261705095621
_2,5,16,0.0007,35,18.478497974222908,5.0153117371720235
_2,5,16,0.0007,35,34.145488738336006,5.04596488408853
_2,5,16,0.0007,35,63.09573444801933,5.115850181924191
_2,5,16,0.0007,35,116.59144011798311,5.267076551808161
_2,5,16,0.0007,35,215.44346900318823,5.583399276981673
_2,5,16,0.0007,35,398.1071705534973,6.225993081603196
_2,5,16,0.0007,35,735.6422544596413,7.489453865936209
_2,5,16,0.0007,35,1359.3563908785254,9.867858324585354
_2,5,16,0.0007,35,2511.88643150958,14.077938163339695
_2,5,16,0.0007,35,4641.588833612777,20.93511158018147
_2,5,16,0.0007,35,8576.958985908937,31.036362817711364
_2,5,16,0.0007,35,15848.93192461114,44.443340414317014
_2,5,16,0.0007,35,29286.445646252374,60.66623365223073
_2,5,16,0.0007,35,54116.952654646375,78.94935443468273
_2,5,16,0.0007,35,100000.0,98.57735488464193
_3,10,16,0.00075,10,100.0,10.122068412830899
_3,10,16,0.00075,10,158.48931924611142,10.23387159677085
_3,10,16,0.00075,10,251.18864315095797,10.428993134920452
_3,10,16,0.00075,10,398.1071705534973,10.760678779110389
_3,10,16,0.00075,10,630.957344480193,11.307936773176753
_3,10,16,0.00075,10,1000.0,12.177529145725137
_3,10,16,0.00075,10,1584.893192461114,13.493512264937149
_3,10,16,0.00075,10,2511.886431509582,15.36723766521015
_3,10,16,0.00075,10,3981.0717055349733,17.85467856402194
_3,10,16,0.00075,10,6309.57344480193,20.928680515635488
_3,10,16,0.00075,10,10000.0,24.491178343479486
_3,10,16,0.00075,10,15848.93192461114,28.415701429604788
_3,10,16,0.00075,10,25118.864315095823,32.586957912692796
_3,10,16,0.00075,10,39810.71705534969,36.918286548041465
_3,10,16,0.00075,10,63095.73444801943,41.351132271944934
_3,10,16,0.00075,10,100000.0,45.847870202983955
