baseline_suffix,island_ID,K,H,m,theta,J,S
_3,0,10,16,0.41506168943003846,10,100.0,25
_3,1,10,16,0.1865228107735078,10,158.48931924611142,25
_3,2,10,16,0.0902505290797352,10,251.18864315095797,25
_3,3,10,16,0.04606008367574982,10,398.1071705534973,25
_3,4,10,16,0.024418689458417648,10,630.957344480193,25
_3,5,10,16,0.013308593240276032,10,1000.0,25
_3,6,10,16,0.007404467180388477,10,1584.8931924611138,25
_3,7,10,16,0.004184987278705079,10,2511.886431509582,25
_3,8,10,16,0.0023946468785876044,10,3981.0717055349733,25
_3,9,10,16,0.0013837549228327333,10,6309.57344480193,25
_3,10,10,16,0.0008060340003557159,10,10000.0,25
_3,11,10,16,0.00047263593646423857,10,15848.93192461114,25
_3,12,10,16,0.0002786899893998254,10,25118.864315095827,25
_3,13,10,16,0.0001651124838780144,10,39810.71705534969,25
_3,14,10,16,9.822429995398401e-05,10,63095.73444801942,25
_3,15,10,16,5.8642199235934864e-05,10,100000.0,25
