,simulated_0,simulated_1,simulated_2,simulated_3,simulated_4,simulated_5
species_0_0,1,1,1,1,1,1
species_0_1,0,0,0,0,1,1
species_0_2,0,0,0,0,0,1
species_1_0,1,0,1,1,1,1
species_1_1,0,1,0,1,1,1
species_1_2,0,0,0,0,0,1
species_1_3,0,0,0,0,0,1
species_1_4,0,0,0,0,0,1
species_2_0,1,0,1,1,1,1
species_2_1,0,1,0,0,1,1
species_2_2,0,0,1,0,1,1
species_2_3,0,0,0,1,1,1
species_2_4,0,0,0,1,1,1
species_2_5,0,0,0,1,0,1
species_2_6,0,0,0,0,1,1
species_2_7,0,0,0,0,1,1
species_2_8,0,0,0,0,0,1
species_2_9,0,0,0,0,0,1
species_3_0,1,0,0,0,0,1
species_3_1,0,1,1,1,1,1
species_3_2,0,0,0,1,1,1
species_3_3,0,0,0,1,0,1
species_3_4,0,0,0,0,1,1
species_3_5,0,0,0,0,1,1
species_3_6,0,0,0,0,1,1
species_3_7,0,0,0,0,0,1
species_3_8,0,0,0,0,0,1
species_3_9,0,0,0,0,0,1
species_3_10,0,0,0,0,0,1
species_4_0,1,0,0,0,1,1
species_4_1,0,1,1,1,1,1
species_4_2,0,0,0,1,1,1
species_4_3,0,0,0,0,1,1
species_4_4,0,0,0,0,1,1
species_4_5,0,0,0,0,1,1
species_4_6,0,0,0,0,0,1
species_4_7,0,0,0,0,0,1
species_4_8,0,0,0,0,0,1
species_4_9,0,0,0,0,0,1
species_4_10,0,0,0,0,0,1
species_4_11,0,0,0,0,0,1
