baseline_suffix,island_ID,K,H,m,theta,J,S
_3,0,10,16,9.478735545670502e-06,10,3181.6330881690105,10.1220684128309
_3,1,10,16,1.827257433173565e-05,10,3181.6330881690105,10.233871596770848
_3,2,10,16,3.388131512448328e-05,10,3181.6330881690105,10.428993134920454
_3,3,10,16,6.11976756205925e-05,10,3181.6330881690105,10.760678779110386
_3,4,10,16,0.00010852058760728948,10,3181.6330881690105,11.30793677317675
_3,5,10,16,0.0001899177367789884,10,3181.6330881690105,12.177529145725137
_3,6,10,16,0.0003293126463893224,10,3181.6330881690105,13.493512264937149
_3,7,10,16,0.0005677323459406736,10,3181.6330881690105,15.36723766521015
_3,8,10,16,0.0009765389147436687,10,3181.6330881690105,17.854678564021942
_3,9,10,16,0.001682187262832709,10,3181.6330881690105,20.928680515635488
_3,10,10,16,0.002913191277285064,10,3181.6330881690105,24.49117834347949
_3,11,10,16,0.005090118253821705,10,3181.6330881690105,28.415701429604788
_3,12,10,16,0.009002141532593278,10,3181.6330881690105,32.5869579126928
_3,13,10,16,0.016168113561794376,10,3181.6330881690105,36.918286548041465
_3,14,10,16,0.029612891999421864,10,3181.6330881690105,41.35113227194493
_3,15,10,16,0.05563561864229702,10,3181.6330881690105,45.84787020298396
