archipelago_ID,sample_ID,S,H,K,no_spp_niche_0,no_spp_niche_1,no_spp_niche_2,no_spp_niche_3,no_spp_niche_4,no_spp_niche_5,no_spp_niche_6,no_spp_niche_7,no_spp_niche_8,no_spp_niche_9,no_spp_island_0,no_spp_island_1,no_spp_island_2,no_spp_island_3,no_spp_island_4,no_spp_island_5,no_spp_island_6,no_spp_island_7,no_spp_island_8,no_spp_island_9,no_spp_island_10,no_spp_island_11,no_spp_island_12,no_spp_island_13,no_spp_island_14,no_spp_island_15,presence_absence_matrix_cols_isles_concatenated
J1_m5,1,61,16,10,6,3,11,6,5,7,4,6,5,8,10,11,10,10,12,12,15,17,20,16,24,31,35,38,44,53,paaaaapaapaaaaaaaaaapaaaaapaaaapaaaaaapaaapaaaaapaaaapaaaaaaaapaaaapaaappaaaaaaaaapaaaaapaaapaaaaaaapaaapaaaapaaaaapaaaaaaaapaaapaaaaapaaaaaaaapaaaapaaaapaaaaaaaapaapaaaapaaaaapaaaaaaaapaaapaaapaaaaaaaaaapaaaapaaaaapaaaaaapaaapaaaapaaaaapaaaaaapaaaaapaaappaaaaaaaapaaaaaaappaapaaaaaapaaapaaaapaaaaapaaaaaaaapaaapaaaapaaaaaaaappaaaaapaaappaaaaaapaaapaaaapaaaapaaaaaaapapaaapaaapaapaaaaaaappaaapaaaappaaaaaaapapapaaaapaaapaaaaaaapaaaaapaaappaaaaaaaaapaaaaaappaapaaaaaappapppaaapaaaapppaaaaappaaaapaappaapaaaaaapaappaappppppaaaaaaapaappaaapaaaapaaaaaaaapppaapaaapaaaaaaaaappaapaaappappaaaaaaapaaaapaapaaaaapaaaaaapaaapapaapppaappaaaappaapapapaappaaaaapppaappapapaaaapapaaaaapppapapaaappaaaapaaappaaaappppapppaaaapppapppapapaaaappappppapppaaappaappppaappaappaapapppppppappaaappapppaaappaaapppapaappppppapaappppppapaaappaapapppaappapaaapppppppapppappappaapapapppaappapapppppappppppaapapppppppppppapppapppppappaaappppapaappppppppapppappappapppappppppppppppppppppppppppapppappppapppp
J1_m5,2,60,16,10,5,9,5,10,4,3,4,5,9,6,10,11,10,10,12,11,15,17,17,21,30,29,37,44,46,46,paaaapaaaaaaaapaaaapaaaaaaaaapaaapaapaaapaaaapaaaaaaaapaaaaappaaapaaaaaaaaapaaaapaaaaaaaaapaapaaapaaapaaapaaaaaaaapaaaaaapaaaapaaaaaaapaaaapaaaaaaaaaaapapaapaaaaapaaapaaaaaaapaaaaaapaaaaapaaaaaapaaaaaapaaaaaaaapaapaapaaapaaaaaapaaaaaaapaaaaappaappaaaaaaapaaaapaaaaaaaaaaapaapaapaaaapaapaaaaaaaaapaaaaaaapaapaaaaaaapaaaapaaaaaaaaaapaapaaaapappaaapaaaaaaaapaaaaappaaapaaaaaaaappaaapaaaaaaaaaapaapaaappaaappappaaaaaaapaaaaappaaappaaaaaaapaaaapaapaaaaaapppaaapapaaaapaaapaaaaaaapppaaaappaapaapaaaaapaaaapppapaaaaaaapaaappppapaaaapaaaaaaaaapaaaappaaapaaappaaapaaaapapappaaaaaapapaappaapppaapaaaaaaaappapaapppapppaaaaaaapapaapapapaaaaapppappppppapppaappapaaaaapppapapppappppaapaaapaapapaappapaaapapapppppaapppaappaapaaaappaaaappaapppppppaaapapaappppapppaapppappppppappppappaaapaaapppaaappppppppppppaappaaapapppppaaapppppappppppppaappapappppppppaappppappaappappppapppppppppappppppppppppapppaapppappaaappppappppppppppppapappaaapppppppapapppappppppappppppppaappaapppapp
J1_m5,3,56,16,10,6,7,2,6,5,7,3,7,7,6,10,10,10,11,11,10,16,14,15,18,22,25,33,41,43,49,paaaaapaaaaaapapaaaaapaaaapaaaaaapaapaaaaaapaaaaaapaaaaaapaaaaapaaaaapaapaaaaapaaapaaaaaapaapaaaaaapaaaaaapaaaaaapaaaaapaaaaapaapaaaaaapaapaaaaaapaapaaaaaaapaaaaapaaaaaapaaaaaapaaaapaapaaaaaapaaapaaaaappapaaaaaaaapaaaaapaaaaapaaaaapaaaaapaapaaaapaaaapaaaaaapaapaaaaaapaaaaaapapaaaapaaaaapaaaaapaaapaaaaaapaaapaaaapaapaaaaaapaaaaaaapaaaappaaaaappppaapapaapaaaappapaaaaaapaapaaaaaapaaaaaaapaaaapaaaaaapapaaapapppaaaaappaaaapaaapaapaaaaaapaaaaaapaaaaappaaaaappaaaapaappaaapaaaapaaapaapaapaaaaaapaapaaapaaaaapppppaapaaaaapaapaaaapapaapaappaapaapaaaaaappaaaaapaaaaappaaaaappaapapappapaappppapaaapaapaapaaaaaapaappaapapaaappaaaaapaapaapappppaapappapppppaapaapaaaaaapappapaappaaappaaaaapppppapapppaaapappappppppappapppaaaappapapappppaapppappappppappappppaapappapapppaappappappaappppppppppppppppaapppppaappappppppppppapppppppppppapaaaapappapppppppppppapppppppppppppppaappppppppppapppapppapppppppppppppppa
J1_m5,4,66,16,10,8,5,5,6,5,8,9,8,7,5,11,10,10,12,10,12,17,14,18,22,25,28,38,45,50,56,paaaaaaapaaaapaaaappaaaapaaaapaaaaaaapaaaaaaaapaaaaaaapaaaaaapaaaapaaaaaaaapaaaapaaaaapaaaapaaaapaaaaaaapaaaaaaaapaaaaaapaaaaaapaaaaapaaaaaapaaaaaapaaaaapaapaaaapaaaaaaaaapaaaaaaaapaaaaapaaaaaapaaaaaapaaaaapaaaaapaaapaaaaappaaapaaaaaaaaaapaaaaaappaaaaapaaaaaapaaaapaaaaaaapaaaaapaaaaapaaapaaaapaaaaaaaaaaapaaaaapaaaaaapaaaaaapaaaaappaaaaapaaaaapaaapaapaapaaaapaaaaaaaaaaapaaaaapaaaaaapaaaaaapaaaaappaaaaappaaaapaaapppapapaaaaapaaaaaaaaaapaaaaappaaaaapaaaaaappaaaaaappaaapaaaapaaaapaapaapaaaapapaaaaaaaaapaaaaappaaaaapaaaaaapaaaaappapaaapaaaappaaapappaapaaaapapaaaaaaaapaaaaaapaaaaaappaaaaappaaapppapaaapapaappaaapaapaappaaapppaaaaaaaaappaaaappaaaaapapaaaapaaaaaapappaapaaaappapappapaappaaaappppaaaapaapapaaappaaaaapaapaaappaaapppapaaappapaapaaappapaappaaappppaaaaaaaapppaaappaaaaapppaaaapppaapapapapapppppppppappppaappaaappppapaappaappppappppaaaappaaaaappaaapppppaaapppaappppappppapppppappppaaaappappappapppppaaapppppaappppapppapaaapppppppppppppppapppaapppppappppapppppappppapaappppapappapppppapaappppaappppppppppappaappppppappppppppppppppppppppppppppppppa
J1_m5,5,59,16,10,7,6,3,10,4,8,7,5,6,3,10,10,11,10,11,11,12,14,17,17,23,22,29,33,41,42,paaaaaapaaaaapaapaaaaaaaaapaaapaaaaaaapaaaaaapaaaapaaaaapaaapaaaaaapaaaapaapaaaaaaaaapaaapaaaaaaaapaaaaaapaaapaaaaapaaaapaaaapapaaapaapaaaaaaaaapaaapaaaaaaaapaaaaaapaaapaaaaaapaaapaaaapaaaaapaaapaaaaaaaapaaapaaaaaaaapaaaaapaaaaapaaaapaaapaaaaapaaaaapaapaaaaaaaaapaaappaaaaaaapaaaaaapaaaapaaaapaaapaaaaapaaaaapaaapaaaaaaaapaaapaaaaaaaaappaaaapaaapaaaaaapaaapaaaapaaaaapaapaaaaaaaaapaaaaapaaaaaapaapaappaaaaapaaapaaaapaaaaaapaaappapaaaaaaaaapaaapaapaaaaapaaaaaapaaappaaaapapaapaaaaappaaapaapapaaaaaaapaaapaaapaaaapaaaaaapaaapaappapppaapaaaapapaaapaapaapaaaaaapaaapaaaapaaapaaaaappaaappapaappaapppaaappppaapaapaaaaaaaaappaapapaapaaapaaapaappaapppapaapaaappaaapppapappappaapaaaaappaapaapaaaaapaaaaappaaapaaaaapppappaaaapppaaappappaaapaaaapppapapaaaaappaaapppppaappppaapppappappapppaaapapppapaapaaappaapappaapaappppaappppapppaaappppppaaappppapapaapppppppppappaapapapaaapppapppppppppppapapppppppaaapppappppapppapaaapppapppapppappapppppappapappppapppp
J1_m5,6,63,16,10,10,6,5,4,7,7,4,8,5,7,11,10,11,10,10,11,16,19,17,25,28,22,39,42,45,52,ppaaaaaaaapaaaaapaaaapaaapaaaaaapaaaaaapaaapaaaaaaapaaaapaaaaaaaapaaaaaaaapaaaapaaaapaaaapaaaaaapaaaaapaaapaaaaaaaapaaapaaaaaapaaaaaaaaapaaaaappaaapaaaapaaaaapaaaaaapaaapaaaaaaaapaaapaaaaaapaaaaaaaaapaaaaaaapaapaaapaaaaaaaapaaaaapaaapaaaaaaapaaaapaaaaapaaaaaaaaapaaaaaaaapaapaapaaaaaapaaaaaaapaapaaaaaaaapaaapaaaaaaaaapaaaaaaapaaaapaapapaaaaapaaaapaaaaaapaaapaaaaaaaapaaapaaaaaapaaaaaaaaapaaaaapaaaapaaapppaaaapppaaaaaapaaapaaaaappaaappaaaaapppappaaaapaaaaaaaapapapappaaaaapaaaaaapaaapapaaaaaappaapapaaaapaaaaaaaaapaaaaapaapapaaaaappaaapaaaaaappaapappaaaaappaapapaaaapaaaaapaaappaaaappppapppaapppaaapaaaaaappaapaaapaaapppaapappaaapappapaaaappaaaappapapapappaapaapaaaaaappaappaapppappppapapaaaapapaaaaaaapppaaaapppapaaapppaaaapaaaaaapppapaaaaaaapppaappaaaaapappapaaaappppaapppppppppppppppapppaaaappaappaapapappppapapapaapappapppaappaapapppppppppppppaaappapaaappappapapapppppppppppaaapappapppaappppapppppppppppppppaapppapaappaapppppapappppappppaaapappapapppppppaappppapppppppapppppapppppppappppappppppppppppapp
J1_m5,7,62,16,10,6,7,4,8,6,9,5,6,8,3,10,10,10,10,11,10,13,17,21,23,26,31,36,42,49,57,paaaaapaaaaaapaaapaaaaaaapaaaaapaaaaaaaapaaaapaaaaapaaaaaaapaapaaaaaapaaaaaapaaapaaaaaaapaaaaapaaaaaaapaaaapaaaaaapaaaaaapaaapaaaapaaaaaaapaapaaaaaaaapaaaaaapaaaaaaapaaaapaaaaaapaaaaaapaapaaaaapaaaaaapaaapaaaaaaapaaaaapaaaaaaapaaaaapaaaapaaaaaaapaaaapaaaapaaaaaapaaapaaaaaaapaaaaaaappaaaaaapaaapaaaapaaaaaaapaapaaaaaaapaaaaapaaaapaaaaaaapaaaaaapaaaaaaapaapaaaaapaaaaaaaapaaaapaaapaaaaaapaappapaaaapaaaaaaaapaaaaaaapaaapaaaaaapaaaaappaapaaaaappaaaaapaapaaapaaapapaaaaaapppaaapaaaaapaaaapappaaaapaappaaaapappaaappaappapaaaaapapaaapaapaaaaaappaapaaaapapaaaaappaappapaapppaaaapaaapaaaaaappaaaaaaaaapaaapppapppaaaapappaaaappppppaaappaaaaaapaapppapaaappaaaapappppaaapapaapapaaapppaaaaappappppaappaaaaaapaappappaaapppaaappapppaaapppapppaaaapppaaaaappppppaaapppappaapaapppppaaapppapaapppppaaappppappaaaappppaaaappppppaapppppaapappappppppaapppppaapappppaappppppppaaapapppaaappppppapppppppaappaapppppaaappppppppppppapppppppppappappppppaappppppapppppppappppppppppppppppppappppppappppppppppappppppppppppp
J1_m5,8,58,16,10,5,2,6,5,4,5,8,5,10,8,10,11,10,10,10,12,12,15,16,27,24,31,37,41,46,48,paaaapapaaaaapaaaapaaapaaaapaaaaaaapaaaapaaaaaaaaapaaaaaaaapaaapaapaaaaapaaaapaaappaaapaaaaaaapaaaapaaaaaaaaapaaaaaapaaaapaaapaaaapaaaapaapaaaapaaaaaaapaaaaaapaaaaaaaapaaaaaaapaaaapapaaaaaapaapaaapaaaaapaaaaaaaapaaaaapaaaaaaaapaaaaapaaaapaapaaaaaapaapaaapaaaapaaaaaaaaapaaaaaapaaaaaapaaaaaaapaaappappaaaaapaapaaaaaapaaapaaaaapaaaaaaaaapaaaaapaaaaaaapaaapppaaaaaappaapaaaaapaaaaapaaaapaaaaaapaaaaaaaapaaaaaapaaaapaaapaaaappaapaaappaaappaaaaaapaapaaapaaaaaaapapaaaaaapaaapaappaaapapaappaapaaaapaaaaaaaapaaapappaaaaaappaaaaaaapppappapppaaappaappaaappaappaapaaapppaaaapppaaaaappppaaaappppappappaaappppappaaaaaapppaaaaaapapaaappaaaaaaapppaaaaappppappappaaaappappppappppappapaaaapppaaaappapaaaapppapaaapppppppapppaappppapppappppappapaaaappppapappaappaapppaapaappppapppppaaapppaapppappppappaaaaaappppapapppppppappppppppppppapppppppappppapppapppppppppapaappppapapppppaappppppppapppppppppppapppppappapppppppppaaapppppppppppppapaapppppppa
J1_m5,9,55,16,10,6,6,8,2,6,7,5,3,4,8,10,10,10,10,13,11,11,13,15,20,25,29,28,32,39,48,paaaaapaaaaapaaaaaaapapaaaaapaaaaaapaaaapaapaaapaaaaaaaapaaaapaaaaaapaaaaaapapaaaaapaaaaaapaaaapaapaaaapaaaaaaaapaaapaaaaaaapaaaaapapaaaaapaaaaaaapaaapaapaaapaaaaaaaaapaaapaaaaapaaaaaaapapaaaaaapaaaaapaaaapaapaaapaaaaaaaappaaappaaaaaaapaaaapapaaaaaapaaaaapaaaapaapaaapapaaaaaaapaaapaaaaaaappaaaapapaaaaapaaaaaapaaaapaapaaaaaapaaaaapaaaapaaaaapaapaaaapaapaaaaapaaaaapaaaapaapaaapaaaaaaaappaaapaaaaaaappaaaapapaaaaapaaaaaaaapaapaapaaaaappaaaaappaaaappaaaaappaaaapapaaaaappaaaaapapaapaapaaapaaaaaaapppaaapaapaapaappaaapapappaapaaaaaapappppaapaaapaaaaaaaappaaapaaapaaappaaaapppppaaapppaaaapppappaappaapaapppaaapppaappapaapappapaapapapapappaaaaapppappaapaaappppapppappaaappappapapppaaapapaaaaappppaaapppppppappaappapaaaaappapapppapapppppppapapapaaappaappapappppaapapapapppaaapppapapppppppppppaappappppaappaapappppppppapaapppppapaappppppppapppppppppappapppppppppappappppppppppppppppapap
J1_m5,10,60,16,10,8,6,4,7,10,4,6,7,3,5,10,10,10,11,11,12,11,16,18,20,22,26,32,33,44,47,paaaaaaapaaaaapaaapaaaaaapaaaaaaaaapaaapaaaaapaaaaaapaapaaaapaaaaaaapaaaaapaaaapaaaaaapaaaaaaaaapaapaaaaaapaaaaapaaapaaapaaaaaaapaaaaapaaapaaaaaapaaaaaaaaapaaaapaaaapaaaaaapaaapaaapaaaaaaapaaaaaapaappaaaaaaapaaaaaaapaaaaapaaaaapaaaapaapaaaapaaaaaaapaaaaapaaapaaaaaaapaaaaaaaaapaapaaaaappaaaaapaapaaaappaaaaaapaaaaapaaapaaaaaapaaaaaaaaappaaapaaaaaapaaaapaapaaaaaapaaaaapaaaaapaaapapaaaaaapaaaaaaaaapaaaapaaaapaaaapaapaaaapaaaaaaapaaaaapaaapaaaaaapaapaaaaaappaapappaapaapaaapaappaaapaaaaaaappaaaapapapaaaaaapaappaaaaappaappapaappaaaaapaapaaaapapaaaaapaaaaapapapapppaapaaaaaaaaapppaapapaappaaaaapaappaaapapaaaaapapaaapapapaaaapapaapaaaaaappaaapppaapppppaapaapaaaapappaaaapapaaapppapappaaapapaapaaaappaappppaapaaaapapaapppaapappppaapaaaaapapapapappappappaaaaapppappppaapappapappappapapaaaaaaapaappapapppappaaapappaapppappappppppapappaaappppappapaapaapppppppapppapppppppppppaaaapapppapppppappppapappppapppppppapaapppppppapappppppappppppaaappppapppppppppaappppappppp
