K,sample_ID,S,H,no_spp_niche_0,no_spp_island_0,no_spp_island_1,no_spp_island_2,no_spp_island_3,no_spp_island_4,no_spp_island_5,no_spp_island_6,no_spp_island_7,no_spp_island_8,no_spp_island_9,no_spp_island_10,no_spp_island_11,no_spp_island_12,no_spp_island_13,no_spp_island_14,no_spp_island_15,presence_absence_matrix_cols_isles_concatenated
1,1,63,16,63,3,3,7,4,7,16,19,18,27,30,36,41,45,44,52,58,pppaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapaappaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapappppppaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapaappaaapaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapaappaaappppaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapapppppppppappppppaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaappappppppppaapaappppppppaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapppppppppapaaaappppapaapppaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaappppppppppppapappapppapappppppppaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaappppppppppppapaappppppapppappappppppaaaaaaaaaaaaaaaaaaaaaaaaaaappppppppppppapppppppppppppppppppapaappppaaaaaaaaaaaaaaaaaaaaaaapppppppppppppppappppppppppppppppapapappappppppaaaaaaaaaaaaaaaaappppppppppppapppppppppppppppppppappppppapapppppppaaaaaaaaaaaaaappppppppppppapppppppppppppppppppapappppappppapapppaaaaaaaaaaaaappppppppppppppppppppppppppppppppapppppppppppppapppppppaaaaaaaaappppppppppppppppppppppppppppppppappppppappppppapappappppppppppp
1,2,61,16,61,3,5,8,7,8,16,15,22,31,37,38,47,49,52,54,57,pppaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapaappppaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapaaapappppppaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapaaapapaaapapppaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapaaapapaaappaapppaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapppapppappppappaappppaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaappppppppapppaapaaapappaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaappppppppppppapppappapppppaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaappppppppppppappaapppppppappppppppppaaaaaaaaaaaaaaaaaaaaaaaaaappppppppppppppppappppappppapaapppapppppppppaaaaaaaaaaaaaaaaaappppppppppppppppppppppppapapppappapaaapaapapppppaaaaaaaaaaaaappppppppppppppppppppppppppapppappppppppappaapaapppppppaaaaaaappppppppppppppppppppppppppapppppppppaapappapppapaapppppppaaaapppppppppppppppppppppppppppppppppppppapappppaaapppppppaaapppappppppppppppppppppppppppppappppppppppppappppppapaapppppppappapppppppppppppppppppppppppppppppppppppppappppppappppppppppaapp
1,3,57,16,57,4,6,4,6,12,11,18,26,24,29,32,37,41,42,50,51,ppppaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapapppppaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapapaaaappaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapapppaapapaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaappppapapappppppaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaappppppapapaapaappaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaappppppappppapapappppppaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaappppppppppappppapappapppppppppaaaaaaaaaaaaaaaaaaaaaaaaaaapppppppppppapppapapaapppaapapapppaaaaaaaaaaaaaaaaaaaaaaaapppppppppppapppppappapppapppppapappaaaaaaaaaaaaaaaaaaaaaapppppppppppapppppappppppappapppppaapppaaaaaaaaaaaaaaaaaaapppppppppppppppppppppppppppapapppapapappppaaaaaaaaaaaaaaapppppppppppppppppppppppppppapppppapapppapppppaaaaaaaaaaaapppppppppppppppppapppppppppppppppapppppappppapaaaaaaaaaaapppppppppppppppppppppppppppppppppapppppappappppppppppaaaapppppppppppppppppppppppppppppppppapppppappppppppaapaapppp
1,4,63,16,63,3,4,6,8,12,15,19,19,26,28,34,41,41,50,51,60,pppaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapapppaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapapappppaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaappapapapapppaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaappapppapppppppaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaappppppppppppaaapppaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaappppppppppppaaappapppppaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaappppapppppppaaappaappappppaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaappppppppppppppappppppaapaapppppaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaappppppppppppppappapppppppppaaaapppaaaaaaaaaaaaaaaaaaaaaaaaaaaaappppppppppppppappapppppppapapaapppppppppaaaaaaaaaaaaaaaaaaaaaaappppppppppppppappppppppppppppaapppppappppppppaaaaaaaaaaaaaaaaaappppppppppppppappppppppppppppaappappaappppppapppaaaaaaaaaaaaaaapppppppppppppppppppppppppppppappppppaapppppppppppppppaaaaaaaaaappppppppppppppappppppppppppppappppppppppppppppppappapppaaaaaaaappppppppppppppapppppppppppppppapppppapppppppppppppppppppppppppp
1,5,63,16,63,2,3,6,9,13,17,19,22,31,32,36,40,47,49,53,61,ppaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapppaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapapppppaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapppappappppaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaappppppapappppppaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaappppppappppaaaapppppppaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapppappaapppaaappppaaapppppppaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapppppppapppaaappppappppaaapapppaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapppppppppppaaapppppppppapaaappppppppppaaaaaaaaaaaaaaaaaaaaaaaaapppppppappppaapppppppppapppapppappaaaappppaaaaaaaaaaaaaaaaaaaaapppppppppppppapppppppppapappppppppaaaaaaapppppaaaaaaaaaaaaaaaaapppppppppppppapppppppppapapppapppppaappappppaapppaaaaaaaaaaaaaappppppppppppppppppppppppppppppppppppappppppaaapappppaaaaaaaaaaappppppppppppppppppppppppppppppppppppappppppaaapppapapppaaaaaaaappppppppppppppppppppppppppppppppppppapppppppapppaapaappppppaaaapppppppppppppppppppppppppppppppppppppppppppppppppppapppppappppp
1,6,67,16,67,3,3,3,12,9,15,17,24,28,29,36,40,45,49,59,63,pppaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapppaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaappaapaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaappapppapppppppaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaappppppapaapaaapaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapppppppppaappaappppaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaappppppppaapppapapppppaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapppppppppapppappppppappppppaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaappppppppppppppappppaapppapappppppaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaappppppppppppppppppppppaappappapaappaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapppppppppppppppppppppppappappppappapppppaaaaaaaaaaaaaaaaaaaaaaaaaaappppppppppppppppppppappppppppppaapapppaappppppaaaaaaaaaaaaaaaaaaaaapppppppppppppppppppppppppppppppappppappappppppppaaaaaaaaaaaaaaaaaaapppppppppppppppppppppppppppapppppppppppppppppppapppaaaaaaaaaaaaaaaapppppppppppppppppppppppppppppppppppppppppppppppppppppppppppaaaaaaaappppppppppppppppppppppppppppppppppppppppppppppppppppaaapppapppppppp
1,7,63,16,63,3,4,5,9,9,13,17,21,23,29,32,33,42,48,54,54,pppaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapaapppaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapaapaapppaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaappaaappapppppaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapaaaapppppapappaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapapaaappppappaapppppaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaappppapppppppaaapppaapppaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapappappppppppaapapapapppppppaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaappppapppppapppppppapappaapapppaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaappppppppppppppppppppappappaaaapppppaaaaaaaaaaaaaaaaaaaaaaaaaaaappppapppppppppppppppppppppppapaaaaappppaaaaaaaaaaaaaaaaaaaaaaaappppapppppppppppppppppppapppaappaaaaaapppppaaaaaaaaaaaaaaaaaaaappppppppppppppppppppppppppppappppppaaaappppppppaaaaaaaaaaaaaaaappppapppppppppppppppppppppppppppappppaapappppappppppppaaaaaaaaappppppppppppppppppppppppppppppppappapppppppppappaapapapppppppaappppppppppppppppppppppppppppppppappppapppppppappapppppaaaaapppp
1,8,63,16,63,3,4,6,11,8,9,16,16,17,26,31,39,43,45,55,56,pppaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapaapppaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaappppppaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapppppapapppppaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaappppaaapappapaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaappppppaappapaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapppppppppappaapppppaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapppppppppppppapaapapaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapppppppppppppapaaaapppaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapppppppppppppapaaappaappppppppppaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapppppppppppppappppppppppappapaapppppaaaaaaaaaaaaaaaaaaaaaaaaaaapppppppppppppppppppppappppppppappppappppppaaaaaaaaaaaaaaaaaaaaapppppppppppppppaappppppppppppappppppppppaappppppaaaaaaaaaaaaaaapppppppppppppppppppppppppppppapppppappppappapppappaaaaaaaaaaaaappppppppppppppppppppppppppppppppppppappppppapppapapppppppppaaaapppppppppppppppppppppppppppppppppppppppppppapppapppaappaapapppp
1,9,68,16,68,1,6,6,8,13,17,17,25,29,36,40,45,51,53,55,64,paaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaappppppaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapaapappppaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapaaaappapppppaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaappapappppppappppaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaappapappppapapaappppppppaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapppappppppppaaapaaaapappppaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaappapapppppppppapappppapapppppppaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaappapappppppppppppppppppappppappppaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaappppppppppppppapppppppppppppapppappppppaaaaaaaaaaaaaaaaaaaaaaaaaaaaappppppppppppppappppppppappppppppappaappppppppaaaaaaaaaaaaaaaaaaaaaaappppppppppppppapppppppppppppppppppppppaaaapapppppppaaaaaaaaaaaaaaaaapppppppppppppppppppppppppppppppppppappppapppppapappppppaaaaaaaaaaaaapppppppppppppppppppppppppppppppppppapppappppapapapppaaappppppaaaaaaapppppppppppppppppppppppppppppppppppapppapapppppppppaapappppaappaaaaapppppppppppppppppppppppppppppppppppppppppapppppppppappppppppapappppp
1,10,62,16,62,2,3,8,8,11,18,21,25,28,31,34,37,42,50,49,52,ppaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapppaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaappppppppaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapppppaapappaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapapppaapapapppppaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaappppppappapppapppppppaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapppppppppapappppapppappppaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapppppppppppppapppppaapapapppppaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaappppppppppppppppppppppaaaappappppaaaaaaaaaaaaaaaaaaaaaaaaaaaaapppppppppppppppppppppppappappapapppaaaaaaaaaaaaaaaaaaaaaaaaaaappppppppppppppppppppppppppppppapaaapppaaaaaaaaaaaaaaaaaaaaaaaapppppppppppppppppppppppappppppppppppaappaaaaaaaaaaaaaaaaaaaaaappppppppppppppppppppppppppppppappppapaaapppppppaaaaaaaaaaaaaaapppppppppppppppppppppppappppppppppppppapapaaapppppppppppaaaaaapppppppppppppppppppppppppppppppppppppappapaaaapapappapappppaaappppppppppppppppppppppppppppppppppppppppapaaappapappppaaaapppp
