K,sample_ID,S,H,no_spp_niche_0,no_spp_niche_1,no_spp_niche_2,no_spp_island_0,no_spp_island_1,no_spp_island_2,no_spp_island_3,no_spp_island_4,no_spp_island_5,no_spp_island_6,no_spp_island_7,no_spp_island_8,no_spp_island_9,no_spp_island_10,no_spp_island_11,no_spp_island_12,no_spp_island_13,no_spp_island_14,no_spp_island_15,presence_absence_matrix_cols_isles_concatenated
3,1,54,16,11,22,21,3,3,5,8,6,14,16,20,25,30,29,36,37,43,47,48,paaaaaaaaaapaaaaaaaaaaaaaaaaaaaaapaaaaaaaaaaaaaaaaaaaaapaaaaaaaaapaaaaaaaaaaaaaaaaaaaaaapaaaaaaaaaaaaaaaaaaaapaaaaaaaaappaaaaaaaaaaaaaaaaaaaaappaaaaaaaaaaaaaaaaaapappaaaaaaapapaaaaaaaaaaaaaaaaaaappapaaaaaaaaaaaaaaaaaapaapaaaaaapaaaaaaaaaaaaaaaaaaaaapppaaaaaaaaaaaaaaaaaaappppaaaaaapppppaaaaaaaaaaaaaaaaappapppaaaaaaaaaaaaaaapppapaaaaaappappaaaaaaaaaaaaaaaaapppppapppaaaaaaaaaaaapppappaaaaapppppppaaaaaaaaaaaaaaapppppaapppaaaaaaaaaaapppppaaaaaappppppappaaaaaaaaaaaaappppppppppppaaaaaaaaappppppaaaaapppppppapppppaaaaaaaaapppppppppppapaaaaaaaapppppppaaaapppppppappappaaaaaaaaappppppppppaapaaaaaaaapppppppppaappppppppppaappppaaaaaapppppppppppppaaaaaaaapppppppaaaappppppppppppppaappaaaappppppppppppppaaaaaaapppppppapaapppppppppppppppapppppapppppppppppppappaaaaappppppppppapppppppppppppppppapapppppppppppppppappppaaappppppppppppppppppppppppppppaappapppppppppppppappaappp
3,2,71,16,30,17,24,3,3,5,7,11,19,20,23,33,36,37,43,45,54,56,67,paaaaaaaaaaaaaaaaaaaaaaaaaaaaapaaaaaaaaaaaaaaaapaaaaaaaaaaaaaaaaaaaaaaapaaaaaaaaaaaaaaaaaaaaaaaaaaaaapaaaaaaaaaaaaaaaaapaaaaaaaaaaaaaaaaaaaaaaapppaaaaaaaaaaaaaaaaaaaaaaaaaaapaaaaaaaaaaaaaaapaaaaaaaaaaaaaaaaaaaaaaaaaappaaaaaaaaaaaaaaaaaaaaaaaaapaaaaaaaaaaaaaaaapapppaaaaaaaaaaaaaaaaaaapappappaaaaaaaaaaaaaaaaaaaaaaapapppaaaaaaaaaaaapaaaapaaaaaaaaaaaaaaaaaappppaaapppppaaaaaaaaaaaaaaaaaapappaaaaaaaaaaaaapappppppaaaaaaaaaaaaaaaappppaapaapppppaaaaaaaaaaaaaaaapappapaaaaaaaaaaapappppapaaaaaaaaaaaaaaaappapappappaappaaaaaaaaaaaaaaaapappppaaaaaaaaaaapappppppppaaaaaaaaaaaaaappppappappappppaaaaaaaaaaaaaaappppappaaaaaaaaaapppppppppppppppaaaaaaaaappppappappppppapppaaaaaaaaaaaappppapaaaaaaaaaaappppppppppppppappaaaaaaappppappapppppppaaapaaaaaaaaaaappppppapaaaaaaaaappppppppppappppaappaaaaapppppppppppppppaaaapppaaaaaaaappppppaapaaaaaaaapppppppppppppppaapappaaappppppppppppppppapppaapaaaaaaappppppaapppaaaaaapppppppppppppppaaaaapaaapppppppappppppppppppppppaaaaaappppppapppappppaappppppppppppppppaaapapaappppppppppppppppapppappppppaaappppppapppaapaapappppppppppppppppppappaaappppppppppppppppppppppppppapppppppppapppppappappppppppppppppppppppppppp
3,3,66,16,18,24,24,3,4,3,6,8,8,18,26,27,33,36,47,48,49,55,60,paaaaaaaaaaaaaaaaapaaaaaaaaaaaaaaaaaaaaaaapaaaaaaaaaaaaaaaaaaaaaaappaaaaaaaaaaaaaaaaapaaaaaaaaaaaaaaaaaaaaaaapaaaaaaaaaaaaaaaaaaaaaapaaaaaaaaaaaaaaaaapaaaaaaaaaaaaaaaaaaaaaaapaaaaaaaaaaaaaaaaaaaaaaappaaaaaaaaaaaaaaaapapaaaaaaaaaaaaaaaaaaaaapapaaaaaaaaaaaaaaaaaaaaappaaaaaaaaaaaaaaaappappaaaaaaaaaaaaaaaaaaapapaaaaaaaaaaaaaaaaaaaaapppaaaaaaaaaaaaaaappaaapaaaaaaaaaaaaaaaaaapaapaaaaaaaaaaaaaaaaaaaappppaaaaaaaaaaaaaapppapppppaaaaaaaaaaaaaaappaappppaaaaaaaaaaaaaaaappppppaaaaaaaaaaaappapppppppppaaaaaaaaaaaappppaapppppaaaaaaaaaaaaappppaappppaaaaaaaapppappapappapaaaaaaaaaaapppppapppappaaaaaaaaaaaapppppapaaapaaaaaaapppappppppappppaaaaaaaaapppppapppapppppaaaaaaaaapppppappaapaaaaaaappppppppappappppaaaaaaaappppppppppapppapaaaaaaaapppppappppppppaaaappppppppppppppppaaaaaaaappppppppppppppappppaaaaappppppppppppappaaapppppppppppppppaaaaaaaaappppppppppppppappaapppaappppppppppppapaaaapppppppppppppppapppaaaaappppppppppppppapapappaaappppppppppppappaaapppppppppppppppppppppaaappppppppppppppppapappapappppppppppppapppppppppppppppppppppppaaapppppppppppppppppapppappppp
3,4,61,16,20,17,24,3,4,3,7,11,13,14,21,27,28,32,38,44,44,49,55,paaaaaaaaaaaaaaaaaaapaaaaaaaaaaaaaaaapaaaaaaaaaaaaaaaaaaaaaaaapaaaaaaaaaaaaaaaaaappaaaaaaaaaaaaaaaapaaaaaaaaaaaaaaaaaaaaaaaapaaaaaaaaaaaaaaaaapaaaaaaaaaaaaaaaapaaaaaaaaaaaaaaaaaaaaaaappapaaaaaaaaaaaaaaaapapaaaaaaaaaaaaaapapaaaaaaaaaaaaaaaaaaaaapppappaaaaaaaaaaaaaapaappaaaaaaaaaaaappapaaaaaaaaaaaaaaaaaaaapppppaaaaaaaaaaaaaaapapaappaaaaaaaaaappppaaaaaaaaaaaaaaaaaaaapppappppaaaaaaaaaaaappppaapaaaaaaaaaappaaaaaaaaaaaaaaaaaaaaaappppppappppaaaaaaaaappppappaaaaaaaaaapppppaaaaaaaaaaaaaaaaaaappppppappppppaaaaaaappppppppaaaaaaaaappppapppaaaaaaaaaaaaaaaappppppappappppaaaaaapppppppppaaaaaaaappppaapappaaaaaaaaaaaaaapppppppppapapppppaaappppppppaaaaaaaaappppappppapaaaaaaaaaaaaapppppppppapppppapaaappppppppapppaaaaappppppppppappaaaaaaaaaaappppppppppppppapapaappppppppppappppaappppaappppappppppaaaaaaapppppppppppppppaaapapppppppppappapapapppppappppapppppapaaaaaappppppppppppppppapaapppppppppppppapppppppppppppappppaaappaaaapppppppppppppppppppppppppppppppppappappppppppppapppppaaappppp
3,5,69,16,29,17,23,3,4,3,7,10,11,17,20,30,32,35,39,44,50,61,64,paaaaaaaaaaaaaaaaaaaaaaaaaaaapaaaaaaaaaaaaaaaapaaaaaaaaaaaaaaaaaaaaaaapaaaaaaaaaaaaaaaaaaaaaaaaaaaappaaaaaaaaaaaaaaapaaaaaaaaaaaaaaaaaaaaaapaaaaaaaaaaaaaaaaaaaaaaaaaaapaaaaaaaaaaaaaaaapaaaaaaaaaaaaaaaaaaaaaapappaaaaaaaaaaaaaaaaaaaaaaaaappaaaaaaaaaaaaaaaaappaaaaaaaaaaaaaaaaaaappaapaaaaaaaaaaaaaaaaaaaaaaaappapaaaaaaaaaaaaapppapaaaaaaaaaaaaaaaaaapppaapaaaaaaaaaaaaaaaaaaaaaaappapaaaaaaaaaaaaapppaapaaaaaaaaaaaaaaaaappappapppaaaaaaaaaaaaaaaaaaaappappaaaaaaaaaaaapppppapaaaaaaaaaaaaaaaapppappaapppaaaaaaaaaaaaaaaaaappppapaaaaaaaaaaapppppappaaaaaaaaaaaaaaapppppapppppppaaaaaaaaaaaaaaaappppppppppaaaaaaappppppaappaaaaaaaaaaaaapppppaappppapppaaaaaaaaaaaaaappppppppppaaaaaaapppppppaapppaaaaaaaaaaappppppppppppaaapaaaaaaaaaaaaapppppaapppaaaaaaapppppppapppappppaaaaaaapppppppppppppapppppaaaaaaaaaapppppappappaaaaaapppppppaappapaappaaaaaappppppppppppppppppppaaaaaaaaappppppppppppaaaaapppppppaappaapappaaaaaapppppppppppppppppppapppaaaaaappppppppppaapaaaappppppppppppppapppaaaaappppppppppppppppppppppapppaaappppppppppppappaappppppppppppppppppppppappppppppppppppppppppppappapppppppppppppppppppppppppppappppppppppppaap
3,6,57,16,16,18,23,4,4,7,5,10,15,24,25,29,31,37,38,38,46,45,54,ppaaaaaaaaaaaaaapaaaaaaaaaaaaaaaaapaaaaaaaaaaaaaaaaaaaaaapapaaaaaaaaaaaaaapaaaaaaaaaaaaaaaaapaaaaaaaaaaaaaaaaaaaaaappaaaaaaaaaaaaaappaaaaaaaaaaaaaaapappaaaaaaaaaaaaaaaaaaaappaaaaaaaaaaaaaapaaaaaaaaaaaaaaaappaaaaaaaaaaaaaaaaaaaaaappaaaaaaaaaaaaappppaaaaaaaaaaaaaapaapppaaaaaaaaaaaaaaaaapppaaaaaaaaaaaaapppppaaaaaaaaaaaaappapappppaaaaaaaaaaaaaapppppaaaaaaaaaaappppppppppaaaaaaaappppaapappppaaaaaaaaaaappppaaaaaaaaaaaappppppppaaaaaaaaaapppppppppppappaaaaaaaaapppppaaaaaaaaaaappppppppppppaaaaaapppppppppppaaapaaaaaaaappppppaaaaaaaaaapppppppppppapaaaaapppppppppppapaapaaaaaaappppppppaaaaaaaappppppppppppapaaaapppppppppppppaapppaaaaappppppaapppaaaaappppppppppppapaaaapppppppppppappppaapaaaappppppaapappaaaappppppppppppapaaaapppppppppppppppaapaaaaapppppppppappppaapppppppppppppppaaappppppppppppppppapapaaappppppppppppappappppppppppppppaaaappppppppppppppppapaaaaapppppppppapappppppppppppppppppppppppppppppppppppppapppppp
3,7,70,16,20,26,24,3,4,8,8,9,14,20,32,35,39,42,47,48,56,60,67,paaaaaaaaaaaaaaaaaaapaaaaaaaaaaaaaaaaaaaaaaaaapaaaaaaaaaaaaaaaaaaaaaaaapaaaaaaaaaaaaaaaaaaappaaaaaaaaaaaaaaaaaaaaaaaapaaaaaaaaaaaaaaaaaaaaaaappaaaaaaaaaaaaaaaaapappaaaaaaaaaaaaaaaaaaaaaaaapppaaaaaaaaaaaaaaaaaaappaaaaaaaaaaaaaaaaaapapaaaaaaaaaaaaaaaaaaaaaaaapapappaaaaaaaaaaaaaaaaaapappaaaaaaaaaaaaaaapppaaaaaaaaaaaaaaaaaaaaaaappapaaaaaaaaaaaaaaaaaaaapppppppaaaaaaaaaaaaapapappaaaaaaaaaaaaaaaaaaaaaappaaapaaaaaaaaaaaaaaaapppppaaaaaaaaaaaaaaapppppappaaaaaaaaaaaaaaaaaappppaapapppaaaaaaaaaaaaapppppppppppaaaaaaaaapppppapppppaaaaaaaaaaaaaaapppppppppaappaaaaaaaaaaapppppaappappaaaaaaaapppppapppapppppaaaaaaaaaaapppppppppppaappaaaaaaaaapppppapppppaaaaaaaaapppppapppppaapppaaaaaaaaaapppppppppppapppppaaaaaaappppppppppppppaaaaaapppppapppappappaaaaaaaaaaappppppppppppppppaaaaaaaapppppppppappppaaaaaappppppppppppappppaaaaaaaaapppppppppppappapppppaaaapppppppppppppapaaaaappppppppppppapppaaaaaaaaaapppppppppppppppppappaaaapppppppppppppppppaaappppppppppppappppppppaaaaappppppppppppppappapppaaapppppppppppppppapppappppppppppppappppppppppaaapppppppppppppppppappapaapppppppppppppppppppppppppppppppppppppppppapppppppppppppppppppppaappppp
3,8,68,16,23,25,20,3,3,3,11,14,12,18,20,30,35,38,42,52,54,59,64,paaaaaaaaaaaaaaaaaaaaaapaaaaaaaaaaaaaaaaaaaaaaaapaaaaaaaaaaaaaaaaaaaapaaaaaaaaaaaaaaaaaaaaaapaaaaaaaaaaaaaaaaaaaaaaaapaaaaaaaaaaaaaaaaaaaapaaaaaaaaaaaaaaaaaaaaaapaaaaaaaaaaaaaaaaaaaaaapaaaaaaaaaaaaaaaaaaaaapppaaaaaaaaaaaaaaaaaappapaaaaaaaaaaaaaaaaaaaaapappppaaaaaaaaaaaaaaaappapppaaaaaaaaaaaaaaaappppaaaaaaaaaaaaaaaaaaaapppaaappaaaaaaaaaaaaappapaapaaaaaaaaaaaaaaapappapaaaaaaaaaaaaaaaaaaappaaaapapaaaaaaaaaaaapppppaaaaaaaaaaaaaaaaappppaappaaaaaaaaaaaaaaaaapppaappppaaaaaaaaaaaappppaapppaaaaaaaaaaaaappppaaaapppaaaaaaaaaaaaaapppapppaaaaaaaaaaaaaappppppppapppaaaaaaaaaappppaapappapppaaaaaaaaaaapppppppppaaaaaaaaaaaappppappapppapppaaaaaaapppppappppapapaaaaaaaaaaappppppppppppaaaaaaaaappppppppapppaappaaaaaappppppppppppapaaaaaaaaaaapppppppppppapaaaaaaapppppppppapppappppaaaaappppppppppppappaaaaaaaaaappppppppppppaaaaaaaapppppppppapppppppppppaappppappppppppppppppaaaaaapppppppppapappppaaaappppppppppppppppppapappppppppppppppppappaappaaaapppppppppppppaappaaappppppppppppppppppaappppppppppppppppppppppappaaappppppppppppppapappappppppppppppppppppppppppppppppppppppppppapapapppppppppppppppppppappp
3,9,69,16,21,23,25,3,4,6,4,10,11,13,25,27,30,36,46,51,53,60,60,paaaaaaaaaaaaaaaaaaaapaaaaaaaaaaaaaaaaaaaaaapaaaaaaaaaaaaaaaaaaaaaaaaapaaaaaaaaaaaaaaaaaaaapaaaaaaaaaaaaaaaaaaaaaappaaaaaaaaaaaaaaaaaaaaaaappaaaaaaaaaaaaaaaaaaapppaaaaaaaaaaaaaaaaaaaapaaaaaaaaaaaaaaaaaaaaaaapapaaaaaaaaaaaaaaaaaaapaaaaaaaaaaaaaaaaaaaaaapaaaaaaaaaaaaaaaaaaaaaaapppaaaaaaaaaaaaaaaaaaappppaaaaaaaaaaaaaaaaaaapappaaaaaaaaaaaaaaaaaaaapappaaaaaaaaaaaaaaaaappapapaaaaaaaaaaaaaaaaaapapppaaaaaaaaaaaaaaaaaaapppaaaaaaaaaaaaaaaaaapppaaappaaaaaaaaaaaaaaaappapppaaaaaaaaaaaaaaaaaappppppppaaaaaaaaaaaaapppppaapppaaaaaaaaaaaaaapppppppppaaaaaaaaaaaaaaappppappappaaaaaaaaaaapppppappaapppaaaaaaaaaaappppppaaapppaaaaaaaaaaaappppppppaaaaaaaaaaaaapppppppppapppaaaaaaaaaaapppppppaaapppaaaaaaaaaaappppappapaaaaaaaaaaaapppppppppppappppaaaaaaapppppppppaappapppaaaaaaaappppppppappppaaaaaaaapppppppppppppppppppaaaaappppppppppppppaapaaaaaaappppppppppapppaaaaaaapppppppppppppppppaappaappppppppapppppppppppaaaaappppppppppappapaaaaaapppppppppppppppapppapaapppppppppppppppappppppaaappppppppppppppappppaapppppppppppppppppappppappppppppppppppppppppaapaapppppppppppppaappaappppppppppppppppppppppaapppppppppppppppppppapapapp
3,10,71,16,17,28,26,3,3,6,9,11,17,17,22,27,36,41,40,51,51,60,64,paaaaaaaaaaaaaaaapaaaaaaaaaaaaaaaaaaaaaaaaaaapaaaaaaaaaaaaaaaaaaaaaaaaaapaaaaaaaaaaaaaaaapaaaaaaaaaaaaaaaaaaaaaaaaaaapaaaaaaaaaaaaaaaaaaaaaaaappaaaaaaaaaaaaaaapapaaaaaaaaaaaaaaaaaaaaaaaaapapaaaaaaaaaaaaaaaaaaaaaaapppaaaaaaaaaaaaaaaapppaaaaaaaaaaaaaaaaaaaaaaapappaaaaaaaaaaaaaaaaaaaaaapppaaaaaaaaaaaaaaappappaaaaaaaaaaaaaaaaaaaaaapapappaaaaaaaaaaaaaaaaaaaappppppaaaaaaaaaaapppppappaaaaaaaaaaaaaaaaaaaapppapaaaaaaaaaaaaaaaaaaaaapppppapaaaaaaaaaaappppapaaaaaaaaaaaaaaaaaaaaapppapappaaaaaaaaaaaaaaaaaapppapapaaaaaaaaaapppppppappaaaaaaaaaaaaaaaaaapapapapppppaaaaaaaaaaaaaaapppapapaaaaaaaaaapppppapppappaaaaaaaaaaaaaaaapppappppppapppaaaaaaaaaaaapppppappppaaaaaaapppppppppppppaaaaaaaaaaaaaaapppappppppapappppaaaaaaaaapppppappppaaaaaaapppppppppppppppaaaaaaaaaaaaapppappppppappppappppaaaaaapppppappapaaaaaaapppppppppppppaappaaaaaaaaaaapppppppppppppppappaaaaaaaapppppapppppppaaaapppppppppapppppappppaaaaaaaapppppppppppppppppppppaaaaapppppppppppppaaaappppppppppppppappapapaaaaaaapppppppppppppppppppaapaaaappppppppppppppppapppppppppapppppppappapppaaaappppppppppppppppppppaapppapppppppppppppppappppppppppppppppppapppapappppppppppppppppppppppppppaaap
