K,sample_ID,S,H,no_spp_niche_0,no_spp_niche_1,no_spp_niche_2,no_spp_niche_3,no_spp_niche_4,no_spp_island_0,no_spp_island_1,no_spp_island_2,no_spp_island_3,no_spp_island_4,no_spp_island_5,no_spp_island_6,no_spp_island_7,no_spp_island_8,no_spp_island_9,no_spp_island_10,no_spp_island_11,no_spp_island_12,no_spp_island_13,no_spp_island_14,no_spp_island_15,presence_absence_matrix_cols_isles_concatenated
5,1,55,16,11,12,9,9,14,5,5,5,5,8,12,16,14,22,27,29,37,36,46,48,52,paaaaaaaaaapaaaaaaaaaaapaaaaaaaapaaaaaaaapaaaaaaaaaaaaapaaaaaaaaaaapaaaaaaaaaapaaaaaaaaapaaaaaaaapaaaaaaaaaaaapaaaaaaaaaaaapaaaaaaaaaapaaaaaaapaaaaaaaaaapaaaaaaaaaaapaaaaaaaaaapaaaaaaaaaaapaaaaaaaapaaaaaaaaapaaaaaaaaaaaapaaaaaaaaaaaaapaaaaaaaaappaaaaaapaaaaaaaaaapppaaaaaaaaappaaaaaaaaapapaaaaaaaaapppaaaaaapaaaaaaaappppaaaaaaaaaappppaaaaaaapppapaaaaaaapppaaaaaapappaaaaaappaaaaaaaaaaappaapaaaaaapapaaaaaaaaapppaaaaaapaapaaaaapppapaaaaaaaaapppaaaaaaaapappppaaaaaappppaaaaappappaaaaappppppaaaaaaapppapaaaaaapppppapaaaaapppappaaapppppaaaapppppappaaaaaapppapppppaapppppappaaaapppaaaaaapppppaaaappppappaaaaaaapppappapppapppppppppaaapppapaaaapppppppaapppppppappaaaapppappppppapppppaapaaaapppappaaapppppaapappppppppaappaapppppppppppppppppppapaapppappppappppppapppppppppppppaaapppapppppppppppppppappppppapppapppppppapapppppppppppapppppppppppppppppppppapppppppppppapppppppppppppppppppppap
5,2,75,16,11,20,13,18,13,5,5,5,7,9,8,12,18,23,31,36,46,50,58,63,70,paaaaaaaaaapaaaaaaaaaaaaaaaaaaapaaaaaaaaaaaapaaaaaaaaaaaaaaaaapaaaaaaaaaaaapaaaaaaaaaapaaaaaaaaaaaaaaaaaaapaaaaaaaaaaaaapaaaaaaaaaaaaaaaaapaaaaaaaaaaapaaaaaaaaaaapaaaaaaaaaaaaaaaaaaapaaaaaaaaaaaaapaaaaaaaaaaaaaaaaapaaaaaaaaaapaaaaaaaaaaaapaaaaaaaaaaaaaaaaapaaaaaaaaaaaaaaappaaaaaaaaaaaaaappaaaaaaaaaapaaaaaaaaaaaapppaaaaaaaaaaaaaaaaapaaaaaaaaaaaaaappaaaaaaaaaaaaapapaaaaaaaaapaaaaaaaaaapapaaaaaaaaaaaaaaaaaaaapaaaaaaaaaappaaaaaaaaaaaaaaaappaaaaaaaaaappaaaaaaaaapapaaaaaaaaaaaaaaaaappapaaaaaaaaaaaappaaaaaaaaaaaaapppaaaaaaaaaapaaaaaaaaaapapappaaaaaaaaaaaaaappappaaaaaaaapppppapaaaaaaaaaaapppaaaaaaaaaapapaaaaaaaapapappppaaaaaaaaaaaappppaaaaaaaaapppppaapaaaaaaaaaapppappaaaaaaapappaaaaaaappppppaapppaaaaaaaaappppppaaaaaaapppppaapppaaaaaaaappppapaaaaaaappppppaaaaappppppaaaappaaaaaaaapppppappaaaaapppppaappppaaaaaaappppppaaaaaaappppaapaaaapppppppapappppppaaaapppppaaapppaappppppapppapppaaaapppppppaaaaaapppppaaaaaapppppppapapppaaapaaapppppppppaapapppppppppppppapaaappppppapppaaappppppapaaappppppppppppppappppappppppppaaaaappppppppppppppapaappppppppppaaapppppapppaapppppppappppppapapaapppppppppappapppppppppppppppppappppppppppppapppppapppppppppppppppppppappppppppppppppappppppppppppppppppaapppppppppppppp
5,3,64,16,13,9,19,13,10,5,5,5,6,8,12,15,19,27,29,38,44,46,49,52,56,paaaaaaaaaaaapaaaaaaaapaaaaaaaaaaaaaaaaaapaaaaaaaaaaaapaaaaaaaaaapaaaaaaaaaaapaaaaaaaaapaaaaaaaaaaaaaaaaaapaaaaaaaaaaaapaaaaaaaaapaaaaaaaaaaapaaaaaaaaaapaaaaaaaaaaaaaaaaaapaaaaaaaaaaapaaaaaaaaaapaaaaaaaaaappaaaaaaaaaapaaaaaaaaaaaaaaaapaaaaaaaaaaaaapaaaaaaaaappaaaaaaaaappaaaaaaapaaaaaaaaaaaaaaaaaaappaaaaaaaaaaapaaaaaaaaappapaaaaaaaaappaaaaaapaaapppaaaaaaaaaaaaapaaaaaaaaaaappaaaaaaaaappaappaaaaaapapaaaaaapaaaaapppaaaaaaaaaapppaaaaaaaaaaapapaaaaaapppaaaaaaaaaapppaaaaaappaaaaappaaaaaaaaaappppaaaaaaaaapppappaaaapppapapaaaaaappppaaaaapaaapapppppaaaaaaaappppppaaaaaaapppaappaaappppaaaaaaaaapppappaaappappaappppppaaaaaapppapppaaaaaaapppapaaaappppppppaaaaappppapaaapppppappppapappaaaapppapappaaaaappppppapaapppapppappaaappppapppapppppppppppappaaaaapppppppapaaaappppppappapppppppapapaappppapappppppppppppppapapaaappppppppaaaaappppppappapppppppppppaapppaapaapppppppppppppapaapaapppppppapppaapppppppppapppppppppapppppppapaapppppppppppppppaaapapppppppppaapapppppppppappppppppppppappppapppppppppappppppppppaapppppppppaapppppppppappp
5,4,60,16,11,16,10,11,12,5,5,7,8,9,11,14,10,19,22,31,33,41,43,50,57,paaaaaaaaaapaaaaaaaaaaaaaaapaaaaaaaaapaaaaaaaaaapaaaaaaaaaaaapaaaaaaaaaapaaaaaaaaaaaaaaapaaaaaaaaapaaaaaaaaaapaaaaaaaaaaapaaaaaaaaappaaaaaaaaaaaaaappaaaaaaaaaapaaaaaaaapaaaaaaaaaaaaapaaaaaaaaapaaaaaaaaaaaaaappaaaaaaaaappaaaaaaaappaaaaaaaaaappapaaaaaaappaaaaaaaaaaaaaappaaaaaaaaapaaaaaaaaapaaaaaaaaaaaapaapaaaaaappaaaaaaaaaaaaaapappaaaaaaappaaaaaaaappaaaaaaaaaappapppaaaaappaaaaaaaaaaaaaappaaaaaaaaapapaaaaaaapppaaaaaaaaaaappapaaaaaappaaaaaaaaaaaaappaaaaaaaaappaaaaaaaapaaaaaaaaaaapppppaaaaaappapppaaaaaaaaaappapppaaaaappaaaaaaaapapaaaaaaaaappppappaaaappaapaaaaaaaaaaappppppaaaaappapaaaaaappppaaaaaaaapppppppppaappappppaaaaaaaaapppppppaaappppppaaaaapppaaaaaaaaappppppaappapppppppaaaaaaaaappppppaaaappppppaaaaapppapppaaaaappppppppppapppppppppaaaaaaapppppppaaapppppapaaaapppappppppaappppppppppappppppppappaaaaapppppppaaappppppppaaappppppppaaaappppppppppapppppppppppppppappppppapaapppppppapaapppapppppppappppppppppppppppppppppapppppppppppppppppppppapppppppppppppap
5,5,58,16,7,15,12,13,11,5,5,7,5,8,12,15,22,24,27,31,37,39,45,52,53,paaaaaapaaaaaaaaaaaaaapaaaaaaaaaaapaaaaaaaaaaaapaaaaaaaaaapaaaaaaapaaaaaaaaaaaaapaaaaaaaaaaaapaaaaaaaaaaaapaaaaaaaaappaaaaaapaaaaaaaaaaaaapaaaaaaaaaaaapaaaaaaaaaaapapaaaaaaaapaaaaaaapaaaaaaaaaaaaaapaaaaaaaaaaapaaaaaaaaaaapaaaaaaaaaapapaaaaapaaaaaaaaaaaaappaaaaaaaaaaaappaaaaaaaaapaaaaaaaaaapaapaaaapaaaaaaaaaaaaappppaaaaaaaaapaapaaaaaaaapppaaaaaaaappppaaaapaaaaaaaaaaaaapapapaaaaaaaapaapaaaaaaaappapppaaaaappppaaaappppppaaaaaaaapppapaaaaaaappppaaaaaaaaappppaaaaaaapppppaaappppappaaaaaaapppapaaaaaaappppaaaaaaaaapppppaaaaaapppppaaapappaaaaaaaaaapppapppaaaaapppppppaaaaaappppappaaaapppppaaapppppaappaaaaapppappapaaaapppppapaaaaaappppppapaaappppppaapppppappapppaappppppapaaaapppppappaaaaappppppaapaappppppaappppppapappaaappppppapaaaapppppappppaaapppppppapaappppppaappppppppppappapppappppppaappppppppppaaappppppappaappppppaapppppppppppppappppppppapppppppppppapppappppppppppppppppppapppppppppppppppppppppppppapppppppppppappppppppppaa
5,6,46,16,13,7,9,8,9,5,5,6,8,8,13,12,17,20,25,30,35,34,37,41,40,paaaaaaaaaaaapaaaaaapaaaaaaaapaaaaaaapaaaaaaaaapaaaaaaaaaaapaaaaaaapaaaaaaapaaaaaaaapaaaaaaaapaaaaaaaaaaapaaaaaaaapaaaaaappaaaaaaaapaaaaaapapaaaaaaaaaaappaaaaaappaaaaaapaaaaaaapaaaaaaapaaaaaaaaaaaappaaaaaaappaaaaaappaaaaaaapaaaaaappaaaaaaaaaaappppaaaappaaaaaappppaaaaapaaaaaaappaaaaaaaaaaapapaaaaappppaaaapppaaaaaapaaaaaaappaaaaaaaaaaappppaaaappppaaaapppaaaaaappppaaaappaaaaaaaaaaappppaaaapppppaaapppapaaapppappaaappappaaaaaaaapppppaapppppppaapppppaaapppaapaaapppappppaaaaappppaaapppppppaapppppaaapppppppaapppapapppppaapppppaappppppppapppppaaappppppppapppapappapaaappppppappppppppappppppaapppppppaappppppppppaaappppapappppppppapppppapppppppppaappppppppapapappppppppppppppppppppppappppppppapppppppppppappppppppappppppppappppppaappppppppa
5,7,76,16,20,19,15,12,10,5,5,8,9,10,16,18,28,28,35,40,45,53,58,67,70,paaaaaaaaaaaaaaaaaaapaaaaaaaaaaaaaaaaaapaaaaaaaaaaaaaapaaaaaaaaaaapaaaaaaaaaapaaaaaaaaaaaaaaaaaaapaaaaaaaaaaaaaaaaaapaaaaaaaaaaaaaapaaaaaaaaaaapaaaaaaaapapaaaaaaaaaaaaaaaaaaapaaaaaaaaaaaaaaaapapaaaaaaaaaaaaappaaaaaaaaapaaaaaaaaaaappaaaaaaaaaaaaaaaaaappaaaaaaaaaaaaaaaaaapaaaaaaaaaaapaappaaaaaaaaapaaaaaaaaapaaaaaaaaaaaaaaaaapappaaaaaaaaaaaaaaaapaaaaaaaaaaaaappapaaaaaaaapapaaaaaaaappppaaaaaaaaaaaaaaaapaapppaaaaaaaaaaaapaaapaaaaaaaaaappappaaaaaaapapaaaaaaapapapppaaaaaaaaaaaaappaaaapaaaaaaaaaaaapppaapaaaaaaaaaapappaaaaaaapappaaaaaaappppppppaaaaaaaaaaapppppappaaaaaaaaaaapppaapaaaaaaaaappapppaaaaaapppapaaaaaaapppppppaaaaaaaaaaapppppapapaaaaaaaaaappppappaaaaaaaappapppaaaaaapapaapaaaappppppppappaaaaaaaaappppppppapaaaaaaaaappppapapaaaaaaappappppaaaaapappapaaaapppppppppapppaaaaaaapppppapappppaaaaaaappppapaapaaaaaappapppppaaaapappappaaapppppppppappapaaaaaapppppppppppppaaaaaappppapapappaaaappppppapaaaappppapaaaapppppppppppppappaaaapppppppppppappaaaaappppapapppppaaapppppppppaaappppppaaaapppppppppppppappppaapppppppppppappaaaaappppapapppppaaappppppppappappppppppaapppppppppppppppppapapppppppppppppppppaappppppappppppppppppppppaaappppppppppappppppppppppppppppppppppppppppppppappppppppppppppppappppppppppaapappppppppap
5,8,60,16,15,12,12,9,12,5,5,5,7,8,13,13,22,26,28,35,38,41,47,49,55,paaaaaaaaaaaaaapaaaaaaaaaaapaaaaaaaaaaapaaaaaaaapaaaaaaaaaaaapaaaaaaaaaaaaapaaaaaaaaaaaapaaaaaaaaaapaaaaaaaaapaaaaaaaaaaaapaaaaaaaaaaaapaaaaaaaaaaaaapaaaaaaaaaapaaaaaaaaapaaaaaaaaapaaaaaaaaaaaaaapaaaaaaaaaaaaapaaaaaaaaappaaaaaaaaappaaaaaaaappaaaaaaaaaaaaappaaaaaaaaaaappaaaaaaaaapaaaaaaaaapaaaaaaaaaapppaaaaaaaaaaaapaaaaaaaaaaappppaaaaaaaapapaaaaaaapappaaaaaaappaaaaaaaaaaaaappaaaaaaaaaaappapaaaaaaappapaaaaaapppaaaaaaaappappaaaaaaaaaapapppaaaaaaappppaaaaaaaapppappaaaapppppaaaaaapppapppaaaaaaaapppapaaaaaaappppapaaaaaappppappaaapppppaaaaaappaaapapaaaaaaapppappaaaaaapppppaaaaaaappppappaappppppppaaaappppppappaaaaaappppapppaaaappppappaaaaappppapapappppppappaaapppppaapppaaaaapppapppppaaappppppapaaaapppppppaappppppaappaappapppappapaaaapppppppppaaappppppapppaappppapppappppppappaaappppppappappppappppppppppaappppppappaaappppppppappppppapppaappppppappppppappppppppppaaapppppppappaapppppppapppppppappppapppppppppapppappppppppppapppppppppppppppppppppppppppppapppap
5,9,59,16,7,14,13,8,17,5,5,7,7,8,10,10,19,19,25,23,30,33,38,39,51,paaaaaapaaaaaaaaaaaaapaaaaaaaaaaaapaaaaaaapaaaaaaaaaaaaaaaaapaaaaaapaaaaaaaaaaaapaaaaaaaaaaaaapaaaaaaapaaaaaaaaaaaaaaaapaaaaaaappaaaaaaaaaapaaaaaaaaaaaaapaaaaaaaappaaaaaaaaaaaaapapaaaaaaapaaaaaaaaaapaaaaaaaaaaaapaaaaaaaappaaaaaaaaaaaaaaappaaaaappaaaaaaaaaaapaaaaaaaaaaaappaaaaaaapaaaaaaaaaaaaaaappaaaaaaappaaaaaaaaaapaaaaaaaaaaaappaaaaaaapaappaaaaaaaaaaapppaaaapapaaaaaaaaaaapaaaaaaaaaaaappaaaaaaapapaaaaaaaaaaaaappppaaapapppaaaaaaaaappaaaaaaaaaaapppaaaaaapapppppaaaaaaaaapppaaaappppappaaaaaaapaaaaaaaaaaaapppaaaaaapppppapaaaaaaaaappppaaappppaapaaaaaaappppaaaaaaaaappppaaaapppppppapaaaaaaaappppaaappppaapaaaaaaapaaaaaaaaaaaappppaaaaapppppppppaaaaaaappppaaappppaapppaaaaappaappaaaaaaappppaaaapppppppppppaaaaaappppaaappppaapaapaaaappapppppaaaaappppaaaappppppppppappaaaapppppaappppaapaappaaapppppppapaaaappppppaappppppppppapapaaappppapapppppapaapappapppppapapppaappppaaaappppppppppaaappaappppapppppppppppppaappppppppappappppppappppppppppppppappapp
5,10,67,16,13,10,14,16,14,5,7,7,8,10,14,17,21,28,32,37,40,45,53,52,63,paaaaaaaaaaaapaaaaaaaaapaaaaaaaaaaaaapaaaaaaaaaaaaaaapaaaaaaaaaaaaaapaaaaaaaaaaaapaaaaaaaappaaaaaaaaaaaaappaaaaaaaaaaaaapaaaaaaaaaaaaaaapaaaaaaaaaapaaaaaaaaaaapppaaaaaaaaaaaapaaaaaaaaaaaapaaaaaaaaaaaaaaapaaaaaaaaaappppaaaaaaaaapaaaaaaaaaaapaaaaaaaaaaaaaaapaaaaaaaaaaaapaaaaaaaaaaaappaaaaaaaaaaaapaaaaaaaaappaapaaaaaaaaaaapppaaaaaaaaaaapaapaaaaaaaaappapaaaaaappapaaaaaaaaaappaapaaaaaaaaaaappapaaaaaaaaaapapaaaaaaaaaappaapaaaaapapppaaaaaaaaaapaappaaaaaaaaaappapppaaaaaaaapappaaaaaaaaappaapaaaaappppppaaaaaaaappappapaaaaaaaaappppaaaaaaaaaapppppaaaaaaaappaapaaaaappppppppaaaaaappppppaaaaaaaaaapppppapaaaaaaappppappaaaaaappppppaaaappppppapaaaaaapppppaappaaaaaaappppappaaaaaaappppapaaaaaaapppppapaaapppppappaaaaaappppppappppaaaaapppppppppaaaaapppppaaaaaaaappppppaaaapppppppppaaaaapppppppppppaaaaapppppppppaaaaappppppapaaaaapppppppppappppppppaaaaaappppppppppppaaaapppppppappaaaappppppaappaaappppppapaapppppppppppaaapppppppppppppppppppppppppappaappppppaapappappppppapappppppppppaappappppppppppppaapapppppppppaappapppppppppppppppppppppapppppppppppppppppppppppppppaapapppppppppppppp
