K,sample_ID,S,H,no_spp_niche_0,no_spp_niche_1,no_spp_niche_2,no_spp_niche_3,no_spp_niche_4,no_spp_niche_5,no_spp_niche_6,no_spp_island_0,no_spp_island_1,no_spp_island_2,no_spp_island_3,no_spp_island_4,no_spp_island_5,no_spp_island_6,no_spp_island_7,no_spp_island_8,no_spp_island_9,no_spp_island_10,no_spp_island_11,no_spp_island_12,no_spp_island_13,no_spp_island_14,no_spp_island_15,presence_absence_matrix_cols_isles_concatenated
7,1,68,16,11,9,14,9,8,9,8,7,7,7,8,9,8,16,17,15,23,31,38,45,50,59,61,paaaaaaaaaapaaaaaaaapaaaaaaaaaaaaapaaaaaaaapaaaaaaapaaaaaaaapaaaaaaaapaaaaaaaaapaaaaaaaaapaaaaaaaaaaaaapaaaaaaapaaaaaaaapaaaaaaapaaaaaaaaapaaaaaaaaapaaaaaaaaapaaaaaaaaaaapaaaaaaaapaaaaaaapaaaaaaaapaaaaaaaaappaaaaaaaaapaaaaaapaaaaaaaaaaaaapaaaaaaaapaaaaaaapaaaaaaaapaaaaaaaapaapaaaaaapaaaaaaaaaaapaaaaaaaaaapaaaaaaaapaaaaaaaappaaaaaapaaaaaaaaaaaapaaaaapaaaaaaaaaaaapaaaaaaaaapaaaaaaaapaaaaaaapaaaaaaaappaaaaaaapppapaaaaapapaaaaaapapaaaaaaaaaaapapaaaaaappaaaaaapapaaaaaapapaaaaaaaaaaapaaaapapppaaaapppaaaaaaaaaaapaapaaaaapaaaaaaappppaaaaappaaaaaaaappaaapaaapapaaaaaapapaapaaaaaaaapaapaaaaapaaaaaaappaaaaaaappaaaaaaapppppapaaapppaapaaapappaapaaaaaaapaapaaaaapppaaaaappaaaaaaappaaaaaaappappapaaapppaaapaapppppappaaaaaappaappaaappapaaaapppppaaaappapaaaapppppppppaapppppppaapppaappppppaaapaapaaaaappapaaaapppappaaappaapaaaapppppppaaappppppppppppapapppppaaappapapaaapppappaappppppaaappppapaaapppppppapapppppppaapppapapppppppapaappapaappapappappppppppapppppppappppppppaapppppppppappppppppppppppppapppppapppppppappppppappppppppaaapppppppapappppppppppppppppppppppapppppppppppppapppppppppppappppppap
7,2,66,16,15,9,9,10,10,7,6,7,7,7,7,7,8,13,14,20,23,33,36,42,47,53,62,paaaaaaaaaaaaaapaaaaaaaapaaaaaaaapaaaaaaaaapaaaaaaaaapaaaaaapaaaaaapaaaaaaaaaaaaaapaaaaaaapaaaaaaaapaaaaaaaaapaaaaaaaaaapaaaaaapaaaapaaaaaaaaaaaaaapaaaaaaaapaaaaaaaaapaaaaaaaaapaaaaaaaaapaaaaapaaaaapaaaaaaaaaaaaaaapaaaaaaaapaaaaaaapaaaaaaaaaapaaaaaaaapaaaaaapaaaaaaapaaaaaaaaaaaapaaaaaaaapaaaaaaaaaapaaaaaaapaaaaaaaaaaapaaaaapaaaapaaaaaaaaaaaaaaaapaaaaaapaaaaaaaappaaaaaaaapaaaaaaaaaaaapaaapaaaaaaappaaaaaaaaaaappaaaaaaaaapaaaaaappaaaaaaaapaaaaaaaaappapaaaappaaapaapppaaaaaaaaaapaaaaaaaaappaaaaapaaaaaaaaappaaaaaaaapaapaaappaaaappappappaaaaaaappapaaaaapapaaaaaappaaaaaaaapaaaaaaaaappapaaapppaaapaapaappaaaaaaappappaaaapapapaaaappapaaaaaapppaaaaaaappapaaapppaaappppppapaaaaaaappapppaaapapppaaaapppaaaaaaappaaaaaaaappppppappppppppappapppaaaaaappppappaapapppaaaapppaaaaaaappapppaaaappppppapppppapppppappppaaaaappppapppapappppaaapppppaaaaappppapaaaappapppapppppppppppppppapaaaappppappaapapppppaappppppaaaappppappppappppppapppppapppppppppappaaappppapppapappppapapppppppaaappppapppppppppppppppppppppppppppappppppppppppppppppppappppppppppppppppppappappppppppppppp
7,3,60,16,9,11,11,6,10,5,8,7,7,7,8,8,8,12,14,22,27,29,35,39,45,50,53,paaaaaaaapaaaaaaaaaapaaaaaaaaaapaaaaapaaaaaaaaapaaaapaaaaaaapaaaaaaaaapaaaaaaaaapaaaaaaaaaapaaaaaapaaaaaaaapaaaaapaaaaaapaaaaaaaaaapaaaaaaaaapaaaaaaaaapaaaaaaapaaaaaaapaaaapaaaaaaappaaaaaaaapaaaaaaaaapaaaaaaaaaaapaaaaapaaaaaaaapaaaapaaaaaaaaapaaaaaaapapaaaaaaapaaaaaaaaaaaapaaaaaapaaaaaapaaaapaaaaaaaaaapaaaaaapaaaaaaaaapaaaaaaaaaapaaaaaapaapaaaaapaaaaapaaaaaapapaaaaaaapaapaaaaaapapaaaaaaaappaaaaaapaaaaaaapaaaappaaaaaapppaaaaaaapapaaaaaaapaapaaaaaaapaaaaaapppapaaaapaaaapaaaaaaapppaaaaaaapapapaaaaappaappaaaaappapaaappapppaaappaaappaaaaaappppppaaaapappaaaaaappppapppaaappaaaapppppaaaaappaaappaaaaaapppaaaaaaappppppaaaappaappppaaappapaappppppapaapaaaapppaaaaappppppaaaappppppaaaappapppppaaappppaapppppaaaaapappappappaaapppppaaaaapppppppaaappppppppaaappapaapppppapapappapappppppaapppppppaaappppppapaapppppppppaapppppapppppppapappppappappapappppppapappppppppapappppppppaaapppppapppppppappppppappppppppppppppappapppppppappppppppppapppppppppppppppppappapppppppppa
7,4,78,16,10,18,14,9,11,10,6,7,7,7,7,9,8,9,14,21,30,33,42,49,57,62,70,paaaaaaaaapaaaaaaaaaaaaaaaaapaaaaaaaaaaaaapaaaaaaaapaaaaaaaaaapaaaaaaaaapaaaaapaaaaaaaaaapaaaaaaaaaaaaaaaapaaaaaaaaaaaaaapaaaaaaaapaaaaaaaaaapaaaaaaaaapaaaapaaaaaaaaaaapaaaaaaaaaaaaaaaapaaaaaaaaaaaaapaaaaaaaaapaaaaaaaaaapaaaaaaaaapaaapaaaaaaaaaapaaaaaaaaaaaaaaaapaaaaaaaaaaaaaaapaaaaaaaapaaaaaaaaaapaaaaaaaaapaaappaaaaaaaaaapaaaaaaaaaaaaaaaapaaaaaaaaaaaaaaapaaaaaaaapaaaaaaaaapaaaaaaaaappaapaaaaaaaaapaapaaaaaaaaaaaaaaaapaaaaaaaaaaaapaaaaaaaaaapaaaaaaaaaapaaaaaaaapaaapaaaaaaaaaaappaaaaaaaaaaaaaaaaapaaaaaaaaaaapaaaaaaaaaaapaaaaaaapapaaaaaaaaapaapaaaaaaaaaappaaaaaaaaaaaaaaapaaappaaaaaaaaapapaaaaapppaaaaaaaaaapaaaaaaaappaaapapppaaaaapppapaaaaaaaaaaaaapapapapaaaaaaaappaaaaaapapaaaaaaaappaaaaaaaaapppaapaapappaaappaapppaaaaaaaaaaapppappapaaaaaaapappaaaapppappaaaaapppaaaaaaaappppapapaapaaaapppaaaappppaaaaaaapppaaappaaaaaaapapppaaapppppapaaaappppaaaaaappppaapppppapaaapppppppaaappaaaaaappppppaapaaaaaapapppaaappppappaaaapppppaaaaaappppppppppapaaapppppapapapappaaaapppppppaaaaaaaappppappapppppppppaappppppaaaapppppapppppappaapppppppppapaapppaappppppppappaaaappppppappppppppaaaapppppappaapppppppppppapppapppppppapppappappppppppppppaapaapppppapapppppppppapapppppaappapppppppppppppppppppppappppppppappppppppppppaappppppppppaappppppppppppppppappappppppp
7,5,68,16,9,7,13,14,5,10,10,7,7,7,7,7,12,8,18,21,25,27,40,44,48,57,65,paaaaaaaapaaaaaapaaaaaaaaaaaapaaaaaaaaaaaaapaaaapaaaaaaaaapaaaaaaaaapaaaaaaaaapaaaaaapaaaaaaaaaaapaaaaaaaaaaaaaapaaapaaaaaaaaaapaaaaaaaapaaaaaaaaapaaaaapaaaaaaaaaaaaapaaaaaaaaaaaapaaaapaaaaaaaaaapaaaaaaaapaaaaaaaaapaaaaapaaaaaaaaaaaaapaaaaaaaaaaaaapaaaapaaaaaaaaaapaaaaaaapaaaaaaaaaapaaaapaaaaaaaaaaaapaaaaaaaaaaaaapaaaapaaaaaaaaaapaaaaaaaapaaaaaaaaapapaaapppaaaaaaaaaapapaaaaaaaaaaapaaaapaaaaaaaaappaaaaaaaappaaaaaaaapaaaaaaaapaaaaaaaaapaaaaaaaaaaaaapaaaaaapaaaaaaapaaaaaaaaapapaaaaaaapappaapppppaaaaaaaapaapaaaaaaaaaappaaapaapaaaaaappaaaaaaaapapppaaaappapaaappaaaaaaaaaaapapapaaaaaaaaappaaapaaappaaaappppaaaaaapappppaaaapapaaappppappaaaaaappapaaaaaaaaaappaaapappaaaaaappppaaaaaapappppaaaapappaapppaaapaaaaaapppaappaaaaaaapppaapaappaaaaappppaaaaaapapppppaappappaapppppppaaaaaappppapapaaaaaappppapaappappppppppppaaaappppppppappapppapppppppaaaaaappppappappaaaappppapaapppaapppppppapaaappppppppppppppppppppppppaaaaappppapappaaaaapppaappapppaapppppppappaappppppppapppppppppppppppppppappppppappapppappppapaapppapppppppppappappppppppppppppppppppppppaapapppppppppppppppppppppppppppppppppppppppp
7,6,69,16,12,12,9,8,9,10,9,7,7,8,7,9,8,10,15,19,24,23,35,41,44,56,59,paaaaaaaaaaapaaaaaaaaaaapaaaaaaaapaaaaaaapaaaaaaaapaaaaaaaaapaaaaaaaaapaaaaaaaaaapaaaaaaaaaaaapaaaaaaaapaaaaaapaaaaaaaapaaaaaaaaaapaaaaaaaapaaaaaaaaaappaaaaaaaaaapaaaaaaaapaaaaaaapaaaaaaaaapaaaaaaaaaapaaaaaaaapaaaaaaaaapaaaaaaaaaaaaapaaaaaaapaaaaaapaaaaaaaapaaaaaaaaaapaaaaaaaaaappaaaaaaaaapaaaaaaaaappaaaaaaaapaaaaaapaaaaaaaapaaaaaaaaaapaaaaaaaaaaapaaaaaaapaaaaaaaaaaaaaapaaaaappaaaaaapaaaaaaaapaaaaaaaaaapaaaaaaaapaaaaaaaaaappaaaaaaaaaaapaaaaaaapaaaaaaapppaaaaaapaaaaaaaaaaapaaaaaaapapapaaaaaapaaaaaaaaaaapapapaaaapappaaaapapaaaaaapapaaaaaaaapaaaaaaaapapppaaaaaappapaaaaaaaappaaaaaaappaaaaaapppaaaaaappappaaaaaapaaaaaaaapappapaaaaappapaaaaaaaappppaaaaappapaaaapapppaaaappapaaaaaapppaaaaaaapappapaaaaappappaaaaaaappapapaaappaaaaaapapppaaaappapaaaaaaappaaaaaaapapppppaaaappapappaaaaappppaaaaappppaaaapppapppaappppappaaappppaaaaappppppppaaaappppapppaaaappppppaaappappaaapppppaapappppaaappappppaaaaapppppppapppappppappaaaaappppppaaappppappapppppaaaapppppaaaaappppppaaapppppppppapapppppppppppappppppppapppppapppppppppappppppaapapppppaapaappppppppppappppppppppappppppppaappppppppapppppppaapppppapappppppppapp
7,7,73,16,11,10,8,8,13,13,10,7,7,7,7,9,7,12,14,23,25,28,33,46,49,57,63,paaaaaaaaaapaaaaaaaaapaaaaaaapaaaaaaapaaaaaaaaaaaapaaaaaaaaaaaapaaaaaaaaapaaaaaaaaaapaaaaaaaaapaaaaaaaapaaaaaaapaaaaaaaaaaaapaaaaaaaaaaaapaaaaaaaapaaaaaaaaaaapaaaaaaaapaaaaaaaaapaaaaaaapaaaaaaaaaaapaaaaaaaaaaapaaaaaaaaapaaaaaaaaaapaaaaaaaaapaaaaaaaapaaaaaaaapaaaaaaaaaaapaaaaaaaaaaaapaaaaaaaapaaaaaaaaaaapaaaaaaaapaaaaaaaapapaaaaaapaaaaaaaaaapaaaaaaaaaaaaappaaaaaaapaaaaaaaaaapaaaaaaaaapaaaaaaaaaapaaaapaaaaaaaaaaaaaapaaaaaaaaaapaaaaaaaaappaaaaaaaaapapaaaaaaapaaaaaaaapapaaaapapaaaaaaaaaapapaaaaaaaaaaapaaaaaaaapaaaaaaaaaapaappaaaaappaaaaaaapapaaaapapaaaaaaaaaapapaaaaaaaaaaapapaaaaaapapaaaaaaaapaaappaaaappppaaaaappppaaapappppaaaaaaapppaaaaaaaaaaappaaaaaaapaapaaaaaaapaapaapaaapapaaaaappppppaapapaaapaaaaaapppppaaaaaaaappppaaaaaapaaapaaaaaapppapapaaappppaaaapppppaaapapapappaaaaapppaaaaaaaaaappppaaaaaappppaaaaaaappapppppaappppaaaapppppaaapappaapaaaaaappppaaaaaaaaapppppaaaaapapaappaaaappppppppaapppapaaapppppapapappappppppaapppapppppaaaapppppppaaappppppappaapppppppppppppppaaapppppapppappaapappaaapppppaaaapaaapppppppaaapppppaaappapppppppppppppppppppppppapapapppappppppapppppaaapppaappppppappapppppppaappppppppppaappppppapppppppppppppppppppaapppppapppapppppppppppapp
7,8,71,16,10,10,8,7,11,11,14,7,7,9,7,8,8,12,18,21,27,38,47,43,52,57,63,paaaaaaaaapaaaaaaaaapaaaaaaapaaaaaapaaaaaaaaaapaaaaaaaaaapaaaaaaaaaaaaaapaaaaaaaaapaaaaaaaaapaaaaaapaaaaaaapaaaaaaaaaapaaaaaaaaaapaaaaaaaaaaaapaaaaaaaaaappaaaaaaaaapaaaaaapaaaaaapaaaaaaaaaaapaaaaaaaapapaaaaaaaaaaapaaaaaaaaaapaaaaaaaapaaaaaaaaapaaaaaapaaaaaaaaapaaaaaaaaapaaaaaaaaaaaaapaaaaaaaaapaaaaaaaaapaaaaaaaapaaaaapaaaaaaaaaaaaapaaaaaaaaaappaaaaaaaaapaaaaaaaaapaaaaaaaaaaapaaaaaaapaaaaappaaaaaaaaaapaaaaaaaapaaaaaaaaaaaaaaapaaaaaaaapaaaaaaaapapaaaaaappaaaaaapaaaaaaaaapapaaaaaaappaaapaaaaaaaapaapaaaaaapaapaaaaaaapppaaaapapaaaappppaaaaaaaapapaaaaaaappaapaaaaaaaaapapapaaaaapapaaaaaaapapapaaapppaaaappppaaaaaaaapppaaaaaaapaappaaaaaaaaapppapaaaaappappaaaaapappaaaapppaaaapppppaaaaaaapppaaaaaaappapppaaaaaaaappppppaaaappppapaaaappppapaapppppaappppppaaaaapppppaaaaaapapppappaaaaaapppppapaaappppppaaaappppppaapppaaaapppppppppaapppppppaaaappppppppppaaaappppppaaaapppppppaaappppapaapppapaappppppppaaappppppaaaaapppppaapaapaaappppppppaapppppppaaappppppaappppaaapppppppaappppppppappaapppppapppaappapppppppapppppppppppapppppppapppppppppppppaappapppppaaaapapppppppppappaapppppppaappppppppaapppppppapppppppppppppppppppppppppapaappppppppppppppp
7,9,60,16,10,7,8,12,11,6,6,7,7,7,7,7,11,12,15,17,19,21,38,36,47,51,52,paaaaaaaaapaaaaaapaaaaaaapaaaaaaaaaaapaaaaaaaaaapaaaaapaaaaaapaaaaaaaapaaaaaapaaaaaaapaaaaaaaaaaapaaaaaaaaaaapaaaapaaaaaaapaaaaaaapaaaaaapaaaaaaaapaaaaaaaaaaapaaaaaaaaapaaaaapaaaaaapaaaaaaaaapaaaaapaaaaaaapaaaaaaaaaaapaaaaaaaaaaaapaaapaaaaaapaaaaaaaaapaaaaapaaaaaaapaaaaaaaaaaaapaaaaaaaaaapaaaapaaaaaapaaaaaaaapppaaaapaaaaaaappaaaaaaaaaaappaaaaaaaaaapaaapaaaaapaaaaaaaaapaaaaaappaaaaaapapaaaaaaaaapaapaaaaaaaappaaappaaaappapaaaaaapaapaaapapaaaaappaaaaaaaaaaaapaaaaaaaappaaaapppaaapappaaaaaapaaaaaapaaaaaaapppppaaaaaaapppaaaaaaaapppaaapaaaaapppaaaaaaapapaaaapaaaaaaapappaaaaaaaapppapaaaaaapppaaappapaappappaaaaappaaaaapaaaaaaappppapaaaaaapppaaaaaaaappppaappaaaappppppppaappppppappapaaaappppppppaaaapppaapaaaaappppaapppppapppppappaappppppappaappaapppapppapaaapppaaapaaaappppaappppaapppppppppappppppppppaappappppppppppaapppapapppaappppaappppappppppppppppppppppppppapappppppppppapapppppapaapppppppapppppappppppppaapppppppppppappappppppppaapppppppppppppppppappppppa
7,10,63,16,5,12,13,9,11,6,7,7,7,7,7,8,7,15,10,22,22,23,31,32,40,46,52,paaaapaaaaaaaaaaapaaaaaaaaaaaapaaaaaaaapaaaaaaaaaapaaaaapaaaaaapaaaaapaaaaaaaaaaapaaaaaaaaaaapaaaaaaaapaaaaaaaaaaapaaaaapaaaaapaaaapaaaaaaaaaaaaapaaaaaaaaaapaaaaaaaaapaaaaaaaaapaaaaaaapaaaapaaaapaaaaaaaaaaaapaaaaaaaaaaapaaaaaaaapaaaaaaaaaapaaaaaapaaaaapaaaaaapaaaaaaaaaapaaaaaaaaaaapaaaaaaaapapaaaaaaaaapaaaaaapaaaapaaaapaaaaaaaaaaaaapaaaaaaaaaaapaaaaaaapaaaaaaaaaaapaaaapaaaaaapaaaappappaaaaaaapapaaaaaaaaaapaaaaaaaapaappaaaaaappaaaaaappaaapaaaapaaaaaaaaaaaappaaaaaaaaaapaaaaaaaapaaaaaaaaaapppaaaapaaaaappaaapapappaaaaaaappppaaaaaaaapaaaaaaaapaapaaaaaaappppaapppppaapaaaappapappaaaaappppapaaaaaaapaaaaaaaappapaaaaaaapppaaappppaaapapaappaaapapaaaappppaaaaaaaaapapaaaaaappapaaaaaaapppapappppaaappapapppappppaaaapppppppaaaaaapaapaaaaappapappaaaapppaaappppaaappaaapppapppaaaaappppapaaaaaaappaappaaappappaappaapppaaappppppappaaapppppppppaaappppppapaaaaapppppaaaappappappappppppaappppaapppapapppapppppppappppppapppppappppaapaappappapppappppaaappppappppaappppppppppappppppppappappppppappappppapppppppapppappppppppa
