sample_ID,S,H,K,no_spp_niche_0,no_spp_niche_1,no_spp_niche_2,no_spp_niche_3,no_spp_niche_4,no_spp_niche_5,no_spp_niche_6,no_spp_niche_7,no_spp_niche_8,no_spp_niche_9,no_spp_isle_0,no_spp_isle_1,no_spp_isle_2,no_spp_isle_3,no_spp_isle_4,no_spp_isle_5,no_spp_isle_6,no_spp_isle_7,no_spp_isle_8,no_spp_isle_9,no_spp_isle_10,no_spp_isle_11,no_spp_isle_12,no_spp_isle_13,no_spp_isle_14,no_spp_isle_15,presence_absence_matrix_cols_isles_concatenated
1,63,16,10,7,6,10,5,11,8,4,6,4,2,6,10,10,10,10,11,12,15,21,20,23,26,31,34,43,36,aaaaaaapaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapaaaaaaapaaapaaaaapaaapapaaaaaapaaaaapaaaaaaaaapaaaapaaaaaaaaaaapaaaaaapaaaapaaaapaaapapaaaaaaapaaaaapaaaaaaaapaaaapaaaaaaaaaaapaaaaaapaaapaaaaapaaapapaaaaaaapaaaaaapaaaaaaaapaaaapaaaaaaaaapaaaaaaaapaaaapaaapaaapapaaaaaaapaaaapaaaaaaaaapaaaaaapaaaaaaaaaapaaaaaapaaapaaaapaaapaapaaaaaapaaaaaaapaaaaaapaaaapaaaaaaaaaaaapaaaaapaaaaappaapaaapapaaaaaaaapaaaaaaapaaaaappaaaaaapaaaaaaapapaaaaaapaapaaaaapaaapapaaaaaappapaapaaapaaaaapaaaapaaapaaaaaaaaapaaaapaaapapaaapaaapapppaaaappapaapapppaaaaapaaaappappaaaaaaaaaapaaappaaaapaaapaaapapappaaappaaaaapaappaaaappaaappaapaaaaaapaaaapaappaaaapaaapaaapapppaaaappapaapaappapaaapppaappaaaaaaaaaaapaapaapaaaappaaappaapappaaaaappppaappappaaaaappapappapaaaaaaapappaapappaapapaaapaaapappaaaaappappappappaapaapppaappapppppaaaaapaaaaapppapppapapaaapapppappappppapppappaaapappppappappappaaaaapaaaaaapappappaapapapappppapppppppapppppaaapppppaapppppaaappaappappaapppapppaappapapppppaaappppppapppppaaaappppapppappaapaappapaaaapppaaaappaapapppa
2,56,16,10,6,2,10,4,3,7,6,5,8,5,5,10,10,10,13,12,12,15,18,18,19,27,35,34,38,42,aaaaaaaaaaaaaaaaaaaaaaaaapaaaaaapaaaaapaaaapaaaaaaapaaaapaaaaapapaaaaaaaaapaaapaaapaaaaaapaaaapaaaaapaaaaaapaaaaapaaaapaapaaaaaaaaapaapaaapaaaaapaaaaaapaaaaapaaaaaapaaaaapaaapapaaaaaaaaaaapaapaapaaaaaapaaaaaapaaaaapaaaapaaaaaappaapaaappaaaaaaaapapaaappaaaaapaaaapaaaaaaaapaaaaapaaaaapaapapapaaaaaaaaapapaapaaaaaapaaaaaaaapaaaaapaaapaapaaapaaapaaaaapaaaaaappapaapaaaaaapaaaaapaaaaaaaapaaappaaaaappaapapappaaaaaaappapaaapapaaapaaaaapaaaaaaaaapaapaaaaappapapapapappaaaaappapaaapaaaaaaapaaapaappaaaapaaapaaaaaapapapapapppaaaaaapppppaaaaapaaapaaaaaappaaaaapaaapaaaapappaapapapppaaaaaappappaapaaaaappaaaaaapaapaaaapaapaaaapappaapappppaaaaaaappappaappaaaappppaapappapapapaaapaappapppappapappppppaappppppaapppapapppapapappapaaaappappapappppaapppppppappaapppapppapaaaaappapappappapaappaaappppapppppapppppppaappapppapppapaapapppaaappapppaappappppppaapppppppppppppppppppppppppapaappapappappaapapapapppappapa
3,58,16,10,7,7,6,5,8,3,3,9,5,5,5,10,10,11,11,13,18,15,17,22,24,26,30,38,42,47,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapaapaapaaaaaaaapaaaapaaaapaaaaaapaaaaaapaaaaapaaaapaaaaaaaapaapapaaaaaaaaapaaaapaaaapaaaaaapaaaaapaaaaaapaaaapaaaaaaaapaapapaaaaaaaapaaaaapaaaapaaaapaaaaaapaaaaapaaaapaaaaaaapaapaapaaaaaaaaapaaapaapapaaaaaaapaaaaaapaaaaapaaapaaaaaaapaaaapaapaaaaaapaaaappaaaaapaaaaapaaaaapaaaaaapaaaaapaaaaaaapaappaappaaaappaaapaaaapappaaaaapaaaapapaaapppaapaapaaaaaappaappaaaaaaaapaaapaaappaaaaaapaaaaaapapaaappaaaappaaaaapaaaapaaaaapaaaappaapaapapaaaaaappapaaappaaaaapaaapappaaaapaaapaapaaaapaapapaapaaaappppaaapppapaapaaaaappaaapaappaaaaappaaapapapaaaapaaapaapapaapaaappppapapaaaaappaaappppppaaappaapaapaapapaapaaapaaaappppaaappppaaappppaappaaapapppaaaaapaapaapapaaapapaaapapaappappaapppppaappppaappaaapapppaaappaaapappappaaappaaapaapappppapapppppaappappappaaappppppaappppppappappaaaapapapapppppppappppppppapppapappppapppppapappppapppaappaaaapaapppppppppppppppppppppppappppppppppppappppppapapppppaaaappaaapppp
4,59,16,10,6,8,6,9,10,3,4,3,5,5,6,10,10,11,12,13,15,16,18,21,27,28,33,39,42,47,aaaaaapaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapaapaaapaapaaaapaaaapaaaaaapaaaaaapaaaaapaaaaaaaapaaaaaaaaaapaapaapaaapaaapaaaapaaaaaapaaaaaapaaaaaapaaaaaaaapaaaaaaaaaappaaaapaaapaapaaaapaaaaapaaaaaaapaaaaaaapaaaaaapaaaaaaaaaaappaaapaaaappapaaaapaaaaapaaaaaaappaaaapapaaaaaapaaaaaaaaaaappaaaaapaaapapaaaapaaaaaapaaaaaaapaaaaaaapaaaaapappaaaaaaaappaaapaaaaaapppaaapaaaaapapppaaapapaaaappaaaaaapaaaaaaaaaaappaaapaaaaapapaaaapaaaaaapapaaaappaaaaapaaaaaaappaapaaaaapaapapapaapaapapaaaappaaaapppaaaaappaaaapppaaaaaapaaapaaaaapaapapapaaaaapapaaaappaaaappapppaaapaaaappaapaaaapaaappaaaapapppaapaapaaaapaaaappaaaappappaaappppaaappaaaaaappappappaapapppaappapapaapaaaappaaaappappaaappappapppapaaaappappaaaaapappaappaapaaappappappppaapppppapappppaapppppaaaappapppaaaapapappappapaapapaaaappaaaapppppppappppppppppappaappppppaapapappppapaapappapaapapppapappappappppppppppppaappapppppppaaapappaaapppppapappapppppaappppppppappppppppppppppppppppppaappapppaapapppppppaapa
5,66,16,10,8,9,8,9,7,4,5,6,5,5,5,10,10,10,12,13,13,16,20,18,21,29,34,38,44,54,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapaaapaaaapaaaaapaaaapaaaapaaaaaaapaaaaaaaapaaaaaaapaaaaaaaapaaaaaaapaaapaaapaaaaapaaaaapaaapaaaaaaaapaaaaaaapaaaaaaaapaaaaaaapaaaaaaapaapaaaapaaaaapaaaaaapaaapaaaaaaapaaaaaaapaaaaaaaaapaaaaaaapaaaaaapaaapaaaapaaaapaaaaaapaappaaaaaapaaaaaaaapaaaaaaaaaapaaaaapaaaaaapaaapaaaaaapaaapaaaapapaaapaaaaaaapaaaaaaapaaaaaaaaapapaaaapaaaaaaapaaaapaaapapaapaaaapapaaaapaaaaapaaaaaaaapaaaaaaaaaaappaaapaaaaaaapaaapaaappaaaappaaaaapaapppaaaaapaaaaaaaapaaaaaaapappaaaaapapaaaapaaaaaapapaaaaapapaaaapaappapaaaapppaaaaaappaaaaaaaaapaaaaapaappaaapaappaaaapappapaaaaaaapappaaaaaappappaaaapaaaaaaaaapapaaaapaaaaaaapaapaaaappaaaapapaappaaappaaaaaappppaaaaapaaaaaaapappppaaapapaaaaapaapaaaappaapapaaaaaapaapppapaaappappaaaappaaaaaaaapppapaapappaaapppappapaapaapappapaaapaapppaapaappppapppapppaaaaaaapppaapapppppaappaappapappaaaapapaapapaappppappappppapapappappaaaaapppapppppppaaaappappapappapaapapaaaapapppppapaappppppapappappppapppppppppppppaaappaapaappppapaapapaapappappppappppppppppppppppppppppppppppappppappppapppapappapappapappppaa
6,50,16,10,6,9,8,7,6,3,3,3,3,2,6,10,10,10,11,11,14,14,16,17,18,22,31,34,37,36,aaaaaapaaaaaaaaaaaaaaaaaaaaaaaaaaaaapaapaapaapaapapaaaaaapaaaaaaapaaaaaaapaaaaaapaaaaapaapaapaaapapaapaaaaaapaaaaaapaaaaaaaapaaaaapaaaaapaapaaapaapapaapaaaaaaapaaaaapaaaaaaaapaaaaapaaaaaapapaaapaapapapaaaaaaaaapaaaaapaaaaaaaapaaaaapaaaappapaapaaapapaaapaaaaapaaaaaapaaaaaaaapaaaaapaaaaapappaaapaapapaaapaaaaaaappaaaappaaaaappaaaaapaaaaapappaaapapaapapapaaaaapaapaaapapaaaaappaaaaapaaaaaapapaapaaapapappaaaaaaaapapaappppaaaaapaaaaapaaaaapaappapaaapapapaaaaaaapappapapappaaaapppaaaapaaaaapaapaapaaapapapappaaaaaappppappaaaaaaappaaaapaaaaapaapaapaappapapppaaaappapppaapppappaaapppaaapaaaaapaapaapaapaapappppaapppappppappppaapapppaaaapapppappapaapaappapppppappappppppppppaapppapppaaaappapaappppappaappppapppaaappppppapppppppapppppappappppppppapaapapppapapppapaapppppppppppppapapppappppppppapappaapaappapa
7,60,16,10,6,11,6,8,7,6,4,3,5,4,5,10,10,10,11,13,14,17,16,19,22,21,31,28,43,37,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapaaaaapaaapaapaaaapaaapaaaaapaaaaaaaaaapaaaaapaaaaaaapaaaaaaapaaaapaaapaaapaaapaaapaaaaaapaaaaaaaaapaaaaapaaaaaaaapaaaaaapaaaaapaaapaapaaaapaaapaaaaaapaaaaaaaapaaaaapaaaaaaapaaaaaaaapaaapaaaapaapaaapaaapaaaaapaaaaaaaaaapaaaaapaaaaaaaaapaaaaappaaapaaapaaapaaapaaaapaaaaapapaaaaaaapaaaaapaaaaaaaappaaaaaappaapaaaapaapaaaaapappaaaapaaapaaaaaapaaaaapaaaaaaapaaaaaaapapaaaapapaaapaaapapaapaaaapaaaapaaaaappaaaapaaaaaaapaaaaaaaaapaapaaapaapppaappppppaaaaaaaapaaaaaappaaaapaaaaaaapapaaaaaaappapaapppaapaaaaapappaaaaaaaaapaaaaappaaaapppaaaaapppaaaaapaaaapaaapaappppaaapapppaaapppaaaaaaaapppaaapaaaaaaappppaaaappaappaaapaappaaapaaappaaaapppaaapaaaappaaaapapaaaaappppaaaaappaapaaapaappaaapaaappppaapppapapaaaappaaaapappppaapppaaaaapppaappaapapapappppaappapaapppapppaaaappaaaapapappaapppapaaapapaapapappaapaaappaapppppapppappppppapppppppapppapppppappaapppaapapappaappaapppappppappppappaaaappppppapapppaaapppapapappppppapapaapppaapaaa
8,52,16,10,10,6,10,3,7,6,3,4,2,1,5,10,11,11,10,10,14,14,19,21,27,24,29,30,37,43,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapaaaaapaapaaapappaaaaaaaaapaaaaapaaaaaaaaapaapaaaaaaapaaaaapaapaapapapaaaaaaaapaaaaapaaaaaaaaapaapaaaaaapaaaaappaapaapapapaaaaaaaapaaaaaapaaaaaaaapaaapaaaaaaapaaaapppaaapappaaaaaaaaapaaaaaaapaaaaaaapaapaaaaaaaaapaapaaapaapapaapaaaaaaapaaaaapaaaaaaaaapaapaaaaaaapaaaaapaapaapapappaaaaaaapaaaaapaaaaaaaaapaapappaaaapaaaaappapaapapppaaaaaaaapaaaaapaaaaaaaaapaapaaaaaaappaaaaapappppappppaaaaaaappppaapaappaaaaapaapapaaaaaapaaapapapaapappapaaaaaaappaaaapppppaaaaappapapaaaappaaaaapaappappppppppaaaaapaaaaapppapppaaapaapapppaapppaaapapapapppppppaaaaaaapppaaappaappaaaapppppppaaaapaapaaapaaappppppppappaaappaapapppapappaapapppppapaapaaapapaaapppapppppaaappappapaapppappaaaapppppppapaaaaapaapppaapppppppppppaappaappapppppppaaapapppppapapppapapppapapppppppppppaaappppappppppppapppppppppapppppapapppppapppp
9,46,16,10,7,4,4,7,7,4,3,5,1,4,5,10,10,12,10,13,11,12,13,19,21,17,27,32,40,36,aaaaaaaaaaaaaaaaaaaaaaaaaaaaapaaapaapaaaappaaapaaaaaapaaapaaapaaaaaapaaaaaaapaapaaapaaapapaapaaaaaapaaapaaaapaaaaapaaaaaaaapapaaaapaappaaaapaaaaapaaaapaaappaaaaapaaaaaapaappapaaaapapaapaaaaaapaaaaapaapaaaaapaaaaaaaapapaaaaapappaaapaaaaaapaaapapapaaaaaapaaaaaaappppaaaaapappaaapaaaaaapaaaaapapaaaaaapaaaaaaapaapaaaappapaapapaaaaaappaapaaaappaaaapaaaaaaaapapaaaaapapaapapaaaaaapaaapapappaaaaapapaaaapaaapaaaaapapaaappaaaaaapppapppapppaaaapaapaaaaapapaaapapappapapppaaaapapapppapppppaappaaaaaappapaaaaapapaaappaaaaaapaaapapaappaaaappappaappaapaapaapapapaapaaaaaapppapppappppapappppappappappapaapapppaappppaaapppppppappppppppppppaaappapappaapappaapppppppapppapppppppppapppppppppppappppapppppappppppaappppapppappppppappppppppppapppaaappppapp
10,58,16,10,6,9,7,5,7,5,4,5,6,4,6,10,10,10,10,12,15,14,17,18,25,22,26,30,39,32,aaaaaapaaaaaaaaaaaaaaaaaaaaaaaaaaapaaaapaaapaaaapaaaaapaaapaaaaaapaaaaaaapaaaaaapaaaapaaaaaapaaaaapaapaaaaapaaaapaaaapaaaaapaaaaaaaapaaaaapaaaaapaaaaaapaaapaaaapaaaaapaaapaaapaaaaapaaaaaaaaapaaaaapaaaaaapaaaaaapaaaapapaaaaaapaaapaaapaaaaaapaaaaaaaapaaaaaapaaaaapaaaapaaaaaapapaaaaaapaaapaaappaaaaaapaaaaaaapaaaaapaaaaaaapaaappaaapaaaaapaaaapaaapaaappaaaaapaaaaaaaappaaaappaaapappaaapaaaaaapaapaaaaapaaapaaappaaaapaaaaaaaaapapaaapaaaaaappaaaaaapaaapapaaaaaapaaappaappaaaaapaaaaaaapppaaaappaaapppaaaaaaaappaappaaaaaapaaapaaappaaaaapapaaaaaappaaaappaaaaappaaapaapapapaapapaaapaaapaaapppaaappaappaaapppaaaapppaaappppaapppaapapapaaaaaapaaapaaappapaappaaapaaapppaaaappaaappppaaappaappaaapaaaaaapaaapaaappaapappaaapaaapppapaappaaaapppaaapaapapapappaaapappaappaapppaaapppappppappppaaappaaappppapaaaapapappppaaaaapaaapapappppapppaaapaappppappappapappppaaappappppppppaappapapappppppaaaapppappaaapppppapppaapapppapppappappaappaaapapaappaaa
