archipelago_ID,sample_ID,S,H,K,no_spp_niche_0,no_spp_niche_1,no_spp_niche_2,no_spp_niche_3,no_spp_niche_4,no_spp_niche_5,no_spp_niche_6,no_spp_niche_7,no_spp_niche_8,no_spp_niche_9,no_spp_island_0,no_spp_island_1,no_spp_island_2,no_spp_island_3,no_spp_island_4,no_spp_island_5,no_spp_island_6,no_spp_island_7,no_spp_island_8,no_spp_island_9,no_spp_island_10,no_spp_island_11,no_spp_island_12,no_spp_island_13,no_spp_island_14,no_spp_island_15,presence_absence_matrix_cols_isles_concatenated
1,1,61,16,10,5,5,3,7,5,2,9,8,7,10,10,10,11,10,10,13,17,16,17,20,27,31,34,41,43,47,paaaapaaaapaapaaaaaapaaaapapaaaaaaaapaaaaaaapaaaaaapaaaaaaaaapaaaaapaaapaaapaaaaaapaaapapaaaaaaaaapaaaaaaapaaaaaapaaaaaaaapaaaaapaaapaaaapaaaaapaaapaappaaaaaaapaaaaaaapaaaaaapaaaaaaaaapaaapaaaapaapaaaaaaapaaapapaaaaaaaaaapaaaaaapaaaaaapaaaaaaaapaaaaaapaapaaapaaaaaapaaapapaaaaaaaaapaaaaaaaapaaaaapaaaaaaaapaaaaapaaapaaappaaaapaaaapappaaaaaaaapapaaaaapaaaaaapaaaaaaaapaaaappaaapaaaapppaappaaapapaaaaaaaaapappaaapaaaaaaappaaaaaaapaaaapaapapaaapaaaaaaapaapppapaaaaaaapaapaaappapaaaaaapaaaaaappaaapaaaapaappaaaaapaaaapppaapaaaaapppaaaaaaaaapaappaaaaaaaapapaapaaaapaappppaaappaaapappaaaaaaaapapaaaapppaaaaapapaaaaaapppaappapappappapapapppaappppaaaaaaaappppaaaappaaaaapapaaaaaapaaaappaaappappppapapppaapppppapaaaaappppaaaappppaappappaaaaapapaappapapaaappaapapppaapppapaappaaappppaaappppppappppppaaaapapaapppappaapppppaapppaappppppapapapppppppapppapaappapppppaapppaappppapppppppappppppappppppaapaapppppappppppaapppappaaaaapapppppppapppppppppapppppppppppaaaappppppaaapppppapppappapapp
1,2,39,16,10,5,4,6,3,3,5,2,4,6,1,10,10,11,10,12,10,13,11,13,13,20,20,26,24,29,31,paaaapaaapaaaaapaapaapaaaapapaaapaaaaapapaaaapaaapaaaapaapaapaaaapapaaaapaaaappaaaaappaapaaaapaapaaapaaapapaaaapaaaappaaaaaapaaapaaapaapaapaaaapapaaapaaaaapaapaapaaaapaaaapaapaapaaaappapaappaaaappaaaaapaaapaaaapaapaapaaaapapaaapaaaaappaaaapaaaapapaapaapaapaaaappppaapaaaaappaaaapaaaaapaaapaappapaaaapapaaapaaaaappaaaappaaapaaaapaapaapaaaapapaaapappaappaaaapppaapaaaapaappapaaaapapaaapaaaaappappapppaappapappapaappaaapappaappaaaappapaapapaappaaapaapppppaaapppppappaaaappppaapppappppaapaappappppappppaapppapappapappppapppppappappappaaappppaappaaaappppaapppappppppppapppppaapppppaapppaapppppapppppappppapppppappaaapppppppppppap
1,3,49,16,10,5,2,4,6,4,4,7,4,6,7,10,10,12,10,11,10,13,16,17,17,24,27,30,30,38,39,paaaapapaaapaaaaapaaapaaapaaaaaapaaapaaaaapaaaaaapaaaapapaaaapaaaapaaaapaapaaaaaapaaapaaaaaapaaaaapaaaapaapaappaaaapaaappaapaaaaaapaaaapaaaaaapaaaapaaaapapaaaapaaaapaaaapaapaaaaaapaaaapaaaapaaaaaapaaaapapapaapaaaapaaaapaapaaaaaapaaaapaaaaaapaaaapaaaapapaaaapaaaapaaaapaapaaaaaapaaapaaaaapaaaaaapaaaapapaaapaaaaapaaaapaappaaaaapaaapaaaaapappaaappaaapapaaaapppaappaaappaappaaaaapaaaapaaaaaaapaapaaaapppappppaaaapaaapppapaaaaaapaaapaaaaapapaaaapapaapapppappaaaappaaaapapaapaaapaaapaaaaapapaaaapaaaapapapapppaaapaaapppapaapppppaaappapaapppaapapappapppapappaapapapapppapaapppappaappaaaapppaapapaaaapapapppppppappaapppapaapppappaapppppapppapaapaaaapppappppaapappappppapaaappppppapppaappppaaapppppppapppppppapppppapppppapppppppaapppppapppaaaapapappppppppppppapppapppapaappppppapppppppppppaap
1,4,45,16,10,6,2,4,5,6,5,4,3,4,6,10,10,10,10,11,11,14,14,15,18,19,20,26,30,32,36,paaaaapapaaapaaaapaaaaapaaaapaaapaapaaapaaaaaapaaaapapaaaapaaapaaaaaapaaapaaapaapaaapaaaaaapaaaaappaaaapaaapaaaaaapaaaapaapaapaaapaaaaapaaaaapaapaapaaaapaaaaapaaaapaaapaaapaapaaaaaapaaaaappaaappaaapaaaaapaaaapaaapaaapaapaaaaaapaaaapapaaaapaaappaaaapaaaapaaapaapaaapaaaaaappaaapapaaapaaaaaapaaapppaapaaapaaapaappaaaapaaaaapappaappaaapaaaaapppaaaapapaapaaapaaaaaappaaapapaaappaaaapaaaapppaapaaapaapaaappaaaappaaaapapppaapaaappaaaappaaapaaapaappaapppaaappaaaapppaaappaaappaaaappaaapaaapaapppappapaappapaapppaapppaaappapaappaaapaappaappaapaaaaapppaaapppppppppaappaaaappaaappaappapppapppaaapppapapapppapppaappapaappppapppappapppappppaapppaapppppappppppppappapppappaappaapppppppaaapppaaapppppppppppppppppppppapaappappppapppapp
1,5,57,16,10,5,6,7,3,6,6,4,7,7,6,10,11,14,11,11,11,14,16,22,20,27,28,38,40,40,50,paaaapaaaaapaaaaaapaapaaaaapaaaaapaaapaaaaaapaaaaaapaaaaaapaaaapaaaappaaaaapaapaaaaapaaaaaapaaapaaaaaapaaaaapaaaaaaapaaaapaaappaaaaapaaapaaaappaaaapaaaapaaaaaapppaaapaaaaaaaapaapaaaapaaaaaaapaapaaaapaaaaapaaaaapaaaapaapaaapaaaaapaaaaapaaaaapaaaaapaapaaaaaapaaaapaaaapaaaaaapaapaapaaaaaapaaaapaaaaaapaaaaapapaaaaaaapaaaapaaapaaaaaapapaaapaaaaapapaaaaapaapaaaaaapaapaaaaappapaapapaaaapaaaapaaaaapaaaaappaaaappaaapaaaaaapaappaaaappaaaaapaapaaaaaaaaappaappaaaapppaaaappaappaaaaappappaaaapaapaappaaappapaaapappaapaaaaaappaapppaaappaaaaapaappaaaappaaaappaaappaaaaapappaapaaaaapappaapppaappapaaappapppaaappaaaapapappapapaappapaappaaaaapppaapppaapppaaaappppppaaappaaaappaaapppaaappappaapapaaappppapppppppaaapaappappaaaapppapappppppppaapppappppppapaapppppapppappppaaaappappppaappappappppppppapppppppaapppaaappppaapppaappaaappppappapppppaapapppappppppppppppaappappappppappppappppapppppppppapappppppppppppppppppppppapppppap
1,6,51,16,10,6,5,3,4,4,12,8,2,4,3,10,10,11,10,10,14,14,12,15,20,23,29,35,30,38,44,paaaaapaaaapaapaaapaaapaaaaaaaaaaapaaaaaaapapaaapaapaaaaapaaaapaapaaaapaaapaaaaaaaaaapaaaaaaapaapaapaaapaaaaapaaapaapaaapaaaaappaaaaaaaaapaaaaaapaapaapaapaaaaaaapaapaaapaapaaaapaaaaaaaaaapaaaaaaaapaapapaapaaaaaaapaapaapaaapaaaaaapaaaaaaaaaapaaaaaappaaapaapapaaappapapaaapaaapaaaapaaaaaaaaaaaapaaaapaapaappaapaaaaaaapapaappaappaapapaaaaaaaaaaapaaaaapappaapaapaaaaaaapaapaaapaapaaapappaaaaaaaaapaaaaaaapapaapaappaaaaaaapapaapaaapaaaaaaapppaaaaapaaaaaaappaapapapapaaaapaapapaapppappaappaaaaappaaappaaaaaappppaapaappaaaaapapapaappaappaapaappaaaaaaaappappaappppaapppppaaaapaapapaapppapppaapppaaaapaaappappapapppppppppppapaappppapaappaappaapppppappppaappppppaappppappppppapaappppapaappapppaapppppaaaaaaapppapaaapppppppapppapppppppappapppappaapppppaaapaaapppppapppppppppppppppaappppppappppappapppppppapppppppppppapppppppppp
1,7,52,16,10,6,5,2,3,5,6,6,5,7,7,10,11,10,10,10,11,15,12,18,22,26,27,33,36,41,45,paaaaapaaaapapaapaaaapaaaaapaaaaapaaaapaaaaaapaaaaaaapaaaaapaaapaapappaaaapaaaaapaaaaapaaaapaaaaaapaaaaapaaaaaaapaapaapapaaaaaapaaaapaaaaaapaaapaaaaaapaaaaaapaaaaapaaapaapaapaaaaaapaaapaaaapaaaaaapaaaaapaaaaapaaaaapaaaapaapaaapaaaaapaaapaaaaaapaaapaaaaaaapaaaapaaaaapapaapaapaaapaaapaaaaapaaaaaapaaaaapaaaaapaaaapaaaaaapaaapappappaaaapapaaappaaaapaaaaapaaaaappaaaapaaaaapaaaapaapppaaaaapapaaapaaaapaaaapaaaaaaapaaaaaapaaaaapppaapapappaaappapaappapaaaapaaapaaaaaaappaaapppaaapapappappappaaappaaaaapaapapapaapppaaaaappaaaappapaapppaapappapaaaappapaapppapappppaappapaaappaaaappapaappaaapappappaaappapaappappapappapapapaaappppaappappapppaapapppppapappapaappappppappappppapaappaapappappapppappappapppaappapaapppppappppppppppaaapppapappppaappppapapppppaappppppappppppppppappppaapappppppppppppppppappppppppaappppapppppppppppppppppapapppppa
1,8,54,16,10,9,5,9,5,3,4,4,6,6,3,10,10,10,10,11,12,14,15,19,20,20,29,37,40,39,43,paaaaaaaapaaaapaaaaaaaapaaaapaapaaapaaapaaaaapaaaaapaaapaaaaaaaapaaaapaaaaaaaapaaapaapaaapaaapaaaaaapaaaapaaapaaaaaaaaapaaaapaaaaaaaapaapaapaaapaaaapaaaapaaaaapaaapaaaaaaaapaaaaapaaaaaapaaaapaaapaapaaaaapaaapaaaaapaaappaaaaaaaapaaaapaaaaaapaaaapaapaaapaaaaapaaaaapaaapaaapaaaaaaaaapaaaapaaaaaaaappapaapaaapaaaaaapaaaappaapaaapaaaaaaaappaaaapaaaaaapaapaapapaaapaaappaaaaaapaaappaapaaaaaaaaapaapppaaaaaapaapapaapaaaapaaapaapapapaaapaapppaaaaaaapppapaaaaaaaappaaapaapaaappaapaaaaapapapappappppaaaaaappaapaaaaaaaappapappapapapaaapppaaaaapaaapaaappaaaaaaappaapapaaaaaapaapappapaaappaaapppaapappaapaappappaaaaappaappppaaaaappapppaapaappppappppaapppapapaappappppaaappappppaaaaaappppppppppapppppppppaappppappaappppapappappapppppppaaappppppppppappppappppappapppapaappapppaappppaapppaaapaapppppppppppppppappppaapppppappappppppaapppppapppaapapppppppppppppappppppppaapppppapap
1,9,49,16,10,7,6,4,4,4,3,6,5,6,4,10,10,11,10,11,12,11,11,15,17,18,20,28,32,36,39,paaaaaapaaaaapaaapaaapaaapaapaaaaapaaaapaaaaapaaaapaaaaaapaaaapaaaapaapaaapaapaaaaaapaaaapaaaapaaaaappaaaaapaaaapaaapaapaaapaapaaaaaapaaaaapaaapaaaaapaaaaapaaaapaaaapaaapaapaaapaaaaaapaaapaaaapaaaaaapaaapaaaaappaapaaapaaapaapaaaaapaaaaapaaaapaaapaaaaaaaaapaapaaapapapaaapaapapaaapaaaaapaaaapaaaaaaapaaaapaaaapaaaapapaaapaapapaaaaapaaapaaaapaaapaaaaaapapaaapaaaaapaaapapaaaapaaapaaaaapaaaapaaaaapapaaaappaaapaapppapaaapaapapaaapaaaaapaaaapaaapaaaapaappaaappaapppappaapaapapaaapaaaaapaaaapaaapapppaaaapapaapaapppapaaappapapaaapaaaaapaaaapaaapppaaaapappaapaaaappppaaapappapaaapppaaapaaaapaaappppaaappppaappaapppappappaapapppppppaaappaaapaaappppppappppaapppapppappaappapppapppapaaapapaapppapppppppppppapppappppapapappapapppppppaaapppaappapppppppappppaappaappppppaappppppppppppppapppppppaa
1,10,63,16,10,6,9,7,5,4,7,5,5,7,8,10,10,10,10,13,11,15,16,14,19,28,30,32,39,41,47,paaaaapaaaaaaaapaaaaaapaaaapaaapaaaaaapaaaapaaaapaaaaaapaaaaaaapaaaaaapaaaaaaaapaaaaaapaaapaaaapaaaaapaaaaapaaaapaaaaapaaaaaaapaaaaaaapaaaaaaapaaaaaaapaaapaapaaaaaaapaaaaapaaapaaaaapaaaaaaapaaaaaapaaaaaaapaaaaaaaapaapaaaaapaaaapaaaaaaapaapaaaaapaaaaaaapaaaaaaaapaaaaaaapaaaapapaapaaaaappaaapaaaapaaaappaaaaapaaaaaaapaaaaaaaaapaaaaaapaaaapaaaapaaaaaaapaapaaaaaaapapapaaaaapaaaaaaapaaaaaaaapaaaaaappaaapaaaaapaaaapapaapaaaapaaaapapaaaapappaaaapapaaapaaapaaaaapaaaaaaapaapaaapapaaaapapaaaappapapaaaapaaaaaaapaaaaaapaapaaaapapaaaaaapaapaaapaaapaapaapapaaaaaapaaaapaaaaaaapaapaaapaaaaaaaapaaaaapapaappaaaapapaappaaapaapapappaaapaaapaaapaapaappaapaaaappaaaaapapaapppaapppppappaaapappapppapaapaaaapaapappaapppapaaaappppaaapapaappaapppappapppaaappaapppaaaappaaaaaapappaapppppaaaapppapaapappappaapppappappaaapappapppaaaappaaaaaapapppaappppppaapppapaapapapppaapppapappppapppppappppaaappaaaapapapppppppppaaaappppppapppppppappppapaapppaapappppppaapappaaaaaappppapppppppapppppapppppppappppppppppappapapappapppaaapppaaapap
