archipelago_ID,sample_ID,S,H,K,no_spp_niche_0,no_spp_niche_1,no_spp_niche_2,no_spp_niche_3,no_spp_niche_4,no_spp_niche_5,no_spp_niche_6,no_spp_niche_7,no_spp_niche_8,no_spp_niche_9,no_spp_niche_10,no_spp_niche_11,no_spp_niche_12,no_spp_niche_13,no_spp_island_0,no_spp_island_1,no_spp_island_2,no_spp_island_3,no_spp_island_4,no_spp_island_5,no_spp_island_6,no_spp_island_7,no_spp_island_8,no_spp_island_9,no_spp_island_10,no_spp_island_11,no_spp_island_12,no_spp_island_13,no_spp_island_14,no_spp_island_15,presence_absence_matrix_cols_isles_concatenated
5,1,70,16,14,7,10,5,6,4,3,4,5,3,6,4,4,5,4,10,13,10,10,13,14,10,13,19,21,26,30,39,50,47,55,paaaaaapaaaaaaaaapaaaapaaaaapaaapaapaaapaaaapaapaaaaaaaaaaaaaaaaaaaaaaappaaaapaaaaaaaaaapaaaapaaaappaaapaapaapaaaaapappaaaaaaaaaaaaaaaaaaaaaaapaaaaapaaaaaaaaapaaapaaaaapaaapaaaapaapaaaapapaaaaaaaaaaaaaaaaaaaaaapaaaaaapaaaaaaaaaapaaapaaaaapaaaapapaaapaaaaapapaaaaaaaaaaaaaaaaaaaaaapaapaaapaaaaaaaaapaaaapapaaaaapappapaaaaapaaapapaaaaaaaaaaaaaaaaaaaaaapppaaaapaaaaaaaaaapaaapaaaaapaaappaaapapaapaapapaaaaaaaaaaaaaaaaaaaaaapaaaaaapaaaaaaaaapaaaapaaaaapaaapaapaaaapaaaapapaaaaaaaaaaaaaaaaaaaaaaaapaaaapapaaaaaaapaaaaapaaaapapaapaapaapaaaaapppaaaaaaaaaaaaaaaaaaaaaapaaaaaapaaaaaaaaappaaapappaapaaappaaappappaaapapapaaapaaapaaaaaaaaaaaapapaaaapaaaaaaaaapppaapaaaaapaaappaapaapappappapaaaaapaaaapppaaaaaaaaapapaaaappapppaaaappaaappaapapaaappppaaapapppapappaaaapaaaaapaaaaaaaaaapapapaapapaaapaaappaaappaapppaaappapppapapppppapaapaapaaappapaaaaaaaaapapaaaappapapaaaappppappapaapapappapppapppppppppaapaapaaappppppaaappaapappppappaaapppaappaaappappapppappppppppppppppppaaapappaappppppppapppppapappapppaapppaappaapppappappaappapppappappppapaappppppapappppapapppppappppppppaaappppppaaappappappppppppppapppppppppappapppappppppppapppap
5,2,58,16,14,6,4,6,4,2,3,5,3,6,7,2,2,4,4,10,11,10,10,10,11,10,12,16,17,25,26,33,38,43,49,paaaaapaaapaaaaapaaapapaapaaaapaapaaaaapaaaaaaaaaaaaaaaaaapaaaaapaaaapaaaaapaapappapaaaaapapaaaaaapaaaaaaaaaaaaaaaaaapaaaapaaaapaaaaapaapaaappaaaaapaapaaaapaaaaaaaaaaaaaaaaaaaapaaapaaaapaaaaapaapaapapaaaapaaapaaaapaaaaaaaaaaaaaaaaaaaapaaapaaaapaaaaapaapaaapapaaaapapaaaaapaaaaaaaaaaaaaaaaaaapaaaapaaaapaaaaapaapapaaapaaaapappaaaapaaaaaaaaaaaaaaaaaapaaaaapaaaapaaaaapaapaaappaaaaapaapaaaapaaaaaaaaaaaaaaaaaappaaaapaaaapaaaaapaapaapppaaaaapaapaaaapaaaaaaaaaaaaaaaaaapapaaapaaaapaaaaapaapappppaaaaapaapaaaappaaaaapapaaaaaaaaapappaapaaaapaaaaapaapappppaaaaapaapaaaappaaaaapapaaaaaaaaapppaaappaaapaaaaappapapappppaappapppaaapppaaaapappaaaaaaaapppppapaaaapaaaapppapapappaapappappapaappapaaapppaaaaaaaaapppppapapaapaaaapppapaaapppappppapppaaapppapaapapapppappaapppppapapaapaaaapppapappppaapappppppapapppappapappappapppppppppapapapppppapppapappppppaappapppapppppaaaapapppppppppppppppppappapapppppppppppppppppppapppaappppapappapppppppppp
5,3,57,16,14,4,2,4,2,4,5,6,6,2,6,2,4,4,6,10,10,10,11,11,12,13,14,21,21,23,26,37,41,45,46,paaapapaaapapaaapaaaapaaaaapaaaaapapaaaaaaaaaaaaaaaaaaaaapaaapaapaapaapaapaaaaapaaaapaaaaapaapaaaaaaaaaaaaaaaaaaaapaaaapapaaappaaapaaaaapaaaapaaaaapaaapaaaaaaaaaaaaaaaaaaapaaapapaaapppaaapaaaapaaaaaapaaaapaaaapaaaaaaaaaaaaaaaaaaapaaapapaaapppaapaaaaapaaaaapaaaapaaaaapaaaaaaaaaaaaaaaaaapaapaapaaapppaappaaaaapaaapaaaaapaapaaaaaaaaaaaaaaaaaaaapaaapaapaapppaaapaaaaapaaaapapaaapaappaaaaaaaaaaaaaaaaaaapapapaapaappapaapapaapaaaaapaapaapaaapaaaaaaaaaaaaaaaaaaappaapappaapapppappaaapaaaaapaaaaappaapaaapppppaaaaaaaaaaappaapaapaapappappaapaapppaappaaaapaaapaaappapapaaaaaaaaaappaapaapaapappappapaapppapapaaapappaapaaappapapaaaaaaaaaapppappappappppapppaaappaaaapaaaappaapppaappapapaaaaaaaaaappaappppaappppppppapppppaaappapaappppppaappppaapppappaaaappaappppppppppppppaappppapappapaappppppaappppppppaapppaaappppppppaappppapppaappppapapppppappppppappppppppppappppaappaappppaappppppppapppppappppapppppppppaappappapppppppppp
5,4,57,16,14,1,4,3,2,6,5,2,6,4,6,5,2,7,4,10,10,10,11,10,10,11,13,17,17,18,24,27,36,38,44,ppaaapaapapaaaaapaaaapapaaaaapaaapaaaaaaaaaaaaaaaaaaaaaaappaaapaapapaaaaapaaaapapaaaaapaaapaaaaaaaaaaaaaaaaaaaaaaappaaapaapapaaaaaapaaapaapaaaapaaaapaaaaaaaaaaaaaaaaaaaaaappaaapaapapaaaaapapaapaaapaaapaaapaaaaaaaaaaaaaaaaaaaaaaappaaapaapapaaaaapaaaapaapaaaapaaapaaaaaaaaaaaaaaaaaaaaaaappaaapaapapaaaaapaaaapapaaaaapaaaapaaaaaaaaaaaaaaaaaaaaaapppaapaapapaaaaapaaaapapaaaaapaaapaaaaaaaaaaaaaaaaaaaaaaappapapaapapppaaapaaaapapaaaaapaaaaapaaaaaaaaaaaaaaaaaaaaappapapaapapaaaaapapaapppapaaapaaapaaaaappaaapaaaaaaaaaaaappapapaapapaaaaapappapapapaaapaaapapaaapaaaaapaaaaaaaaaaappapapaapappaaaapapaapapaaaaapaaappaaaapppaapaaaaaaaaaaaappapapaapapaapaapapaapappppaapaaappppaapappppaaaaaaaaaaaappapppaapappaaaapapaapapppapapaaapppaaappaaapapppaaaappaappapappapappppaapappppappppaapppapppaaapapaapapapppaappppppapapapppppppaapappapapppaappaappppaaapappppapappappppppppppapappappappppappapppppapappappppppppapappppappapppppp
5,5,53,16,14,3,3,3,8,4,3,4,2,6,4,3,5,3,2,10,11,11,10,10,11,12,13,19,17,19,20,30,31,45,43,paapaapaapaaaaaaapaaapaapaaapapaaaaapaaaaaaaaaaaaaaaapaaapapaaappaaaaaapaaapapaaaappaaaaapaaaaaaaaaaaaaaaapaapaapaaaappaaaaapaapaaapaaappaaaaapaaaaaaaaaaaaaaaapaaapapaaaapaaaaaapaaapapaaaappaaaaapaaaaaaaaaaaaaaaapaapaapaaaaaapaaapaaapaaaapapapaaaaapaaaaaaaaaaaaaaaapaapaapaapaaapaaaapaaapapaaaappaaaaaapaaaaaaaaaaaaaaapaappapaaappaaaaaapaapaapaaaappaaaaapaaaaaaaaaaaaaaaappapaapaapapaaaaaapaaapapaaaappaaaaappaaaaaaaaaaaaaaappappapaapppaaaaaaapapppppaaapapaaaapaaapaapaaaaaaaaapaappapaapaaaaaaaapaapaappaaappaaaaappaappappaaaaaaaapaappapaaappappaapppappapaaaappaaaaapaaapaapaaaaaaaaapaappapaappppaaaappaapaappaapppaaaaapaaappapaaaaaaaaapaappapaaapaapapappaapppppaappppaaaapppppaapappappppapaappapaapapppaapppapppapaapapppppaapaaappapppaappppappappappappppppppppaapppppppppppappppppppppppaapppppppppppppapppppppappppappappapppppapaapppppppppaapppppp
5,6,57,16,14,3,2,5,5,6,3,5,1,7,1,5,5,4,5,10,10,10,10,10,10,10,12,16,17,18,28,30,32,38,47,paapapaaaapaaaapaaaaapaapaaaappaaaaaapaaaaaaaaaaaaaaaaaaapaapapaaaaapaaaapaaaaapapaaaapapaaaaapaaaaaaaaaaaaaaaaaaapaapapaaaaapaaaapaaaapaapaaaapapaaaaapaaaaaaaaaaaaaaaaaaapaapaapaaaapaaaapaaaapaapaaaappaaaaaapaaaaaaaaaaaaaaaaaaapaapapaaaaapaaaapaaaaapapaaaappaaaaaapaaaaaaaaaaaaaaaaaaapaapapaaaaaapaaapaaaapaapaaaappaaaaaapaaaaaaaaaaaaaaaaaaapaapapaaaaaapaaapaaaapaapaaaapaapaaaapaaaaaaaaaaaaaaaaaaapaapapaaaaappaaapaaaaapappaaappaaaaaapaaaaaaaaaaaaaaaaaaapaapapaaaaappaaapaaaapaapaaaapppaaaaapppaaappaaaaaaaaaaaapaapappaaaaapaaapaaaappapaaaapppapaaapapaaapapaaaaaaaaaaapaapapppaaappaaapaaaappappaaapppaaaaapapaaapaaaaaaaaaaaaappapappapaappaaapppaappappppapppaaaaapppaaapppppaaaaaaaaapaapappaaapppaappppaapppppapapppaaaaapppaaapppaappaappaaappppappapaappaappapaappappapapppaaaaapppaaapppaapppapppaapaappppppaappaappppaappappapppppaappappppaapppappppapppaappapapppppapppppppapppppppapppppapapppppapppppaappppppppp
5,7,72,16,14,4,3,8,7,6,4,2,7,2,8,7,6,5,3,10,10,10,10,12,13,11,14,17,21,25,27,39,47,54,56,paaapaapaaaaaaapaaaaaapaaaaapaaapapaaaaaapapaaaaaaaaaaaaaaaaaaaaaaaaaaaapaaapaapaaaaaaapaaaaaaapaaaapaaapaapaaaaaapapaaaaaaaaaaaaaaaaaaaaaaaaaaapaaapaapaaaaaaapaaaaaapaaaaapaaapaaapaaaaappaaaaaaaaaaaaaaaaaaaaaaaaaaaapaaapaapaaaaaaapaaaaaaapaaaapaaapaaapaaaapaaapaaaaaaaaaaaaaaaaaaaaaaaaaapaaapaapaaaaaaaapaaaaapaaaaapaaapapaaaaaaappppaaaaaaaaaaaaaaaaaaaaaaaaaappaapaapaaaaaaaappaaaapaaaaapaaaapaappaaapapaaaaaaaaaaaaaaaaaaaaaaaaaaaapaaapaaappaaaaaaaapaaapaaaaapaaapaaaaapaapaapaaaaaaaaaaaaaaaaaaaaaaaaaaaapaappappaaaaaaapaapaapaaaaapaaapaapaaapapaaapaaaaaaaaaaaaaaaaaaaaaaaaaappaapaapaapaaaaapaaaaappaaaapaaapapaapaaaappapaaaaapaaaaaapaaaaaaaaaaaaapaaapaapaaaaaaapaaaaaappaaaappaapaaapaapappppapaaaapppaaaappaaaaaaaaaaaappaapaappaaaaaaappaapaapppaapaaapapaaaapapppaapaaaapaappaapppaaaaaaaaaaappaapappapaaaaappaapaapppaaappaapapapaapappppaapaaapaapaaapaapaaaaaaaaaapppapaapppapppapaaaaaappappapapapaapppapppppaaaapaappapppappapaapppaapaappppppappaaaaaappaapappppaaappaapapappappppppppppaappapppapppppapppaapppppaapppppapapappppappappappappappappppapppppppppaaapppppppppapaapppppppppppapppppppaaappppappappaappppappappppappppppppppppppppppappppapppppapaa
5,8,68,16,14,5,5,4,3,6,3,8,5,6,8,7,3,4,1,10,11,10,11,11,12,15,17,19,22,22,26,33,44,43,57,paaaapaaaapaaapaapaaaaapaapaaaaaaapaaaapaaaaapaaaaaaaaaaaaaaaaaaaaaaapaaapaaaapaaapaaapaaaapaaapaaaaaaapaaaappaaaapaaaaaaaaaaaaaaaaaaaaaapaaapaaaapaaapaapaaaaapaaapaaaaaaaapaaaaapaaapaaaaaaaaaaaaaaaaaaaaaapaaapaaaapaaapaapaaaaapaappaaaaaaaapaapaaaaaapaaaaaaaaaaaaaaaaaaaaaapaaapaaaaapaaapapaaaaapaaapaaaaaaapaaapaapaapaaaaaaaaaaaaaaaaaaaaaapaaaapaaaapaaapaaaapaaappappaaaaaaaapaaapaaaaapaaaaaaaaaaaaaaaaaaaaapaaaappaaaapaapaapaapaappaapaaaaaaapaaapppaaaapaaaaaaaaaaaaaaaaaaaaaappaapaaaapaaappapaaapappappaaaaaapaapapaaaaaappaaaaaaaaaaaaaaaaaaaapaaaapaaaapaaapaapaaaaappappaaaaaaappappaaapappaaaaaappaaaaapaaaaaaaapaaapaaaappaappapapaaapaappaaaaaaappaappaaaappapaaaappaaaaappaaaaaapaaaapaaaappaappapaaaapppappaaaaaaappaaapapaappapaaaaapaaaaappaaaaaappaaapaaaapaaappapaapapppapppaaaaaaapaapappaappaapaaapppaaaappaaaaaapppaapppaappaapaapaaapapppppaaaaaaappaappappappaaapaappaaaaappapppappppaappaaappaapppppppppppapppaaaaaappaappppppppappaaappppaaapppapppppppaapappapppappapapaapppappapaaaappppapppppappappappppaapaappapppapppppppapapppapppppaapppppapppappppppppappppppppapppappppppppppappppp
5,9,67,16,14,6,8,3,7,5,5,4,4,3,8,2,6,2,4,10,10,10,11,11,10,11,16,17,24,27,27,34,45,46,50,paaaaapaaaaaaapaapaaaaaapaaaapaaaapaaapaaapaapaaaaaaaaaaaaaaaaaaaaapaaaaapaaaaaaapaaapaaaaapaaaapaaaaapaaapaapaapaaaaaaaaaaaaaaaaaaaaaapaaaapaaaaaaaapapaaaaaapaaaapaaaapaaapaaapaaapaaaaaaaaaaaaaaaaaaaaaapaaappaaaaaapaaaapaaaapaaaapaaaapaaapaaapaaaapaaaaaaaaaaaaaaaaaaapaaaaapaaaaaaapaaaapaaaapaaaapaaaapaaapaaapaapaapaaaaaaaaaaaaaaaaaapaaaaaapaaaaaapaaaaapaaaapaaapaaaaapaaapaapaapaaaaaaaaaaaaaaaaaaaaapaaaaaapaaaaaaaapaapaaaapaaaaapaaapaaapapapaaaaaapaaaaaaaaaaaaaaaaapaapaappaaaaaapappaaaaaapaaaapaaaappaappaapaapaaaapaaaaaaaaaaaaaaaapaaaaapaaaaaaapappapaaaapapaapaaaapaaappaapaapaaaaaaapappaaaaaaaaaapapapaappaaaaapaapapaaaapappappaaappaaapaappapaapaaaapapppaaaaaaaaapaaaapppappaaapaapappaaapppaappaaappaapaaapaappappaaapappapaaaaaaaappaappppaaaaaapappapaaaapapaappaaappaappaapaapaapppaapappapaaaaaaaapapaapppaaaaaapappappaaapapaappaaappaappaapappaappaaapappappppppppapppappppaaappapappapapaapapaapppaappaapppapapppppppppppppppapppppaappaapappppaaapppppappapapppaappppapppappappappppppaaappppapapppppappapappppppaaaappppappaappapapppppppppppppapappppppaapppppppappppppa
5,10,57,16,14,4,8,2,5,3,3,6,4,2,5,4,2,4,5,10,10,12,12,12,10,12,15,16,20,27,29,35,39,48,50,paaapaaaaaaapapaaaapaapaapaaaaapaaapapaaaaaaaaaaaaaaaaaaaapaaapaaaaaapaapaaapaaapaapaaaapaaapaapaaaaaaaaaaaaaaaaaappaaaapaaaaapapaaaappaaapaapaaapaaapapaaaaaaaaaaaaaaaaaaapaaaaaapaaaapappaaapaapaaappaaapaaapapaaaaaaaaaaaaaaaaaaapaaapaaaaaaapapaaaapaaaapaappaapaaapappaaaaaaaaaaaaaaaaaapaaaaaapaaaaappaaaapaaaapapaaaapaaapapaaaaaaaaaaaaaaaaaaapaaaapaaaaaapappaaapaapapaapaaapaaapapaaaaaaaaaaaaaaaaaaapaaapapaaaaapappaaapaapapappaaapaaapapapaaaaaaaaaaaaaaaaapapaaaaapaaaapppaaapaaaapaappaapaaapppaaaapaaapaaaaaaaaaapaaapaaapaaapapapaapaaaappppaaapaaappppapappaapaaaaaaaaaapapapaappaaapppppaapaapppapppaappaapppapapppaapaaaaaaaaaapaaappaapaaappppapappappppappaapppppppppaapapapaaaaaaaaaapaaappaaapaapppppaapaapapppppaappappppppapppappappaappppapapapppppapapppppppppapppappppppaaapppppaapaaapappaaapppppppapppapapapppppapppppppppppapppppppppppapaapppppppppppppppppppappapppppppppaapppppppppppppppppppppapppapppappppp
