archipelago_ID,sample_ID,S,H,K,no_spp_niche_0,no_spp_niche_1,no_spp_niche_2,no_spp_niche_3,no_spp_niche_4,no_spp_niche_5,no_spp_niche_6,no_spp_niche_7,no_spp_niche_8,no_spp_niche_9,no_spp_niche_10,no_spp_niche_11,no_spp_niche_12,no_spp_niche_13,no_spp_niche_14,no_spp_niche_15,no_spp_island_0,no_spp_island_1,no_spp_island_2,no_spp_island_3,no_spp_island_4,no_spp_island_5,no_spp_island_6,no_spp_island_7,no_spp_island_8,no_spp_island_9,no_spp_island_10,no_spp_island_11,no_spp_island_12,no_spp_island_13,no_spp_island_14,no_spp_island_15,presence_absence_matrix_cols_isles_concatenated
6,1,57,16,16,4,2,2,4,6,4,3,3,4,2,3,6,3,4,4,3,10,10,10,10,10,13,10,11,25,24,28,28,32,45,40,45,paaapapapaaapaaaaapaaapaapaapaaapaaaaaaaaaaaaaaaaaaaaaaaapaaapapaapaapaaaaaapaapaapaaapaapaaaaaaaaaaaaaaaaaaaaaaaaapaapapapaaapaaaaapaaapaapaaaapapaaaaaaaaaaaaaaaaaaaaaaaaaapapapaapaaapaaaaaapaapapaaaapaapaaaaaaaaaaaaaaaaaaaaaaapaaapapapaaapaaaaaapaapaapaaaapapaaaaaaaaaaaaaaaaaaaaaaaaaapapapappaaaappaaapaapaapaaaapppaaaaaaaaaaaaaaaaaaaaaaaapaaaappapaaaaapaaapaaapaapaapaaapaaaaaaaaaaaaaaaaaaaaaaaapaaapapapaaapapaaaapaapaapaapaaapaaaaaaaaaaaaaaaaaaaaaaaapaaapapappaapaaapappaappapaapppapppaappaaaapaappaapaaapaapaaapapaapaappaaaapaappapppaaapappppapaaaaappaapaapaaappapppapapappaapapaaapppappapaapapppppaappaaaapapaapapaaapaapaaapppappaapppaapppaappapaapppapppaapapaaapapapaapaaapaappaapppappaapapaaapppappapappppapppappaapaapapappapaaappapppppppappppppppapppppppappapapppppppppaapapppapppppaappapppappppppppppppaapppappapaaappappppppaaaappppappppapappapppppppappaapppapppppappappappppppppapaappapppapppppppppp
6,2,62,16,16,3,4,2,7,4,2,5,6,2,4,4,3,3,3,5,5,10,10,10,10,12,10,14,14,22,23,30,33,38,38,47,48,paapaaapapaaaaaapaaapapaaaapaaaaapapaaaaaaaaaaaaaaaaaaaaaaaaaapaapaaapaapaaaaaapaapapaaaapaaaaapaapaaaaaaaaaaaaaaaaaaaaaaaaapaapaaaapaapaaaaapaapaapaaaapaaaapaaapaaaaaaaaaaaaaaaaaaaaaaaapaaapaapapaaaaaaapaapaaapaaaapaaapaaaapaaaaaaaaaaaaaaaaaaaaaaapaaapaaapapaaaaaapaapapapaaaaapaapapaapaaaaaaaaaaaaaaaaaaaaaaapaaapaapaapaaaaaapaapapaaaaaaapaapapaaaaaaaaaaaaaaaaaaaaaaaaaappapaaapappaaaaapaaapaaapaaaaappapappaaaaaaaaaaaaaaaaaaaaaaaaappaapaapapaaaaaapppapaaapaaaaapaapappaaaaaaaaaaaaaaaaaaaaaaaaapaapaaapappaaaaappaapapapaaaaapaapapapapaaapaapaappapaaaappaaapaappaapaapaaaaaapaapaaapaaapaaaapappaappaappapaappappaaappaaappappaapappaaaaapppapppapaapaapaapappaappaapaapaappppapaappaaappappaapppppaaaappaapapapaaapapaappppappaaappappapppppaaappaaapppppaapppppaaaappaapapppaappppaapappppppaappppaapppppaaappaaappappaappppapaaapppppapapppppapaapappaappaappapaappppaapappppappappppppppappaappaapapppaappppappapppppppappppppppppaapppppapppappaappppapapppppapappppapppppapapppppppppppppppppppapapppaa
6,3,54,16,16,1,5,5,5,3,2,1,6,4,4,3,3,6,2,1,3,10,10,10,11,11,12,14,14,20,19,22,24,35,34,41,48,ppaaaapaaaapaaaapaapappaaaaapaaapaaaaaaaaaaaaaaaaaaaaappaaaaapaaaapaaaapaappapaaaaapaapaaaaaaaaaaaaaaaaaaaaapapaaapaaaaapaaapaapapaapaaapaaaapaaaaaaaaaaaaaaaaaaaapapaaapaaaaappaapaaappapaaaaaapapaaaaaaaaaaaaaaaaaaaaappaaaappaaaapaaapaapapaapaaaapaapaaaaaaaaaaaaaaaaaaaaapaapaapaaaaapaaappaappapapaaapaapaaaaaaaaaaaaaaaaaaaaapppaaapaaaappaaapaaappaaaapaappappaaaaaaaaaaaaaaaaaaaapapapapaaaaappaapaapppapaaaappaapaaaaaaaaaaaaaaaaaaaaappaaaapaaaaapaaapaaappapaapaapaapaaappapaappaaaapapppappapaapaaaaapaaapaapppapaaaaapaapaaaapapaapaaaaapapapppapaaapapaaaaapapaaappapaapappaapaaaapapaaappaaapppppapppaaapaaaaappaappaappappaaaapaapaaappapaappaaaapppppapppapppappapppaappapppappapaappppppappappappaaaapapppapppppapaaaapppppppapppappapappappppappapaappapaapappaapppappppaaappppapppppppppppappppppppppapaapppapapapppapppppppaappppppppppppppppappppppppppppppappppaappppppp
6,4,67,16,16,3,5,3,3,5,5,5,6,2,4,7,5,3,4,3,4,10,10,11,11,11,10,12,15,24,24,23,39,40,45,48,57,paapaaaapaapaapaaaapaaaapaaaapaaaaapapaaaaaaaaaaaaaaaaaaaaaaaaaaaaapaapaaaapaaapaapaaaapaaaapaaapaaaaapapaaaaaaaaaaaaaaaaaaaaaaaaaaaaapaaapaaaapaapaapaaapaaaaaapaapaaaaaapppaaaaaaaaaaaaaaaaaaaaaaaaaaaapaapaaaaappapaaapaapaaaapaaaapaaaaapaaapaaaaaaaaaaaaaaaaaaaaaaaaaaapaapaaaaapaapaapapapaaaaapaaapaaaaapaaapaaaaaaaaaaaaaaaaaaaaaaaaaaapaapaaaaapaaapaaapapaaaapaaaapaaaaapaaapaaaaaaaaaaaaaaaaaaaaaaaaaaapaaaapaaaapppaapaaapaaaaaapaaappaaapaaapaaaaaaaaaaaaaaaaaaaaaaaaaaapaapaaaaappppaappaapaaaappaaaaaapaapapapaaaaaaaaaaaaaaaaaaaaaaaaaaapaapaaaappapppaaapapaaaappaaapaappapapaaapaaaaaappaaapaapaaappapaaapaapaaaapaapppapapapaaaaappaapaaaaapapapappaaaaaapaaapaapppaapapaaapaapaaaappapapppapapaaaapaaaapaaaaapapapapaaaaaaappaapaaaapaapppaaapaapapaappppapapapapppaappapapaappapapppapappppaappaappapaappppppaappppapaappppppapapappaaappppappaapapapapappaaapappppapappaapppppaaapappapaappppppapppappapappaapppappapapppappapppappaappaapppppppppaapappapaappppppapapappppappppappapaapapppappapappppppppaappppppppppapappppppppppppapppppppappppaappapapppppppppppppapppappapppppppppppp
6,5,65,16,16,1,5,1,5,5,5,5,3,2,7,4,4,3,3,4,8,10,10,10,10,11,10,14,12,19,29,27,35,40,42,48,46,ppaaaappaaaapaaaapaaaapaaaapaapapaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaappaaaapapaaapaaaapaaaapaaaaapapapaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaappaaaappaaaapaaaapaaaapaaaaapapaapaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapapaaapapaaapaaaapaaaapaaaaapapapaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapaapaapaapaappaaapaaaapaaaaapapapaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaappaaaappaaaapaaaapaaaapaaaaapapaapaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapppaaappapaapapaapaaaapaaaaapapappaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapppaaappaapapaaaapaaaapaaaaapapapaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaappapaappaaaapapaapaaaapaaaaapapapaaaaaappaapaaapaapaapaaapaaaaaaapppaaapppaaappaaapaaaapaaaaapapaappaaaaappappaapppppappaappppaaaappaapappaaappapaapaaaapaaaaapapapaaaaaaapaapppppppappppaapaapaaaapppapapppapppappappaaappaaaapapapapppaappaappaappaappppaappaapaaapppppapppappppppppaaaapppaaapapapapaaaappaapaapppppppppaapappppaapppaaapppaapppppppapaapapaaapapapppaapappaappappppppppppapppppapapppppppppappppppapaapappapappapppppaaapppaappapppppppppapppappppapppppapppaapppppapaappppaapppppapppaaaappapppapppppppppaapppppaap
6,6,72,16,16,5,7,4,3,5,4,4,4,2,5,8,8,2,4,4,3,10,10,10,11,10,10,11,14,20,25,30,33,35,46,50,49,paaaapaaaaaapaaapaapaaaapaaapaaapaaapapaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapaaapaaaaaapaaapaapaaaapaaapaaaapaapaapaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapaaaapaaaaapaaapaapaaaapaaapaaaapaapapaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapaaaapaaaaaaapaapaappaaapaaaapaaapaapapaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapaaaaapaaaaapaaapaaaapaapaaaapaaapaapapaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapaaaaapaaaaaapaapaaapaaapaaapaaaapaapapaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapapaaaapaaaaapaapaaapaaapaaaapaaapaapaapaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapapapapaaaaapaaapapaaaappaappaaapaapapaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapaaappaaaaapaaapaapaaaapaaapaaaapaapappaaapaaaaaaappaaaaaapapaaappaapaappaaapaaaaaappaapaappaaapaaapppaaapapappaaaapaaaaaaaapppaaapapaaapapapaappaaapppaaaappaappaapaaapaaappapappapapppaaapppaaaaapaaaaaapappaappaapaappaapppapaaappaapaappapapaaappppapaapppaaaappaaaaaaapaapaaappppaappaappappaaappaaaaappaappappaaapaaappappppapappaaappppppaappaappaapapaaappaapaappaappaaaaaapppappapppaapapappppapappappppapppapappappapppapppppapppppaappaapppaappappppppppppappaaappppappapappppapppapaaapppappappapppppppapapppapppppaaappppappappaaapaapppaapppapappppppppppaaaappapppapppppapppppap
6,7,56,16,16,4,5,2,4,4,1,5,7,1,3,3,2,4,4,4,3,10,10,10,10,11,11,13,12,21,25,24,33,38,40,40,45,paaapaaaapapaaapaaappaaaapaaaaaappaaaaaaaaaaaaaaaaaaaaaaapaaapaaapapaaaapaappaaaaapaaaaapapaaaaaaaaaaaaaaaaaaaaaapaaaapaapapaaaapaappaaaaaapaaaappaaaaaaaaaaaaaaaaaaaaaaapaapaaaapapaaaaapappaaaapaaaaaapapaaaaaaaaaaaaaaaaaaaaaaapapaapapapaaaapaappaaaaapaaaaapapaaaaaaaaaaaaaaaaaaaaaapaaapaaapapaaaapaapapaaapaapaaapapaaaaaaaaaaaaaaaaaaaaaappappaaapapaaaapaappaaaappaaaaapapaaaaaaaaaaaaaaaaaaaaaappaapaaapapaaaapaappaaaapaaapaapapaaaaaaaaaaaaaaaaaaaaaapaaaapappappaaapaappppaaaaaapaappaapaapapaaapaaapaaappaappaapapapapaaappaappaaaaaaapppapapapaappapaappaappaapapappapaaaaappaaappaappaaaapaaappapapapaapapappppaapaaapapappapppaapappaapppapppaaapppappapppppaapapaapppaapapappapppappaappapppappaapppapapppapaappppppapappppppaappaapppappapppappappaapppppppaappapppappppppaapappppppaapppappppppappppppapaappppapppaaappappappppappapappappppapppapppppppppppppapaaapppapppaaapppppaappppppppappppppppppppppp
6,8,70,16,16,3,6,3,5,1,4,9,4,6,4,3,3,4,5,3,7,10,11,10,10,11,15,14,11,20,27,35,35,42,39,49,55,paapaaaaapaapaaaappaaapaaaaaaaapaaapaaaaapaaaaaaaaaaaaaaaaaaaaaaaaaaaapaappaaaapaaapaaappaaaapaaaaaaapaaaapaaaaapaaaaaaaaaaaaaaaaaaaaaaaaaaaapapaaaaapaapaaaapapaapaaaaaaaapaaapaaaaapaaaaaaaaaaaaaaaaaaaaaaaaaaaaaappaaaaapaaapaaappaaaaapaaaaaapaaapaaaaaaapaaaaaaaaaaaaaaaaaaaaaaaaaapaapapaaapaaaapaappaaaaapaaaaaapaaapaaaaaapaaaaaaaaaaaaaaaaaaaaaaaaaaaapappaaaappaappaapapaaappaaaaaappaapaaaaapaaaaaaaaaaaaaaaaaaaaaaaaaaaappappaaaapaaapaaappaaaapapaaaaapaaapaaaaappaaaaaaaaaaaaaaaaaaaaaaaaaaapaaaaapaapaaapaaappaaaapaaaaaaapaaapaaaaapaapaaaaaaaaaaaaaaaaaaaaaaaaappapaaaaapaaapaaappaaaapaaaaaaapapapaaaaaaapapaappapaaapaaaapaappaaaaapapaappaapaaapaaapppaappapaaaaappaapaaaaappaappappapaaappaaapaaappaaaappapapppapaaappaappppappppaaaaappappapaaapppappapaapaaapapaapaaapappaappappppappapappaapppaapaapaaaaapaaapaapaapapappappappaapappappapppaaaappapappaapaapppaapppaapppppaaaappaappaapapppppppppapppapapaapaapppppaappapapppapaaappaapppaappppaaaaappappaaaapppppppappppaaapppaapaappappaappapapapapappppaapppapppppapaaappppppaapappppppappappaapappppppppppppappppppppppapppppppppaappppaapppppapppaapapppppppppappappappppaapppppap
6,9,63,16,16,3,7,4,2,7,3,2,4,4,2,4,4,5,4,3,5,10,11,10,10,12,10,12,14,21,27,24,35,38,39,53,53,paapaaaaaapaaapapaaaaaapaapapaaapaaapaaaaaaaaaaaaaaaaaaaaaaaaaaapapaaaaaapaaapaapaaaaapaapappaaapaaapaaaaaaaaaaaaaaaaaaaaaaaaapaapaaaaaaapaapapaaaaaapaapapaaaapaapaaaaaaaaaaaaaaaaaaaaaaaaaapaaapaaaaapaaapaaapaaaaapaapapaaapaapaaaaaaaaaaaaaaaaaaaaaaaaaaapaaapaaaapaaapapaaaaaapappapaaapaaappaaaaaaaaaaaaaaaaaaaaaaaaaapaapaaaaapaaapaaaapaaapaapapaaaapaapaaaaaaaaaaaaaaaaaaaaaaaaaaapapaaaaaapaaapapaaapaapaapappaaapaaapaaaaaaaaaaaaaaaaaaaaaaaaaapapppaaaapaaapapaaaapaaappppaaaapaapaaaaaaaaaaaaaaaaaaaaaaaaaaapapaaaaaapaaapappaaaaapappapaaaappapapaaappaappaaapaaapaapaaaaapaapapaaapaaapaaaapaaapappapaaaappappppaapppappaaappaaapapppaaapapaaaaaapppapapaaapaaaapapppaaapaapappaappaapaaaapppaapapaaaaapapapaaaappapppppappaapappapaaappaapppppapppapppaappaaappaappaapppppaaaapaaapappappaapappppaaapppapppppppppappppappaaapapppaappapppaaaappaapapaappaapappappaapppappappppppppppaappaaapapppppppppppappappaapappapppppappppppapppppppppppppapppppppppappppppppppppppaapppppppppapppappppppppppppapppppppppappppappaaappppppp
6,10,58,16,16,2,5,7,2,5,3,2,2,3,5,3,2,5,3,5,4,11,10,10,10,12,13,10,12,18,26,30,34,35,41,45,46,papaaaapaaaaaapapaaaapaapapapaappaaaaaaaaaaaaaaaaaaaaaaaaapaapaaaapaaaaapaapaaapaapapapaaapaaaaaaaaaaaaaaaaaaaaaaaaapaapaaaaapaaaaappaaaapaapapaapaaapaaaaaaaaaaaaaaaaaaaaaaaapaaapaapaaaaaapapaaaapaapapaaappaaaaaaaaaaaaaaaaaaaaaaaaaapaapaaaaaapaaaapapaaappapapappaaapaaaaaaaaaaaaaaaaaaaaaaaapapaaaaaaaapaappapaaappapppaaapapaaaaaaaaaaaaaaaaaaaaaaaaapaapaaaaaapaaapapaaaapaapapapaaapaaaaaaaaaaaaaaaaaaaaaaaaapaaapaaaaaapaapppaaaapaapapapaappaaaaaaaaaaaaaaaaaaaaaaaaappapaaaaaaapaapaaapaapaapapapaaapaaapaapapaaaapaapaaaappaapapapaapaaapaappppaaapaapapapaappapappapappaaappappaaapaaapaaappapaappaapapaapappapppapapppapappapapaaaappapppaappaapaappaapaapaaapppppaappapppappapppaappppppapaappappaaapppapaappaappappaapppppaappapppappapppaappapappapappappaaapppapppppaappapppappppapappapppapppppapapaapppppapppappapapppapppppapppappaappppapapppppppppappppappppappaapppppppappppapapppaappappappppppppppppapappapppppppppappaapppppppappppp
