archipelago_ID,sample_ID,S,H,K,no_spp_niche_0,no_spp_niche_1,no_spp_niche_2,no_spp_niche_3,no_spp_niche_4,no_spp_niche_5,no_spp_niche_6,no_spp_niche_7,no_spp_niche_8,no_spp_niche_9,no_spp_niche_10,no_spp_niche_11,no_spp_niche_12,no_spp_niche_13,no_spp_niche_14,no_spp_niche_15,no_spp_niche_16,no_spp_niche_17,no_spp_island_0,no_spp_island_1,no_spp_island_2,no_spp_island_3,no_spp_island_4,no_spp_island_5,no_spp_island_6,no_spp_island_7,no_spp_island_8,no_spp_island_9,no_spp_island_10,no_spp_island_11,no_spp_island_12,no_spp_island_13,no_spp_island_14,no_spp_island_15,presence_absence_matrix_cols_isles_concatenated
9,1,54,16,18,2,3,4,3,5,3,3,4,2,3,2,3,4,3,2,1,2,5,10,10,10,10,10,13,14,11,15,18,20,18,35,41,42,46,papaapaaapaapaaaapaapaapaaapapaaaaaaaaaaaaaaaaaaaaaaaaappaaapaaapapaaaaapapaapaaapapaaaaaaaaaaaaaaaaaaaaaaaapapaaapaaapapaaaaaappaaapaapaapaaaaaaaaaaaaaaaaaaaaaaapapaaapaaapaapaaaaappaapaaapapaaaaaaaaaaaaaaaaaaaaaaaapapaaapaaapapaaaaapaapapaaapaapaaaaaaaaaaaaaaaaaaaaaaappapaapaaapappaaaapapappaaapapaaaaaaaaaaaaaaaaaaaaaaaapapaaaapaapapapaaapapappapappapaaaaaaaaaaaaaaaaaaaaaaapppaaapaaapapaaaaaapaappaaapaapaaaaaaaaaaaaaaaaaaaaaaaappaappaaapapapaappapaapaappappaaaaaaaaaaaaaaaaaaaaaaapappapppaapapapaappppappaaapappaaaaaaaaaaaaaaaaaaaaaaappppapppaapapapaapppppppaaapappaaaaaaaaaaaaaaaaaaaaaaappppapppaapapapaappppaapaaappapaaaaaaaaaaaaaaaaaaaaaaappppapppappapapaappapappaappappapapppppaappapppppppaaappppapppppppppppappppappaaapapppppppappaappappppppppaappppapppaapppppaappppppppappappappppappaappppppppppppappppppppaapppppppppppppppaapappappppappppppapppppppppp
9,2,73,16,18,7,4,5,3,3,6,3,3,5,3,4,5,5,3,3,3,3,5,10,11,10,10,11,11,13,14,18,20,23,26,38,55,53,62,paaaaaapaaapaaaapaapaapaaaaapaapaapaaaapaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapaaaaapaaaapaaaapapaapaaaaaapapaaapaaappaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapaaaapaaaaapaaapapaaapaaaapaaapaaapaapaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapaaaaapaaapaaaaappaapaaaaapaapaaapaaapaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapaaaaaapapaaaapaaappaapaaaaaapapaaapaaaapaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapaaaaapaapaaapaapaaaapaaapaappaapaaaapaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapppaaaapaapaaaaappaaappaaaapapaaapaaapaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapaapaaapaaaapaaapaapaaaaapaappapaapppaapaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapppaaapaaaapapappapaappppaaapapaaappaapaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapapaaapaaaapapapapppappapaappapaapppaappaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapapppaapapaapapappppaappaapappapaaappaapppaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapappppapapappppapappaappaaapppapappppaappaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaappapapapappppppaappappaaaappapaappppappapaaapaaaappaaappapaappppaapppaapappppapapappppappppaappppapppappapppaappppppappppappppppppppppppppappaaappppppapapappapappppapppppaapppppapppapppppaaappapappppapaapappppppappppppappppppappppppappppapppppppppapappppapppapappppappppppppappppppppppppppp
9,3,59,16,18,6,3,2,3,2,2,1,4,5,4,4,3,2,2,5,3,4,4,10,10,11,10,11,13,14,17,18,17,23,21,36,40,44,48,paaaaapaapapaapapappaaapaaaapaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapaaaaaapapaapapapappaaapaaaaapaaaaaaaaaaaaaaaaaaaaaaaaaaaaaappaaapaaappaaappappaaaapaaaapaaaaaaaaaaaaaaaaaaaaaaaaaaaaapaaaaapaaapapapaapppaaaapaaapaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapaaaapappaapapaapppaaapaaaapaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapaaapaappapapapappaaaaapaapppaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapaapapapppapapappaaappapapaaaaaaaaaaaaaaaaaaaaaaaaaaaaaappaaaappapppapppppppaaaaappapaaaaaaaaaaaaaaaaaaaaaaaaaaaaaappaapappapppaapapppapaappapappaaaaaaaaaaaaaaaaaaaaaaaaaaaaapaaapappapappappppppaaapaaapppaaaaaaaaaaaaaaaaaaaaaaaaaaaaapppaaappappppappppppppappapappapaaaaaaaaaaaaaaaaaaaaaaaaaaapapapappaapppapapppppappppaappapaaaaaaaaaaaaaaaaaaaaaaaaaaapppapappappppppapppppaappaaappappaaappapappppaaappappaappaapppapaapappppppapppppaapppaappappppapappppppappapappaaapppapppaapppappppppppppppaapppppppapppapppapapppappappapaaapppppppapapppppppppppppppappppapppappaapppppappppppppappapppapp
9,4,67,16,18,4,3,4,2,7,5,3,5,3,4,2,4,4,3,1,2,4,7,10,11,10,10,10,10,11,13,15,14,17,22,34,41,49,54,paaapaapaaapapaaaaaapaaaapaapaaaapaapaaaaaaaaaaaaaaaaaaaaaaaaaaaaaappaapaaapaapaapaaaaaapaaapaaapaaaapaapaaaaaaaaaaaaaaaaaaaaaaaaaaaaapaaapaapaaapaapaaaaaaapaapaaaapaaapaapaaaaaaaaaaaaaaaaaaaaaaaaaaaaapaaapaapaaapapaaaaaaaaapapaaaapaaapaapaaaaaaaaaaaaaaaaaaaaaaaaaaaaapaaapaapaaapapaaaaaapaaaapaaaapaaapaapaaaaaaaaaaaaaaaaaaaaaaaaaaaaapaaapaapaaapaapaaaaapaaaapaaapaaaapaapaaaaaaaaaaaaaaaaaaaaaaaaaaaaapapapaapaaapaapaaaaapaaaaapaaapaaapaapaaaaaaaaaaaaaaaaaaaaaaaaaaaaapaaappapaaapaaapaaaapapaapaaappaaapapaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapaaapaapaaapapppaaaapaapapaaappaaapappaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapappappaapaaapaaaapaaaapaaaapaappappaaaaaaaaaaaaaaaaaaaaaaaaaaaaapapapapppaapapppaaaapapaapaaaappaapaapaaaaaaaaaaaaaaaaaaaaaaaaaaaaapapapappppapappaaaaapaapappaappaappppppaaaaaaaaaaaaaaaaaaaaaaaaaaaapapapaappaapapppaaaapapaappaaappaapaapaapppppapaaappappapppappppaaappaapaappaappppppaaapaapappaaapapapapppppapppapppapppppapppaapapppapapappppppapappppaaapappapppapppappappappppppappppppappappppppppapapappppppppppappppppppapppppaapppapppppaappppapppaapppppppppapppppap
9,5,52,16,18,3,1,2,4,3,3,2,2,5,3,2,4,2,2,4,5,1,4,10,10,10,10,11,11,13,14,16,18,20,22,42,41,43,48,paappapaaapaapaapapapaaaapaaaaaaaaaaaaaaaaaaaaaaaaaapaappaapaaapaapapaapapaaaapaaaaaaaaaaaaaaaaaaaaaaaaapaappapaaapaaaapapapaapaaapaaaaaaaaaaaaaaaaaaaaaaaaaapappaapaaapaaappaappaaaapaaaaaaaaaaaaaaaaaaaaaaaaaaapappaaapaapaapappapapaaaapaaaaaaaaaaaaaaaaaaaaaaaaapaappappaapaapaaappapaaaaapaaaaaaaaaaaaaaaaaaaaaaaaapaappaaapappapappppaaapaaapaaaaaaaaaaaaaaaaaaaaaaaaaaapppappaapaapppppapaapaaapaaaaaaaaaaaaaaaaaaaaaaaaappappapppapaapapppapaapaappaaaaaaaaaaaaaaaaaaaaaaaaappappapapappaapppappapppappaaaaaaaaaaaaaaaaaaaaaaaaapapppappaappppppppppappaappaaaaaaaaaaaaaaaaaaaaaaaaappappappaappppppppppppppappaaaaaaaaaaaaaaaaaaaaaaaaappappapppappapppppppppppappapppppppppppppapppaappppappappapppappapppppppppppppppppppaaappppppppppaappapapppppappapppapppppppppppapppppppapappppppapppppppapapppppppppappppppppppppppppppppppappppppppapppppppapp
9,6,59,16,18,1,2,3,1,5,4,5,2,3,2,5,5,6,3,3,3,2,4,10,10,10,10,10,10,12,14,14,18,17,22,37,39,39,52,ppapaappaaaapaaapaaaapapaapaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaappaapapapaaaapaaapaaapaapapaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaappaapappaaaaaapaapaaaapapapaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaappaapappaaaaapaaaapaaappaapaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaappaapappaaaaaapaaaapaapapapaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaappapaappaaaaapaaapaaaapapapaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaappaapappaaaaapaapppaaapapapaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaappapaappapaaaappapaaapppappaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaappaappppaaaappaapaaaappppapaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaappappapppaaaappappppappppapaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapppppappaaaaapppapapappppapaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaappappapppapappppppppappppappaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaappappapppaaapppapppaappppapapppaappaaapppaaapppppappappppaappappappaapapppappppappppppapaaaapappapppppapaappappppapppappappppppaaapppppppapppppppappppapaaaapppaaapaappappppappaappppppppappppppppppppppppppappppppapapppppppppapppppappppap
9,7,69,16,18,5,5,2,3,7,2,5,4,5,5,3,1,3,4,2,3,5,5,10,10,10,10,11,12,12,14,17,16,21,27,38,53,55,56,paaaapaaaapapaapaaaaaapapaaaapaaapaaaapaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapaaaaapaaapapaapaaaaaapapaaaapaaaapaaaapaaaaaaaaaaaaaaaaaaaaaaaaaaaaapaaaaapaaapapaapaaaaaaapapaaaapaaapaaaaapaaaaaaaaaaaaaaaaaaaaaaaaaaaaapaaapaaaapapaapaaaaaapaapaaapaaaaapaaaapaaaaaaaaaaaaaaaaaaaaaaaaaaaapaaaaapaaapapaapaaaaaapapaaaapaaaaappaaapaaaaaaaaaaaaaaaaaaaaaaaaaaaapaaaaappaapapaaapaaaaapaaapaapaaaapaaaaappaaaaaaaaaaaaaaaaaaaaaaaaaaapapaaaapaapapaaaapaaaapaaaapapaaappaaaaaapaaaaaaaaaaaaaaaaaaaaaaaaaaapaaaaappaapapaapaaaaaappaaaappaaapapaaappaaaaaaaaaaaaaaaaaaaaaaaaaaaappaaaapaaapappapaaaaaapaaapapaappppaaaapppaaaaaaaaaaaaaaaaaaaaaaaaaaaapaaaapaaapapaapaaaaaappaappppapaappaaaappaaaaaaaaaaaaaaaaaaaaaaaaaaaappaaapppapappapaaaaaappppaappapaappaapppaaaaaaaaaaaaaaaaaaaaaaaaaaaapppaapppaapapappaaaaaappppppppapapppapppppaaaaaaaaaaaaaaaaaaaaaaaaaaapppaapppaapppaappaaaaappappappapapppaaaappappppppapppppappapaaaapaaaappaaapppaapappppappppappppppppapppppaapppppppppppapppappppppppaappppappppaapppppppapppaapapppppppppapappppapppppppppppppppppappppaapappppapppapppppppappppppapapppppppppapappppappppappppppppppppappapaappppapp
9,8,61,16,18,3,3,4,2,3,2,3,3,4,4,1,5,3,2,5,3,5,6,10,10,10,11,10,12,12,12,14,15,16,22,39,39,47,50,paapaapaaapapaapapaapaapaaapaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapaaapapaaapapaapapaaapaapaapaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapaaapaapaapapaapaapapaaapaaapaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapaappapaaapapaapapaapaapaaapaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapaapaapaaapapaapapaaaapapaapaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapaapaappaapapaapappaapaapaapaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapaapaappaapapaapaaappaappaapaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapaappaaapapapaapapaaapaapaapapaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapaappappaapapaapappppaaapaapaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapaapaappaapapaapppapppappaapaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapaappappaapappapapapppaapaapapaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaappappappapppppppapappppppaapaapaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapaapppppaapappppapapppaapaapapapppppappapapppppppappaaappppaapapppapppapappppppappppapaapapapppappapppappppappapppaaapaaaapaappppppapappppppppppapppapapapppppappapappppppppppppappappappappapppapappppappppppppappapapppapappppppppppppappppppppppp
9,9,60,16,18,5,3,6,5,5,2,2,3,5,5,3,3,3,3,2,2,1,2,10,10,10,10,10,12,13,13,15,14,17,20,35,40,46,50,paaaapaapaaaaapaaaapaaaapapapaapaaaapaaaaaaaaaaaaaaaaaaaaaaaapaaaapapaaaaapaaaapaaaapapapaapaaaapaaaaaaaaaaaaaaaaaaaaaaapaaaapaaapaaaapaaaapaaaapapapaapaaaapaaaaaaaaaaaaaaaaaaaaaaaapaaaaapaapaaapaaaapaaaapapapaapaaaapaaaaaaaaaaaaaaaaaaaaaaapaaaaapapaaaaaapaaapaaaapapapaapaaaapaaaaaaaaaaaaaaaaaaaaaaaapaaaapppaaaaapapaapaaaapapapaapaaaapaaaaaaaaaaaaaaaaaaaaaaaapaaaapappaaaappaaapaaaapapapaappaaapaaaaaaaaaaaaaaaaaaaaaaappaaapaaapapaaaapaappaaapapapaapaaaapaaaaaaaaaaaaaaaaaaaaaaaapppaappapaaaappaaapaaaapapappapaaaapaaaaaaaaaaaaaaaaaaaaaaaapaapapappaapapaaaapaaaapapappapaaaapaaaaaaaaaaaaaaaaaaaaaaappaaapppppaaaapaaaapppaapapappapaaaapaaaaaaaaaaaaaaaaaaaaaaappaaapppppaappppaaapaaaapppappapaaaappaaaaaaaaaaaaaaaaaaaaaapppaapppppaaaapappapaaaapapappapppaapaaaappappappapppppppppapppaapppppaaapppaappaaaappppppapaaaapappappppappppppppappppppppappppppppppppaappaapapppappppaapppaaapppapapppppppppppppppppaapppppappppppappppppppppppppaapappappppapppppppppppppppa
9,10,62,16,18,4,2,3,3,4,4,3,3,3,2,4,3,4,4,3,4,3,6,10,10,12,10,11,11,14,12,15,15,21,19,38,42,46,54,paaapapaapaapaaapaaapaapaapaapaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapaaapapaapaaapaapaaapaaapapaapaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapaaapappaapapaaaapaappapaapaapaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapaaapapaaapapaaaaapaapapaapaapaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaappaapapaaapapaaaapaapaapaapaaapaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapapapaapaapaaaappaapapaapaapaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapppapapaapaapaaaaapappapaapaappaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapaaapapaaapppaaaapaappapaapaapaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapaaapapaapaapapappaapppppapaapaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapppapapaappapapaapaapaapaappapaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapapapapaaapppapppppppppppapappaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapppapapaappappaappppppappapaapaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaappappapapppapapappppppappapaappppaapaappaapppappappaapaappppaapppapppaappppppappppppappapaapapaaappapppapppappappaappapppppapppapppaappppppapppppppppapaapppapapappppappaappppppppaappppappppapppapppppppappppppppppppapapapppppppppppppppppppapppppppap
