archipelago_ID,sample_ID,S,H,K,no_spp_niche_0,no_spp_niche_1,no_spp_niche_2,no_spp_island_0,no_spp_island_1,no_spp_island_2,no_spp_island_3,no_spp_island_4,no_spp_island_5,no_spp_island_6,no_spp_island_7,no_spp_island_8,no_spp_island_9,no_spp_island_10,no_spp_island_11,no_spp_island_12,no_spp_island_13,no_spp_island_14,no_spp_island_15,presence_absence_matrix_cols_isles_concatenated
1,1,44,16,3,19,14,11,2,3,3,3,4,4,7,5,14,12,15,19,21,24,31,30,paaaaaaaaaaaaaaaaaapaaaaaaaaaaaaaaaaaaaaaaaappaaaaaaaaaaaaaaaaaapaaaaaaaaaaaaaaaaaaaaaaapapaaaaaaaaaaaaaaaapaaaaaaaaaaaaaaaaaaaaaaaappaaaaaaaaaaaaaaaaaaapaaaaaaaaaaaaaaaaaaaaaappaaaaaaaaaaaaaaaaapapaaaaaaaaaaaaaaaaaaaaaappaaaaaaaaaaaaaaaaappaaaaaaaaaaaaaaaaaaaaaaaaapppppaaaaaaaaaaaappaaaaaaaaaaaaaaaaaaaaaaappapaaaaaaaaaaaaaaapapaaaaaaaaaaaaaaaaaaaaaapaappapppppaaaaaaaappppppaaaaaaaaaaaaaaaaaaaapppappapaapaaaaaaapapaapppaaaaaaaaaaaaaaaaapppppppappaappaaaaapppaaaaapaaaaaaaaaaaaaaaappppppappppaapppaaappppaapaapaaaaaaaaaaaaaaappppppaaappaapapaaapppaaaaaaappaappppppaaaaappppppaapppaappaaaapppaapaaaapapappppapppaaappppppppppppapapppppppaappaaapaappppappaappappppppppppppapapapappppapaaaapaaappppppapapp
1,2,62,16,3,22,21,19,2,2,3,3,7,5,6,10,10,11,19,19,31,39,43,48,paaaaaaaaaaaaaaaaaaaaapaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapaaaaaaaaaaaaaaaaaaaaapaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaappaaaaaaaaaaaaaaaaaaaaapaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapaaaaaaaaaaaaaaaaaaaaaapapaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaappaaaaaaaaaaaaaaaaaapaappppaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapaaapaaaaaaaaaaaaaaaaaaapapapaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapapaaaaaaaaaaaaaaaaaaaappapapaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapppappaaaaaaaaaaaaaaapppaaappaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapppaapaaaaaaaaaaaaaaaapppaaapappaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapppaapapaaaaaaaaaaaaaapppappaaaapaaaaaaaaaaaaaaaaaaaaaaaaaaaaapppppppapaaaaaaaaaaaaapppppapapppppaaaaaaaaaaaaaaaaaaaaaaaaaaappppaaaaapppppaaaaaaaappappppapaapappaaaaaaaaaaaaaaaaaaaaaaaaappppppaaaaaaapppaaaaaapppppppapppaaaapaaaaapppppppppppaaaaaaaappppappapaaappppaaaaaapppapppapppaapappppaapppppppppapppppaaaappppappapaaapapapppppappppppppppppapapaapaapppppppppppapaappaapppppppapppapppaaaaaappppppppappppapppaaapppppppppppppappppppp
1,3,54,16,3,19,15,20,2,3,3,4,4,3,7,9,12,12,16,23,33,34,40,47,paaaaaaaaaaaaaaaaaapaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaappaaaaaaaaaaaaaaaaapaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapapaaaaaaaaaaaaaaaapaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaappaaaaaaaaaaaaaappaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaappaaaaaaaaaaaaapapaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapaaapaaaaaaaaaaaapaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaappappaaaaaaaaaappapaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapaapapppaaaaaaappaappaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapaappaapaapppaaaaapppapapaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapappppapaaaaaaapapappappaaaaaaaaaaaaaaaaaaaaaaaaaaaapappppppappapaaaapppappaaapaaaaaaaaaaaaaaaaaaaaaaaaappppppppppappppaaaapppappppaappaaaaaaaaaaaaaaaaaaaaaaappppppppppapappaaaapppappapapaaaaapppppppppppppaaaaaaapppappppppappppppaapppapppaaaaapppppppaaapppppapaaaaaappppppppppapppppappppppppapapaappapppppaapappppapppaaappppppppppapppppaapppppppppapppppapppppapppppppppapppp
1,4,52,16,3,22,18,12,2,3,3,4,6,5,8,9,13,17,18,17,23,28,38,41,paaaaaaaaaaaaaaaaaaaaapaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapaaaaaaaaaaaaaaaaaaaaappaaaaaaaaaaaaaaaaaaaaaaaaaaaaapaaaaaaaaaaaaaaaaaaaapapaaaaaaaaaaaaaaaaaaaaaaaaaaaaapppaaaaaaaaaaaaaaaaaapaaaaaaaaaaaaaaaaaaaaaaaaaaapaapppaaaaaaaaaaaaaaaaapaapaaaaaaaaaaaaaaaaaaaaaaaaaaaapaapaaaaaaaaaaaaaaaaaaaapppaaaaaaaaaaaaaaaaaaaaaapapapappaaaaaaaaaaaaaappaapaaaaaaaaaaaaaaaaaaaaaaaaapaapppaaaaaaaaaaaaaaaaappapaappaaaaaaaaaaaaaaaaaaaaapaappppaaaaaaaaaaaaaaaappappppappaaaaaaaaaaaaaaaaaaappppppaapppppaaaaaaaaaappaaappapapaaaaaaaaaaaaaaaaaapppppppapappppaaaaaaaaappappppaaaaaaaaaaaaaaaaaaaaaappppapaaapappappaaaaaaappappppaaapaaaaaaaaaaaaaaaaaappppppapaaapaaaappaaaaappapappapaaaaaaaapppppppaaaaappppppapaaapaapaaapaaaappapppppppapaaaaapppppapppaaappppppppppappppaapappapppappppppaaappaaapppppapppppappppppppaaappppaappaappppappppppppapappppppppppppapp
1,5,45,16,3,16,12,17,3,2,3,4,4,6,9,6,11,16,17,19,26,31,34,35,ppaaaaaaaaaaaaaapaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapaaaaaaaaaaaaaapaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapaaaaaaaaaaaapapaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapaaaaaaaaaaapappaaaaaaaaaaaaaaaaaaaaaaaaaaaapappaaaaaaaaaaaaapaaaaaaaaaaaaaaaaaaaaaaaaapapapapaaaaaaaapaaaapaaaaaaaaaaaaaaaaaaaaaaappapapapaaaaaaaapapapapaaaaaaaaaaaaaaaaaaaaaapaaappaapaaaaaaapapaaaaaaaaaaaaaaaaaaaaaaaaaappapppapaaaaaaaapppaapapaaaaaaaaaaaaaaaaaaaaappppapppppaaaaaapapappapppaaaaaaaaaaaaaaaaaaaappppppppapaaaaapppapppppaaaaaaaaaaaaaaaaaaaappppppappaapppaapppappappapaaaaaaaaaaaaaaaaaappapppappapaaaaapppappapppaappppppppppaaaaaaappppppappapaaapapppappappppapapppappppppppaaapppppppppapaaaappppappappapapppppappppppapppppppppppppppaaaaapppapppppppppppppappapppappap
1,6,54,16,3,20,19,15,2,3,2,3,3,3,4,11,8,12,13,19,28,27,39,39,paaaaaaaaaaaaaaaaaaapaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaappaaaaaaaaaaaaaaaaaapaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapaaaaaaaaaaaaaaaapaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapaaaaaaaaaaaaaaapapaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaappaaaaaaaaaaaaaaaapaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapapaaaaaaaaaaaaaaaaapaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapppaaaaaaaaaaaaaaaapaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaappppapaaaaaaaaaaaaaapapppppaaaaaaaaaaaaaaaaaaaaaaaaaaapappapaaaaaaaaaaaaaapapappaaaaaaaaaaaaaaaaaaaaaaaaaaaapappppaaaaaaaaaaaaaapappappppaaaaaaaaaaaaaaaaaaaaaaaaappppapaaaaaaaaaaaaaapappappapppaaaaaaaaaaaaaaaaaaaaaaaappppppppaaaaaaaaaaapppppppppappaaaaaaaaaaaaaaaaaaaaaapappppapapaaaaaaaaaapppppppppapppppaaaapppppppaaaaaaaappppppapaappppaaaaaapapppppppapaaaaaaaapppapaapppaaaaappppppapapappppaaaaappppppppppppaaapppapppppapppppppaappppppapaaapaaappppppppppppppapapaappapppppppppppaaapp
1,7,65,16,3,22,17,26,2,2,2,3,3,5,7,10,11,14,17,21,35,37,47,47,paaaaaaaaaaaaaaaaaaaaapaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapaaaaaaaaaaaaaaaaaaaapaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapaaaaaaaaaaaaaaaaaaaapaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapapaaaaaaaaaaaaaaaaaaaapaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaappaaaaaaaaaaaaaaaaaaapaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaappaaaaaaaaaaaaaapapapaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapaaaapaaaaaaaaaaaaaaappaapppaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaappaaapppppaaaaaaaaaaapappaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaappaaapapaaaaaaaaaaaaappppppapaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapapaaapaaaapaaaaaaaaaappppppappppaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapppaapppappappaaaaaaaappappaappaapaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapppappppapppapaaaaaaappppppapappapaaaaaaaaaaaaaaaaaaaaaaaaaaaaaappppaapapapapaappaaaaapppppppppapaapaaappppppppppppppaaaaaaaaaaaapppaaapppppaaapaappaaappppppappapapaaaapppppppaapppppppppaaaaaaaappppappppppappppapppaappppppappppaaapaappppppppapppappaappppppaaappppappppppapappaapappppppppappppaaaappppppapppppppapppappaaaappp
1,8,59,16,3,21,23,15,2,2,5,4,5,6,7,9,9,15,20,28,34,40,42,49,paaaaaaaaaaaaaaaaaaaapaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapaaaaaaaaaaaaaaaaaaaapaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaappaaaaaaaaaaaaaaaaapappaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaappapaaaaaaaaaaaaaaaaapaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaappaaaaaaaaaaaaaaaaaaappaapaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapapaapaaaaaaaaaaaaaaapaaaappaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaappaaappaaaaaaaaaaaaappaaaaapaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapaaaapaaaaaaaaaaaappaaaaapppppaaaaaaaaaaaaaaaaaaaaaaaaaaapppaapaapaaaaaaaaaaappaaaaaapaaapaaaaaaaaaaaaaaaaaaaaaaaaaapppaaaaaapaaaaaaaaaappaapappppaappppaaaaaaaaaaaaaaaaaaaaaaapppapaappppaaaaaaaaapppapaappppappaappaaaaaaaaaaaaaaaaaaaaapppappppapppppaaaaaapppppapppppappappppaaaaaaaaaaaaaaaaaaappppappappppapppaaaaapppapapppppapppappapaaappppppaaaaaaaaappppapapapppappppppaapppapappappappaappaapaappppppppppppaaappppppppppppppppaaaaapppapapppppappaapapaapppppppppapaapppappppapppppppppppaaapppppapppppppapppppppapappppppppapppppap
1,9,44,16,3,18,11,15,2,4,2,3,3,3,5,7,7,11,10,16,21,26,33,35,paaaaaaaaaaaaaaaaapaaaaaaaaaaaaaaaaaaaaaaaaaapaaaaaaaaaaaaaaaaapppaaaaaaaaaaaaaaaaaaaaaaapaaaaaaaaaaaaaaaaaaaapaaaaaaaaaaaaaaaaaaaaapapaaaaaaaaaaaaaaaapaaaaaaaaaaaaaaaaaaaaaaaappaaaaaaaaaaaaaaaaaaaaapaaaaaaaaaaaaaaaaaaaappaaaaaaaaaaaaaaaaapaaaaaaaaaaaaaaaaaaaaaaaaaaapaaaaaaaaaaaaaaapapappaaaaaaaaaaaaaaaaaaappapppaaaaaaaaaaaaapaaapaaaaaaaaaaaaaaaaaaaappaapappaaaaaaaaaaapapaaaaaaaaaaaaaaaaaaaaaappappapappaaaaaaaappapaaapaaaaaaaaaaaaaaaaaappappapaapaaaaaaaappapapaaaaaaaaaaaaaaaaaaaappappapapappppaaaappapapappaaaaaaaaaaaaaaaaapppppapapaaaaaaaaappppapppapappppppaaaaaaaaapppppappppapaappaappppapaaaaapppppappppaaaaappppppppppppappaaappppapapaapppppppppppppaaapppppappppapaaaapppppppppppaappppppppppapppp
1,10,55,16,3,21,16,18,2,3,2,4,4,5,5,9,9,14,14,15,27,38,41,44,paaaaaaaaaaaaaaaaaaaapaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaappaaaaaaaaaaaaaaaaaaapaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapaaaaaaaaaaaaaaaaaaaapaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapaappaaaaaaaaaaaaaaaaapaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapaapaaaaaaaaaaaaaaaapaapaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapaaaapaaaaaaaaaaaaaaappapaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapppaaaaaaaaaaaaaaaaaaapapaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapapapapaaaaaaaaaaaaaappapppaaaaaaaaaaaaaaaaaaaaaaaaaaaapppapaapaaaaaaaaaaaaappapapaaaaaaaaaaaaaaaaaaaaaaaaaaaapppppaappppaaaaaaaaaappapaappaaaaaaaaaaaaaaaaaaaaaaaaaapppapaapapppaaaaaaaaappppaaaappaaaaaaaaaaaaaaaaaaaaaaaapppapapaappapaaaaaaaappppaappaapaaaaaaaaaaaaaaaaaaaaaaapppapappapppapaaaaaaappppaappapaaaaaappppppppppaaaaaaaappppppppappaappppaaaappppapppaapppaaappppppppappppppaaapppppappapppapapappaappppapppappapaaapppppppppppapppppppppppappapppapaapppppppppappaappaappppppppppppppapppppp
