,simulated_0,simulated_1,simulated_2,simulated_3,simulated_4,simulated_5,simulated_6,simulated_7,simulated_8,simulated_9
species_0_0,1,0,1,0,0,1,0,1,1,1
species_0_1,0,1,0,0,0,0,0,0,1,1
species_0_2,0,0,0,1,0,0,0,1,1,1
species_0_3,0,0,0,0,1,0,0,0,1,1
species_0_4,0,0,0,0,0,0,1,1,1,1
species_0_5,0,0,0,0,0,0,0,0,0,1
species_0_6,0,0,0,0,0,0,0,0,0,1
species_0_7,0,0,0,0,0,0,0,0,0,1
species_1_0,1,0,0,0,0,0,0,0,0,1
species_1_1,0,1,1,1,0,0,1,1,1,1
species_1_2,0,0,0,0,1,1,0,0,0,1
species_1_3,0,0,0,0,0,0,0,1,1,0
species_1_4,0,0,0,0,0,0,0,1,0,0
species_1_5,0,0,0,0,0,0,0,1,0,0
species_1_6,0,0,0,0,0,0,0,0,1,1
species_1_7,0,0,0,0,0,0,0,0,1,0
species_1_8,0,0,0,0,0,0,0,0,1,1
species_1_9,0,0,0,0,0,0,0,0,0,1
species_1_10,0,0,0,0,0,0,0,0,0,1
species_1_11,0,0,0,0,0,0,0,0,0,1
species_2_0,1,0,0,0,0,0,0,1,1,1
species_2_1,0,1,0,0,0,0,0,1,1,1
species_2_2,0,0,1,1,1,1,1,1,1,1
species_2_3,0,0,0,1,0,0,1,1,1,1
species_2_4,0,0,0,0,0,1,0,0,1,1
species_2_5,0,0,0,0,0,0,0,0,1,0
species_2_6,0,0,0,0,0,0,0,0,1,1
species_2_7,0,0,0,0,0,0,0,0,1,0
species_2_8,0,0,0,0,0,0,0,0,1,1
species_2_9,0,0,0,0,0,0,0,0,0,1
species_3_0,1,0,0,0,0,0,0,0,1,1
species_3_1,0,1,1,0,0,0,0,1,1,1
species_3_2,0,0,0,1,1,1,1,0,1,1
species_3_3,0,0,0,0,0,0,1,0,0,0
species_3_4,0,0,0,0,0,0,0,0,1,0
species_3_5,0,0,0,0,0,0,0,0,0,1
species_3_6,0,0,0,0,0,0,0,0,0,1
species_4_0,1,0,0,0,0,0,0,0,0,0
species_4_1,0,1,0,0,0,0,0,0,0,1
species_4_2,0,0,1,0,0,1,1,1,1,1
species_4_3,0,0,1,0,1,0,0,1,0,1
species_4_4,0,0,0,1,0,0,0,0,0,1
species_4_5,0,0,0,0,1,0,0,0,0,1
species_4_6,0,0,0,0,0,0,1,0,1,1
species_4_7,0,0,0,0,0,0,1,0,0,0
species_4_8,0,0,0,0,0,0,0,1,0,0
species_4_9,0,0,0,0,0,0,0,1,0,1
species_4_10,0,0,0,0,0,0,0,0,1,0
species_4_11,0,0,0,0,0,0,0,0,1,0
species_4_12,0,0,0,0,0,0,0,0,0,1
species_4_13,0,0,0,0,0,0,0,0,0,1
species_4_14,0,0,0,0,0,0,0,0,0,1
species_4_15,0,0,0,0,0,0,0,0,0,1
species_4_16,0,0,0,0,0,0,0,0,0,1
species_5_0,1,0,0,0,0,0,0,0,0,1
species_5_1,0,1,0,1,1,0,1,1,1,1
species_5_2,0,0,1,0,1,0,0,0,1,1
species_5_3,0,0,0,0,0,1,0,1,0,1
species_5_4,0,0,0,0,0,0,0,1,0,0
species_5_5,0,0,0,0,0,0,0,0,1,0
species_5_6,0,0,0,0,0,0,0,0,0,1
species_5_7,0,0,0,0,0,0,0,0,0,1
species_5_8,0,0,0,0,0,0,0,0,0,1
species_5_9,0,0,0,0,0,0,0,0,0,1
species_5_10,0,0,0,0,0,0,0,0,0,1
species_5_11,0,0,0,0,0,0,0,0,0,1
species_6_0,1,0,0,0,0,0,0,0,0,1
species_6_1,0,1,1,0,1,1,1,1,1,1
species_6_2,0,0,0,1,0,0,0,0,1,1
species_6_3,0,0,0,0,0,0,0,1,0,1
species_6_4,0,0,0,0,0,0,0,0,1,1
species_6_5,0,0,0,0,0,0,0,0,1,0
species_6_6,0,0,0,0,0,0,0,0,1,0
species_6_7,0,0,0,0,0,0,0,0,0,1
species_6_8,0,0,0,0,0,0,0,0,0,1
species_6_9,0,0,0,0,0,0,0,0,0,1
species_7_0,1,0,1,1,0,0,1,0,1,1
species_7_1,0,1,0,0,0,1,0,0,0,1
species_7_2,0,0,0,0,1,0,0,0,0,1
species_7_3,0,0,0,0,0,0,1,1,1,1
species_7_4,0,0,0,0,0,0,0,0,1,0
species_7_5,0,0,0,0,0,0,0,0,1,0
species_7_6,0,0,0,0,0,0,0,0,1,1
species_7_7,0,0,0,0,0,0,0,0,0,1
species_7_8,0,0,0,0,0,0,0,0,0,1
species_8_0,1,0,1,0,0,0,0,0,1,1
species_8_1,0,1,0,0,0,0,0,0,1,1
species_8_2,0,0,0,1,0,0,0,0,0,0
species_8_3,0,0,0,0,1,0,0,0,1,1
species_8_4,0,0,0,0,0,1,0,0,0,0
species_8_5,0,0,0,0,0,0,1,1,1,1
species_8_6,0,0,0,0,0,0,0,1,0,0
species_8_7,0,0,0,0,0,0,0,0,1,1
species_8_8,0,0,0,0,0,0,0,0,0,1
species_8_9,0,0,0,0,0,0,0,0,0,1
species_8_10,0,0,0,0,0,0,0,0,0,1
species_8_11,0,0,0,0,0,0,0,0,0,1
